cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.62892,0.0,0.3766,0.718,0.85,0.85,5.975,0.5016,0.101,0.1047,1.7154,1.3e-05,1640.691,0.097995,0.802377,0.002856,0.0,14.024087905883789,False,0.25,0.25,0.25,0.25,0.3766,0.0,0.0
2,GSM8K,fixed_grpo,0.3006,0.0,0.3781,0.6795,0.825,0.825,6.05,0.5978,0.0907,0.0873,1.7505,1.8e-05,1640.691,0.097266,0.796464,0.002827,0.0,13.543694496154785,False,0.25,0.25,0.25,0.25,0.3781,0.0,0.0
3,GSM8K,fixed_grpo,0.36304,0.0,0.4484,0.7255,0.85,0.85,7.175,0.5468,0.0965,0.0892,1.5662,2.1e-05,1640.691,0.099083,0.810963,0.002931,0.0,13.722103118896484,False,0.25,0.25,0.25,0.25,0.4484,0.0,0.0
4,GSM8K,fixed_grpo,0.29214,0.0,0.4391,0.7579,0.9,0.9,6.975,0.5582,0.0854,0.0729,1.6042,2.5e-05,1640.691,0.09994,0.817781,0.002984,0.0,13.62529468536377,False,0.25,0.25,0.25,0.25,0.4391,0.0,0.0
5,GSM8K,fixed_grpo,0.28905,0.0,0.4234,0.76,0.9,0.9,6.725,0.549,0.0937,0.086,1.6413,2.8e-05,1640.691,0.100688,0.823763,0.003024,0.0,13.521525382995605,False,0.25,0.25,0.25,0.25,0.4234,0.0,0.0
6,Code,fixed_grpo,0.36185,0.04688,0.3047,0.6108,0.775,0.775,4.475,0.6649,0.097,0.0597,1.8181,3.6e-05,1640.691,0.105526,0.863351,0.003168,0.0,12.822744369506836,False,0.25,0.25,0.25,0.25,0.4703,0.3047,0.0
7,Code,fixed_grpo,0.62225,0.075,0.2922,0.5612,0.75,0.75,4.35,0.6864,0.1004,0.0482,1.7938,4.2e-05,1640.691,0.106243,0.86901,0.003219,0.0,13.456266403198242,False,0.25,0.25,0.25,0.25,0.4984,0.2922,0.0
8,Code,fixed_grpo,0.58423,0.04688,0.3031,0.6007,0.8,0.8,4.45,0.6621,0.1001,0.0582,1.7953,4.7e-05,1640.691,0.106612,0.871896,0.003248,0.0,13.297149658203125,False,0.25,0.25,0.25,0.25,0.4703,0.3031,0.0
9,Code,fixed_grpo,0.45137,0.00469,0.2938,0.6093,0.8,0.8,4.45,0.6732,0.1013,0.0574,1.7408,5e-05,1640.691,0.106933,0.874396,0.003274,0.0,13.594414710998535,False,0.25,0.25,0.25,0.25,0.4281,0.2938,0.0
10,Code,fixed_grpo,0.73462,0.05469,0.3375,0.6232,0.775,0.775,5.1,0.679,0.0999,0.0568,1.716,5.4e-05,1640.691,0.107195,0.876473,0.00329,0.0,13.122119903564453,False,0.25,0.25,0.25,0.25,0.4781,0.3375,0.0
11,MedicalMC,fixed_grpo,0.5474,0.01875,0.2938,0.676,0.975,0.975,4.7,0.7492,0.0814,0.1355,2.6155,5.9e-05,1640.691,0.108594,0.887926,0.003332,0.0,13.335524559020996,False,0.25,0.25,0.25,0.25,0.4594,0.3391,0.2938
12,MedicalMC,fixed_grpo,0.65466,0.01719,0.2938,0.6645,0.95,0.95,4.7,0.7576,0.0743,0.1265,2.5169,6.3e-05,1640.691,0.10913,0.892224,0.00336,0.0,13.726726531982422,False,0.25,0.25,0.25,0.25,0.4406,0.3547,0.2938
13,MedicalMC,fixed_grpo,0.69883,0.02031,0.2891,0.674,0.975,0.975,4.625,0.7768,0.0811,0.1048,2.5131,6.7e-05,1640.691,0.109504,0.895197,0.003382,0.0,13.71231460571289,False,0.25,0.25,0.25,0.25,0.4562,0.3453,0.2891
14,MedicalMC,fixed_grpo,0.67681,0.0125,0.2969,0.7044,0.975,0.975,4.75,0.7285,0.0875,0.159,2.5565,6.9e-05,1640.691,0.109827,0.897735,0.003406,0.0,13.951277732849121,False,0.25,0.25,0.25,0.25,0.4531,0.3328,0.2969
15,MedicalMC,fixed_grpo,0.63711,0.00469,0.2687,0.6489,0.975,0.975,4.3,0.7753,0.0893,0.1117,2.5418,7.2e-05,1640.691,0.110039,0.899418,0.003419,0.0,13.316728591918945,False,0.25,0.25,0.25,0.25,0.4375,0.3328,0.2687
