cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.64781,0.0,0.3734,0.6994,0.875,0.875,5.9,0.5412,0.0932,0.1008,1.7586,1.2e-05,1640.691,0.097962,0.802051,0.002863,0.0,14.369281768798828,False,0.25,0.25,0.25,0.25,0.3734,0.0,0.0
2,GSM8K,fixed_grpo,0.29962,0.0,0.3672,0.6708,0.825,0.825,5.875,0.6101,0.0839,0.0898,1.8304,1.8e-05,1640.691,0.09695,0.793925,0.002811,0.0,13.892850875854492,False,0.25,0.25,0.25,0.25,0.3672,0.0,0.0
3,GSM8K,fixed_grpo,0.22081,0.0,0.2687,0.598,0.8,0.8,4.3,0.6397,0.0824,0.0916,2.0374,2.2e-05,1640.691,0.0995,0.814421,0.002937,0.0,13.794727325439453,False,0.25,0.25,0.25,0.25,0.2687,0.0,0.0
4,GSM8K,fixed_grpo,0.3177,0.0,0.2562,0.5751,0.8,0.8,4.1,0.6157,0.0891,0.0967,1.9814,2.5e-05,1640.691,0.100798,0.824889,0.002997,0.0,13.31541633605957,False,0.25,0.25,0.25,0.25,0.2562,0.0,0.0
5,GSM8K,fixed_grpo,0.39162,0.0,0.2484,0.5789,0.8,0.8,3.975,0.705,0.0809,0.077,2.119,2.8e-05,1640.691,0.103067,0.843374,0.003076,0.0,13.745720863342285,False,0.25,0.25,0.25,0.25,0.2484,0.0,0.0
6,Code,fixed_grpo,0.86876,0.1375,0.3125,0.6248,0.775,0.775,4.775,0.6939,0.0992,0.0498,1.7579,3.6e-05,1640.691,0.106898,0.874579,0.00321,0.0,12.21190071105957,False,0.25,0.25,0.25,0.25,0.3859,0.3125,0.0
7,Code,fixed_grpo,0.93752,0.17656,0.3172,0.6202,0.775,0.775,4.675,0.6946,0.0996,0.0556,1.9047,4.3e-05,1640.691,0.107644,0.880497,0.003257,0.0,12.132664680480957,False,0.25,0.25,0.25,0.25,0.425,0.3172,0.0
8,Code,fixed_grpo,1.02846,0.2,0.2906,0.5609,0.725,0.725,4.4,0.7299,0.1004,0.048,1.7929,4.8e-05,1640.691,0.108073,0.883848,0.003291,0.0,13.20833969116211,False,0.25,0.25,0.25,0.25,0.4484,0.2906,0.0
9,Code,fixed_grpo,1.20277,0.23906,0.2641,0.5469,0.75,0.75,4.05,0.7293,0.0905,0.0508,1.8654,5.2e-05,1640.691,0.108413,0.886514,0.003317,0.0,12.338336944580078,False,0.25,0.25,0.25,0.25,0.4875,0.2641,0.0
10,Code,fixed_grpo,1.01045,0.15,0.2562,0.5378,0.725,0.725,3.875,0.7524,0.0954,0.0446,1.8353,5.6e-05,1640.691,0.108793,0.889545,0.003339,0.0,12.490920066833496,False,0.25,0.25,0.25,0.25,0.3984,0.2562,0.0
11,MedicalMC,fixed_grpo,0.8621,0.06328,0.3,0.67,0.95,0.95,4.8,0.7541,0.0531,0.138,2.5019,6.1e-05,1640.691,0.111219,0.909246,0.003432,0.0,13.264612197875977,False,0.25,0.25,0.25,0.25,0.3656,0.2656,0.3
12,MedicalMC,fixed_grpo,0.78451,0.04063,0.3078,0.6461,0.975,0.975,4.925,0.8024,0.0631,0.1137,2.4367,6.7e-05,1640.691,0.111727,0.913354,0.003454,0.0,13.488521575927734,False,0.25,0.25,0.25,0.25,0.3203,0.2656,0.3078
13,MedicalMC,fixed_grpo,0.65656,0.02266,0.2625,0.5873,0.875,0.875,4.2,0.8127,0.0531,0.1102,2.3409,7.1e-05,1640.691,0.112263,0.917664,0.003479,0.0,13.551875114440918,False,0.25,0.25,0.25,0.25,0.2734,0.2766,0.2625
14,MedicalMC,fixed_grpo,0.96597,0.04687,0.2781,0.6464,0.975,0.975,4.45,0.8798,0.0476,0.0727,2.3371,7.3e-05,1640.691,0.113309,0.92609,0.003529,0.0,13.174825668334961,False,0.25,0.25,0.25,0.25,0.3422,0.2562,0.2781
15,MedicalMC,fixed_grpo,0.78965,0.05078,0.2109,0.5688,0.9,0.9,3.375,0.8066,0.0248,0.1285,2.3438,7.6e-05,1640.691,0.115002,0.939856,0.003592,0.0,13.827052116394043,False,0.25,0.25,0.25,0.25,0.3531,0.2531,0.2109
