cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.70568,0.0,0.4359,0.7455,0.9,0.9,6.9,0.5278,0.0912,0.0908,1.5812,1.2e-05,1640.691,0.097619,0.799298,0.002845,0.0,14.116678237915039,False,0.25,0.25,0.25,0.25,0.4359,0.0,0.0
2,GSM8K,fixed_grpo,0.128,0.0,0.3563,0.7162,0.875,0.875,5.625,0.4497,0.1078,0.1227,1.6989,1.7e-05,1640.691,0.096447,0.789714,0.002809,0.0,13.543268203735352,False,0.25,0.25,0.25,0.25,0.3563,0.0,0.0
3,GSM8K,fixed_grpo,0.37587,0.0,0.45,0.7614,0.875,0.875,7.15,0.5165,0.0925,0.0906,1.5638,2.1e-05,1640.691,0.098506,0.806209,0.002918,0.0,13.730535507202148,False,0.25,0.25,0.25,0.25,0.45,0.0,0.0
4,GSM8K,fixed_grpo,0.25765,0.0,0.4594,0.7218,0.8,0.8,7.225,0.4658,0.1048,0.1068,1.3248,2.5e-05,1640.691,0.099499,0.814141,0.002975,0.0,13.607206344604492,False,0.25,0.25,0.25,0.25,0.4594,0.0,0.0
5,GSM8K,fixed_grpo,0.33198,0.0,0.5219,0.7637,0.875,0.875,8.325,0.4558,0.1061,0.0911,1.1858,2.8e-05,1640.691,0.100137,0.819219,0.003013,0.0,13.697122573852539,False,0.25,0.25,0.25,0.25,0.5219,0.0,0.0
6,Code,fixed_grpo,0.03634,-0.03906,0.3453,0.6161,0.775,0.775,5.025,0.6718,0.1038,0.0554,1.7898,3.6e-05,1640.691,0.105036,0.859308,0.003158,0.0,12.905458450317383,False,0.25,0.25,0.25,0.25,0.4828,0.3453,0.0
7,Code,fixed_grpo,0.22913,-0.04844,0.3281,0.6284,0.85,0.85,4.975,0.6717,0.1007,0.0514,1.8004,4.3e-05,1640.691,0.105707,0.864573,0.003209,0.0,13.597068786621094,False,0.25,0.25,0.25,0.25,0.4734,0.3281,0.0
8,Code,fixed_grpo,0.25211,-0.05469,0.3422,0.6387,0.8,0.8,5.15,0.6549,0.0965,0.0602,1.7726,4.7e-05,1640.691,0.106006,0.866882,0.003237,0.0,13.533535957336426,False,0.25,0.25,0.25,0.25,0.4672,0.3422,0.0
9,Code,fixed_grpo,0.53373,0.04219,0.3141,0.6124,0.825,0.825,4.575,0.6565,0.1012,0.0555,1.7827,5.1e-05,1640.691,0.106263,0.868873,0.003259,0.0,13.712798118591309,False,0.25,0.25,0.25,0.25,0.5641,0.3141,0.0
10,Code,fixed_grpo,0.66422,0.04219,0.35,0.649,0.775,0.775,5.275,0.6514,0.0931,0.0559,1.825,5.4e-05,1640.691,0.106438,0.870249,0.003272,0.0,13.23554801940918,False,0.25,0.25,0.25,0.25,0.5641,0.35,0.0
11,MedicalMC,fixed_grpo,0.48844,-0.00234,0.2969,0.7165,1.0,1.0,4.75,0.7884,0.0745,0.0734,2.5193,5.9e-05,1640.691,0.107655,0.880207,0.003309,0.0,13.457658767700195,False,0.25,0.25,0.25,0.25,0.5203,0.3469,0.2969
12,MedicalMC,fixed_grpo,0.68088,0.01406,0.3094,0.7341,1.0,1.0,4.95,0.7735,0.0678,0.1007,2.4127,6.4e-05,1640.691,0.108304,0.885481,0.003333,0.0,13.781935691833496,False,0.25,0.25,0.25,0.25,0.55,0.35,0.3094
13,MedicalMC,fixed_grpo,0.61238,0.01484,0.275,0.6956,0.95,0.95,4.25,0.7609,0.055,0.0852,2.3773,6.7e-05,1640.691,0.10862,0.887913,0.003363,0.0,13.74348258972168,False,0.25,0.25,0.25,0.25,0.5578,0.3438,0.275
14,MedicalMC,fixed_grpo,0.75219,0.02969,0.2922,0.711,0.975,0.975,4.675,0.7065,0.0809,0.1257,2.4329,6.9e-05,1640.691,0.108825,0.88954,0.003376,0.0,13.973407745361328,False,0.25,0.25,0.25,0.25,0.5672,0.3641,0.2922
15,MedicalMC,fixed_grpo,0.82915,0.025,0.3234,0.7198,0.95,0.95,5.175,0.732,0.0532,0.0992,2.153,7.2e-05,1640.691,0.109092,0.891682,0.00339,0.0,13.439067840576172,False,0.25,0.25,0.25,0.25,0.5813,0.3406,0.3234
