cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.72711,0.0,0.4594,0.7459,0.9,0.9,7.325,0.5241,0.0934,0.0868,1.4818,1.2e-05,1640.691,0.097704,0.799985,0.002848,0.0,14.312524795532227,False,0.25,0.25,0.25,0.25,0.4594,0.0,0.0
2,GSM8K,fixed_grpo,0.25042,0.0,0.4766,0.7559,0.9,0.9,7.575,0.4788,0.1062,0.1014,1.3361,1.8e-05,1640.691,0.096758,0.792279,0.002816,0.0,13.649036407470703,False,0.25,0.25,0.25,0.25,0.4766,0.0,0.0
3,GSM8K,fixed_grpo,0.30483,0.0,0.5234,0.8251,0.95,0.95,8.25,0.4901,0.0991,0.0867,1.3478,2.2e-05,1640.691,0.098619,0.807131,0.002922,0.0,13.90892505645752,False,0.25,0.25,0.25,0.25,0.5234,0.0,0.0
4,GSM8K,fixed_grpo,0.07633,0.0,0.3984,0.7023,0.85,0.85,6.25,0.4447,0.1232,0.1101,1.5003,2.5e-05,1640.691,0.09945,0.813739,0.002973,0.0,13.525646209716797,False,0.25,0.25,0.25,0.25,0.3984,0.0,0.0
5,GSM8K,fixed_grpo,0.24778,0.0,0.3969,0.709,0.9,0.9,6.225,0.4556,0.1128,0.1109,1.5437,2.8e-05,1640.691,0.100806,0.824727,0.003028,0.0,13.622111320495605,False,0.25,0.25,0.25,0.25,0.3969,0.0,0.0
6,Code,fixed_grpo,0.55538,0.1,0.3094,0.6144,0.775,0.775,4.475,0.6656,0.099,0.0507,1.7958,3.6e-05,1640.691,0.10535,0.86189,0.003166,0.0,12.938265800476074,False,0.25,0.25,0.25,0.25,0.4969,0.3094,0.0
7,Code,fixed_grpo,0.71264,0.09688,0.3156,0.612,0.8,0.8,4.75,0.6798,0.0993,0.0469,1.7506,4.2e-05,1640.691,0.105973,0.866765,0.003215,0.0,13.49238109588623,False,0.25,0.25,0.25,0.25,0.4938,0.3156,0.0
8,Code,fixed_grpo,0.66317,0.06406,0.3453,0.647,0.825,0.825,5.35,0.6562,0.1035,0.0577,1.8069,4.7e-05,1640.691,0.106346,0.869697,0.003243,0.0,13.478124618530273,False,0.25,0.25,0.25,0.25,0.4609,0.3453,0.0
9,Code,fixed_grpo,0.84313,0.12656,0.3484,0.6328,0.825,0.825,5.05,0.6442,0.1052,0.0601,1.7672,5.1e-05,1640.691,0.106615,0.871785,0.003266,0.0,13.807741165161133,False,0.25,0.25,0.25,0.25,0.5234,0.3484,0.0
10,Code,fixed_grpo,0.83965,0.12188,0.3359,0.6396,0.825,0.825,5.0,0.6422,0.1091,0.0646,1.7102,5.4e-05,1640.691,0.106791,0.873134,0.003283,0.0,13.073614120483398,False,0.25,0.25,0.25,0.25,0.5188,0.3359,0.0
11,MedicalMC,fixed_grpo,0.68343,0.04453,0.3109,0.7561,1.0,1.0,4.9,0.7831,0.0896,0.0576,2.0562,5.9e-05,1640.691,0.107911,0.882305,0.003316,0.0,13.402741432189941,False,0.25,0.25,0.25,0.25,0.5156,0.3063,0.3109
12,MedicalMC,fixed_grpo,0.92934,0.07734,0.3156,0.7546,0.975,0.975,4.85,0.8135,0.0682,0.0342,2.1379,6.3e-05,1640.691,0.108392,0.886145,0.003343,0.0,13.710440635681152,False,0.25,0.25,0.25,0.25,0.5625,0.325,0.3156
13,MedicalMC,fixed_grpo,0.939,0.08594,0.3297,0.7037,0.95,0.95,3.625,0.7649,0.1806,0.0363,1.197,6.5e-05,1640.691,0.108619,0.887894,0.003364,0.0,13.716296195983887,False,0.25,0.25,0.25,0.25,0.575,0.3297,0.3297
14,MedicalMC,fixed_grpo,0.93352,0.09453,0.2812,0.6793,0.95,0.95,4.5,0.7547,0.0692,0.1102,2.5382,6.8e-05,1640.691,0.108822,0.889528,0.003374,0.0,13.945539474487305,False,0.25,0.25,0.25,0.25,0.5516,0.3703,0.2812
15,MedicalMC,fixed_grpo,1.05877,0.0875,0.2781,0.6757,0.9,0.9,4.45,0.76,0.0471,0.1222,2.4695,7e-05,1640.691,0.109066,0.891476,0.003388,0.0,13.364017486572266,False,0.25,0.25,0.25,0.25,0.5687,0.3391,0.2781
