cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.66507,0.0,0.4,0.7571,0.975,0.975,6.375,0.5228,0.0961,0.1088,1.6804,1.3e-05,1640.691,0.097956,0.801992,0.002864,0.0,13.407679557800293,False,0.25,0.25,0.25,0.25,0.4,0.0,0.0
2,GSM8K,fixed_grpo,0.33321,0.0,0.4719,0.7737,0.875,0.875,7.4,0.5174,0.0991,0.0836,1.4652,1.8e-05,1640.691,0.09645,0.789735,0.00281,0.0,13.5082368850708,False,0.25,0.25,0.25,0.25,0.4719,0.0,0.0
3,GSM8K,fixed_grpo,0.15783,0.0,0.3953,0.6827,0.825,0.825,6.175,0.4854,0.1022,0.1046,1.5988,2.1e-05,1640.691,0.098325,0.804697,0.002917,0.0,13.907068252563477,False,0.25,0.25,0.25,0.25,0.3953,0.0,0.0
4,GSM8K,fixed_grpo,0.15244,0.0,0.3172,0.654,0.85,0.85,4.975,0.4729,0.1127,0.1205,1.8042,2.5e-05,1640.691,0.099614,0.815079,0.002978,0.0,13.221214294433594,False,0.25,0.25,0.25,0.25,0.3172,0.0,0.0
5,GSM8K,fixed_grpo,0.2338,0.0,0.2875,0.5872,0.8,0.8,4.55,0.4946,0.1164,0.1149,1.787,2.7e-05,1640.691,0.100658,0.823501,0.003025,0.0,13.21371078491211,False,0.25,0.25,0.25,0.25,0.2875,0.0,0.0
6,Code,fixed_grpo,1.04784,0.21875,0.3266,0.61,0.725,0.725,4.875,0.667,0.1048,0.0545,1.7367,3.6e-05,1640.691,0.106278,0.869493,0.003193,0.0,13.76452922821045,False,0.25,0.25,0.25,0.25,0.5062,0.3266,0.0
7,Code,fixed_grpo,0.89219,0.17188,0.3156,0.6337,0.825,0.825,4.625,0.6647,0.097,0.057,1.7575,4.4e-05,1640.691,0.107044,0.875626,0.003234,0.0,12.920380592346191,False,0.25,0.25,0.25,0.25,0.4594,0.3156,0.0
8,Code,fixed_grpo,0.88897,0.15,0.3219,0.633,0.8,0.8,4.8,0.6592,0.1013,0.0606,1.7269,4.8e-05,1640.691,0.107362,0.877997,0.003274,0.0,12.663351058959961,False,0.25,0.25,0.25,0.25,0.4375,0.3219,0.0
9,Code,fixed_grpo,0.84909,0.12344,0.3344,0.6326,0.8,0.8,4.825,0.6495,0.1057,0.0579,1.8402,5.2e-05,1640.691,0.107588,0.879754,0.003294,0.0,12.28770637512207,False,0.25,0.25,0.25,0.25,0.4109,0.3344,0.0
10,Code,fixed_grpo,0.96328,0.15469,0.3187,0.5984,0.775,0.775,4.625,0.6696,0.1048,0.0567,1.8,5.6e-05,1640.691,0.107831,0.881678,0.00331,0.0,13.406547546386719,False,0.25,0.25,0.25,0.25,0.4422,0.3187,0.0
11,MedicalMC,fixed_grpo,0.89788,0.11484,0.2859,0.6763,1.0,1.0,4.575,0.7237,0.0595,0.1479,2.4724,6e-05,1640.691,0.109057,0.891663,0.003352,0.0,13.744580268859863,False,0.25,0.25,0.25,0.25,0.4813,0.3547,0.2859
12,MedicalMC,fixed_grpo,1.09626,0.13359,0.2797,0.5906,0.85,0.85,4.475,0.775,0.0628,0.1123,2.4662,6.6e-05,1640.691,0.109491,0.895181,0.00337,0.0,13.88109016418457,False,0.25,0.25,0.25,0.25,0.5281,0.3453,0.2797
13,MedicalMC,fixed_grpo,1.03135,0.10391,0.2812,0.671,0.975,0.975,4.5,0.7551,0.0569,0.1356,2.4468,6.9e-05,1640.691,0.109817,0.897699,0.0034,0.0,13.668665885925293,False,0.25,0.25,0.25,0.25,0.4672,0.3469,0.2812
14,MedicalMC,fixed_grpo,1.16818,0.13516,0.3047,0.6736,0.95,0.95,4.875,0.6596,0.0666,0.1974,2.4981,7.1e-05,1640.691,0.110071,0.899704,0.003418,0.0,13.601066589355469,False,0.25,0.25,0.25,0.25,0.5094,0.3672,0.3047
15,MedicalMC,fixed_grpo,1.1023,0.11484,0.2891,0.6555,0.975,0.975,4.625,0.7078,0.0584,0.1676,2.4804,7.4e-05,1640.691,0.110252,0.901142,0.003428,0.0,13.572365760803223,False,0.25,0.25,0.25,0.25,0.4688,0.3672,0.2891
