cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.64884,0.0,0.3891,0.6896,0.85,0.85,6.175,0.5125,0.0952,0.0972,1.6398,1.2e-05,1640.691,0.097924,0.801764,0.002858,0.0,14.440129280090332,False,0.25,0.25,0.25,0.25,0.3891,0.0,0.0
2,GSM8K,fixed_grpo,0.31198,0.0,0.4422,0.7218,0.875,0.875,7.05,0.5187,0.1044,0.0851,1.5672,1.8e-05,1640.691,0.096659,0.791466,0.002813,0.0,13.854464530944824,False,0.25,0.25,0.25,0.25,0.4422,0.0,0.0
3,GSM8K,fixed_grpo,0.30054,0.0,0.4906,0.7613,0.925,0.925,7.8,0.4835,0.1074,0.0855,1.4505,2.1e-05,1640.691,0.098496,0.806092,0.002923,0.0,14.200750350952148,False,0.25,0.25,0.25,0.25,0.4906,0.0,0.0
4,GSM8K,fixed_grpo,0.12706,0.0,0.3734,0.7054,0.825,0.825,5.825,0.5039,0.0985,0.1056,1.674,2.5e-05,1640.691,0.099468,0.813868,0.002976,0.0,13.358375549316406,False,0.25,0.25,0.25,0.25,0.3734,0.0,0.0
5,GSM8K,fixed_grpo,0.45458,0.0,0.5406,0.7864,0.925,0.925,8.525,0.4485,0.1291,0.0795,1.3067,2.8e-05,1640.691,0.100288,0.820445,0.003018,0.0,13.808109283447266,False,0.25,0.25,0.25,0.25,0.5406,0.0,0.0
6,Code,fixed_grpo,-0.22994,-0.09531,0.3094,0.6005,0.775,0.775,4.675,0.6525,0.0997,0.0587,1.7683,3.6e-05,1640.691,0.105249,0.861049,0.003165,0.0,12.477181434631348,False,0.25,0.25,0.25,0.25,0.4453,0.3094,0.0
7,Code,fixed_grpo,0.33768,-0.01875,0.3094,0.5992,0.75,0.75,4.45,0.6436,0.0965,0.0585,1.74,4.4e-05,1640.691,0.106041,0.867367,0.00321,0.0,12.420053482055664,False,0.25,0.25,0.25,0.25,0.5219,0.3094,0.0
8,Code,fixed_grpo,0.46119,0.0,0.3438,0.6648,0.85,0.85,5.125,0.6414,0.1171,0.0573,1.7103,4.8e-05,1640.691,0.106495,0.870887,0.00325,0.0,13.313714981079102,False,0.25,0.25,0.25,0.25,0.5406,0.3438,0.0
9,Code,fixed_grpo,0.13087,-0.07344,0.3281,0.6318,0.7,0.7,4.875,0.6348,0.1042,0.0603,1.6469,5.3e-05,1640.691,0.106771,0.873071,0.003269,0.0,12.795701026916504,False,0.25,0.25,0.25,0.25,0.4672,0.3281,0.0
10,Code,fixed_grpo,0.69129,0.06562,0.3281,0.612,0.775,0.775,4.875,0.6602,0.0947,0.0513,1.8639,5.7e-05,1640.691,0.106973,0.874649,0.003285,0.0,12.881155014038086,False,0.25,0.25,0.25,0.25,0.6062,0.3281,0.0
11,MedicalMC,fixed_grpo,0.54509,0.02109,0.2797,0.6596,0.95,0.95,4.475,0.7453,0.07,0.1283,2.4206,6.1e-05,1640.691,0.108193,0.884596,0.003327,0.0,13.381951332092285,False,0.25,0.25,0.25,0.25,0.6016,0.3094,0.2797
12,MedicalMC,fixed_grpo,0.85067,0.03984,0.3281,0.6318,0.875,0.875,5.225,0.7742,0.0505,0.052,2.0187,6.5e-05,1640.691,0.108756,0.889109,0.003356,0.0,13.605844497680664,False,0.25,0.25,0.25,0.25,0.6281,0.3203,0.3281
13,MedicalMC,fixed_grpo,0.88199,0.05703,0.3203,0.7107,0.925,0.925,4.325,0.8178,0.0538,0.065,1.5511,6.8e-05,1640.691,0.109109,0.891924,0.003376,0.0,13.647717475891113,False,0.25,0.25,0.25,0.25,0.6234,0.3594,0.3203
14,MedicalMC,fixed_grpo,0.9083,0.02969,0.3719,0.7284,0.95,0.95,4.575,0.8239,0.0692,0.0692,1.6968,7.1e-05,1640.691,0.109381,0.894093,0.003392,0.0,13.323081970214844,False,0.25,0.25,0.25,0.25,0.6312,0.2969,0.3719
15,MedicalMC,fixed_grpo,0.67448,0.025,0.3094,0.7047,0.95,0.95,4.7,0.7971,0.0466,0.0853,2.1163,7.3e-05,1640.691,0.109598,0.895816,0.003405,0.0,14.059163093566895,False,0.25,0.25,0.25,0.25,0.6078,0.3109,0.3094
