cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.75929,0.0,0.5094,0.8011,0.925,0.925,8.025,0.499,0.116,0.0777,1.4237,1.2e-05,1640.691,0.098136,0.803248,0.002899,0.0,14.584207534790039,False,0.25,0.25,0.25,0.25,0.5094,0.0,0.0
2,GSM8K,nsiac,0.12854,0.0,0.3891,0.7055,0.875,0.875,6.175,0.5256,0.094,0.098,1.6706,1.6e-05,1640.691,0.094938,0.77742,0.002757,0.0,14.206612586975098,False,0.25,0.25,0.25,0.25,0.3891,0.0,0.0
3,GSM8K,nsiac,0.35882,0.0,0.4828,0.7821,0.925,0.925,7.65,0.4957,0.1087,0.1003,1.4558,1.9e-05,1640.691,0.097581,0.798643,0.002891,0.0,14.270838737487793,False,0.3816,0.1801,0.1541,0.2842,0.4828,0.0,0.0
4,GSM8K,nsiac,0.19736,0.0,0.4453,0.7447,0.9,0.9,7.0,0.4628,0.1099,0.1041,1.4753,2.2e-05,1640.691,0.09873,0.807979,0.002933,0.0,13.874585151672363,False,0.3762,0.1765,0.1614,0.2859,0.4453,0.0,0.0
5,GSM8K,nsiac,0.275,0.0,0.4609,0.7561,0.875,0.875,7.25,0.4626,0.1086,0.1054,1.4338,2.4e-05,1640.691,0.102252,0.837227,0.00298,0.0,13.903120040893555,False,0.4599,0.1567,0.062,0.3214,0.4609,0.0,0.0
6,Code,nsiac,0.41013,0.06875,0.3281,0.6335,0.825,0.825,4.825,0.6657,0.0948,0.0559,1.815,3.2e-05,1640.691,0.105986,0.867467,0.003134,0.0,12.493654251098633,False,0.3412,0.0863,0.3035,0.2689,0.5297,0.3281,0.0
7,Code,nsiac,0.62676,0.06406,0.35,0.6433,0.8,0.8,4.975,0.6528,0.0854,0.0546,1.8722,3.7e-05,1640.691,0.106518,0.871572,0.003184,0.0,12.438230514526367,False,0.4409,0.1298,0.1308,0.2985,0.525,0.35,0.0
8,Code,nsiac,0.80676,0.1375,0.3203,0.6351,0.85,0.85,4.75,0.6658,0.0951,0.0573,1.8548,3.9e-05,1640.691,0.106807,0.873819,0.003208,0.0,13.423091888427734,False,0.4969,0.123,0.0308,0.3493,0.5984,0.3203,0.0
9,Code,nsiac,0.71303,0.05469,0.3734,0.6608,0.8,0.8,5.575,0.6722,0.1003,0.0479,1.8053,4.3e-05,1640.691,0.107132,0.876388,0.00323,0.0,12.72032356262207,False,0.3665,0.0742,0.2644,0.2948,0.5156,0.3734,0.0
10,Code,nsiac,0.41449,-0.00469,0.3469,0.6242,0.775,0.775,5.15,0.6724,0.0925,0.0475,1.8381,4.6e-05,1640.691,0.107408,0.878596,0.003246,0.0,13.00795841217041,False,0.1095,0.7122,0.083,0.0953,0.4562,0.3469,0.0
11,MedicalMC,nsiac,0.67995,0.02031,0.3484,0.7419,0.975,0.975,5.1,0.8094,0.0726,0.0364,1.9558,4.9e-05,1640.69,0.113033,0.92458,0.00342,0.0,13.332862854003906,False,0.6543,0.0819,0.01,0.2538,0.5062,0.3422,0.3484
12,MedicalMC,nsiac,0.7156,0.05234,0.3281,0.6777,0.9,0.9,3.5,0.7795,0.2,0.0175,1.5182,5.3e-05,1640.69,0.113263,0.926392,0.003435,0.0,13.520064353942871,False,0.5369,0.0913,0.0461,0.3257,0.5062,0.4062,0.3281
13,MedicalMC,nsiac,0.78391,0.07188,0.3719,0.7157,0.975,0.975,3.275,0.6458,0.3307,0.0019,1.0296,5.5e-05,1640.69,0.113502,0.928287,0.003452,0.0,13.549736976623535,False,0.5578,0.0745,0.0066,0.3611,0.5891,0.3625,0.3719
14,MedicalMC,nsiac,0.98148,0.07969,0.3891,0.7313,0.95,0.95,5.15,0.7863,0.2084,0.0147,1.771,5.7e-05,1640.69,0.113608,0.929111,0.003461,0.0,13.17910099029541,False,0.454,0.1484,0.0263,0.3713,0.5641,0.4031,0.3891
15,MedicalMC,nsiac,0.94574,0.05781,0.3734,0.7456,0.9,0.9,5.45,0.8347,0.1124,0.0174,2.1822,6e-05,1640.69,0.113735,0.929999,0.003484,0.0,13.995052337646484,False,0.3468,0.0275,0.3225,0.3033,0.5422,0.3812,0.3734
