cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.65909,0.0,0.3531,0.708,0.9,0.9,5.65,0.5979,0.0786,0.0846,1.7697,1.2e-05,1640.691,0.0,14.130827903747559,False,0.25,0.25,0.25,0.25,0.3531,0.0,0.0
2,GSM8K,fixed_grpo,0.19596,0.0,0.2781,0.6181,0.85,0.85,4.45,0.568,0.1028,0.0971,1.9677,1.8e-05,1640.691,0.0,13.519539833068848,False,0.25,0.25,0.25,0.25,0.2781,0.0,0.0
3,GSM8K,fixed_grpo,0.3643,0.0,0.3,0.6513,0.875,0.875,4.8,0.6539,0.0963,0.0822,1.9934,2.2e-05,1640.691,0.0,13.65927791595459,False,0.25,0.25,0.25,0.25,0.3,0.0,0.0
4,GSM8K,fixed_grpo,0.34775,0.0,0.2547,0.5934,0.875,0.875,4.075,0.7377,0.0797,0.0626,2.1246,2.5e-05,1640.691,0.0,13.219993591308594,False,0.25,0.25,0.25,0.25,0.2547,0.0,0.0
5,GSM8K,fixed_grpo,0.45469,0.0,0.2672,0.6064,0.85,0.85,4.275,0.7772,0.085,0.0456,2.1234,2.9e-05,1640.691,0.0,13.657829284667969,False,0.25,0.25,0.25,0.25,0.2672,0.0,0.0
6,Code,fixed_grpo,0.54625,0.05937,0.2234,0.4866,0.725,0.725,3.5,0.7604,0.09,0.0439,1.8699,3.8e-05,1640.691,0.0,12.451520919799805,False,0.25,0.25,0.25,0.25,0.3266,0.2234,0.0
7,Code,fixed_grpo,0.71519,0.08594,0.2078,0.4429,0.65,0.65,3.225,0.8073,0.0884,0.0353,1.9409,5.1e-05,1640.691,0.0,12.920473098754883,False,0.25,0.25,0.25,0.25,0.3531,0.2078,0.0
8,Code,fixed_grpo,0.88251,0.13906,0.1641,0.3896,0.625,0.625,2.6,0.8329,0.0824,0.0284,1.8713,5.7e-05,1640.691,0.0,12.046958923339844,False,0.25,0.25,0.25,0.25,0.4062,0.1641,0.0
9,Code,fixed_grpo,1.02618,0.16094,0.1391,0.3595,0.675,0.675,2.15,0.8376,0.0746,0.0311,1.8296,6.3e-05,1640.691,0.0,12.253267288208008,False,0.25,0.25,0.25,0.25,0.4281,0.1391,0.0
10,Code,fixed_grpo,1.0243,0.13281,0.1437,0.3732,0.575,0.575,2.225,0.837,0.0851,0.0286,1.9017,6.8e-05,1640.691,0.0,11.620701789855957,False,0.25,0.25,0.25,0.25,0.4,0.1437,0.0
11,MedicalMC,fixed_grpo,1.42465,0.16484,0.275,0.6338,0.975,0.975,4.4,0.8451,0.055,0.0802,2.3093,7.2e-05,1640.691,0.0,13.252340316772461,False,0.25,0.25,0.25,0.25,0.4547,0.2859,0.275
12,MedicalMC,fixed_grpo,1.08132,0.12187,0.2719,0.5944,0.9,0.9,4.35,0.8299,0.0308,0.0834,2.1616,7.8e-05,1640.691,0.0,13.711967468261719,False,0.25,0.25,0.25,0.25,0.4484,0.2062,0.2719
13,MedicalMC,fixed_grpo,1.0621,0.13672,0.2203,0.5257,0.8,0.8,3.525,0.7826,0.0244,0.0966,2.2299,8.3e-05,1640.691,0.0,13.65177059173584,False,0.25,0.25,0.25,0.25,0.4141,0.2703,0.2203
14,MedicalMC,fixed_grpo,1.29042,0.14688,0.2141,0.5581,0.825,0.825,3.425,0.8316,0.0223,0.0688,2.3345,8.8e-05,1640.691,0.0,13.875938415527344,False,0.25,0.25,0.25,0.25,0.4625,0.2422,0.2141
15,MedicalMC,fixed_grpo,1.49434,0.15078,0.2375,0.5968,0.9,0.9,3.8,0.9058,0.0254,0.0432,2.4094,9.2e-05,1640.691,0.0,13.199170112609863,False,0.25,0.25,0.25,0.25,0.4719,0.2406,0.2375
