cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.66729,0.0,0.4266,0.7481,0.825,0.825,6.75,0.4787,0.1061,0.1092,1.5608,1.2e-05,1640.691,0.0,14.205387115478516,False,0.25,0.25,0.25,0.25,0.4266,0.0,0.0
2,GSM8K,fixed_grpo,0.22805,0.0,0.4281,0.7482,0.875,0.875,6.825,0.4688,0.1077,0.1129,1.5351,1.8e-05,1640.691,0.0,13.653374671936035,False,0.25,0.25,0.25,0.25,0.4281,0.0,0.0
3,GSM8K,fixed_grpo,0.26872,0.0,0.4562,0.75,0.875,0.875,7.275,0.4704,0.1135,0.1078,1.4629,2.2e-05,1640.691,0.0,14.00328254699707,False,0.25,0.25,0.25,0.25,0.4562,0.0,0.0
4,GSM8K,fixed_grpo,0.14101,0.0,0.3875,0.7075,0.9,0.9,6.075,0.4394,0.1273,0.125,1.6074,2.5e-05,1640.691,0.0,13.71239948272705,False,0.25,0.25,0.25,0.25,0.3875,0.0,0.0
5,GSM8K,fixed_grpo,0.31205,0.0,0.4594,0.7282,0.8,0.8,7.2,0.4153,0.1324,0.1357,1.3565,2.8e-05,1640.691,0.0,13.63420581817627,False,0.25,0.25,0.25,0.25,0.4594,0.0,0.0
6,Code,fixed_grpo,0.05766,-0.04844,0.3234,0.6048,0.75,0.75,4.875,0.6575,0.0909,0.0581,1.7922,3.7e-05,1640.691,0.0,12.58361530303955,False,0.25,0.25,0.25,0.25,0.4109,0.3234,0.0
7,Code,fixed_grpo,0.2608,-0.05625,0.3453,0.6438,0.825,0.825,5.075,0.6668,0.0893,0.054,1.7802,4.5e-05,1640.691,0.0,13.435742378234863,False,0.25,0.25,0.25,0.25,0.4031,0.3453,0.0
8,Code,fixed_grpo,0.178,-0.07656,0.3531,0.6612,0.825,0.825,5.325,0.6686,0.0905,0.0554,1.7124,4.9e-05,1640.691,0.0,13.08138656616211,False,0.25,0.25,0.25,0.25,0.3828,0.3531,0.0
9,Code,fixed_grpo,0.09345,-0.075,0.3047,0.6279,0.775,0.775,4.425,0.6611,0.0966,0.0561,1.7979,5.2e-05,1640.691,0.0,13.607038497924805,False,0.25,0.25,0.25,0.25,0.3844,0.3047,0.0
10,Code,fixed_grpo,0.24429,-0.06719,0.3281,0.6143,0.8,0.8,4.725,0.6576,0.0945,0.0594,1.7597,5.5e-05,1640.691,0.0,12.892402648925781,False,0.25,0.25,0.25,0.25,0.3922,0.3281,0.0
11,MedicalMC,fixed_grpo,0.40791,-0.01875,0.2875,0.6432,0.9,0.9,4.6,0.7618,0.0547,0.1241,2.4298,6e-05,1640.691,0.0,13.336801528930664,False,0.25,0.25,0.25,0.25,0.3922,0.3578,0.2875
12,MedicalMC,fixed_grpo,0.68439,0.02109,0.2984,0.6371,0.925,0.925,4.775,0.753,0.0714,0.1182,2.4338,6.6e-05,1640.691,0.0,13.716957092285156,False,0.25,0.25,0.25,0.25,0.4531,0.3766,0.2984
13,MedicalMC,fixed_grpo,0.81112,0.05391,0.2906,0.6755,0.975,0.975,4.65,0.763,0.0563,0.1005,2.3986,7.1e-05,1640.691,0.0,13.746238708496094,False,0.25,0.25,0.25,0.25,0.4344,0.4609,0.2906
14,MedicalMC,fixed_grpo,1.02355,0.08516,0.2969,0.6785,0.975,0.975,4.75,0.7635,0.0444,0.098,2.4307,7.5e-05,1640.691,0.0,13.983884811401367,False,0.25,0.25,0.25,0.25,0.4781,0.4797,0.2969
15,MedicalMC,fixed_grpo,0.95001,0.07578,0.2687,0.6398,0.975,0.975,4.3,0.7634,0.0547,0.084,2.2678,7.8e-05,1640.691,0.0,13.451380729675293,False,0.25,0.25,0.25,0.25,0.4922,0.4469,0.2687
