cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.6363,0.0,0.3547,0.6924,0.875,0.875,5.65,0.5558,0.0914,0.084,1.8356,1.3e-05,1640.691,0.0,14.398136138916016,False,0.25,0.25,0.25,0.25,0.3547,0.0,0.0
2,GSM8K,fixed_grpo,0.37491,0.0,0.4234,0.7278,0.85,0.85,6.775,0.6062,0.1038,0.0764,1.628,1.8e-05,1640.691,0.0,13.640324592590332,False,0.25,0.25,0.25,0.25,0.4234,0.0,0.0
3,GSM8K,fixed_grpo,0.39039,0.0,0.5406,0.7842,0.925,0.925,8.575,0.5056,0.1104,0.0793,1.2894,2.1e-05,1640.691,0.0,14.2702054977417,False,0.25,0.25,0.25,0.25,0.5406,0.0,0.0
4,GSM8K,fixed_grpo,0.24034,0.0,0.4922,0.756,0.925,0.925,7.825,0.5511,0.0848,0.0767,1.4069,2.5e-05,1640.691,0.0,13.471596717834473,False,0.25,0.25,0.25,0.25,0.4922,0.0,0.0
5,GSM8K,fixed_grpo,0.10028,0.0,0.3547,0.6864,0.9,0.9,5.55,0.5033,0.1082,0.1097,1.7526,2.8e-05,1640.691,0.0,13.493369102478027,False,0.25,0.25,0.25,0.25,0.3547,0.0,0.0
6,Code,fixed_grpo,0.80266,0.17969,0.275,0.5598,0.75,0.75,4.2,0.7034,0.0959,0.0536,1.804,3.7e-05,1640.691,0.0,11.874738693237305,False,0.25,0.25,0.25,0.25,0.5344,0.275,0.0
7,Code,fixed_grpo,0.95484,0.19062,0.2406,0.5232,0.775,0.775,3.7,0.733,0.0895,0.0505,1.8066,4.5e-05,1640.691,0.0,11.602200508117676,False,0.25,0.25,0.25,0.25,0.5453,0.2406,0.0
8,Code,fixed_grpo,0.95976,0.175,0.1984,0.4678,0.725,0.725,3.025,0.7677,0.0948,0.0481,1.9105,5e-05,1640.691,0.0,13.074932098388672,False,0.25,0.25,0.25,0.25,0.5297,0.1984,0.0
9,Code,fixed_grpo,1.04429,0.16094,0.2016,0.4775,0.75,0.75,3.15,0.7841,0.0849,0.0371,1.863,5.5e-05,1640.691,0.0,12.303762435913086,False,0.25,0.25,0.25,0.25,0.5156,0.2016,0.0
10,Code,fixed_grpo,1.02068,0.14688,0.1844,0.4451,0.725,0.725,2.8,0.7981,0.0847,0.0381,1.8988,5.9e-05,1640.691,0.0,12.540510177612305,False,0.25,0.25,0.25,0.25,0.5016,0.1844,0.0
11,MedicalMC,fixed_grpo,1.18937,0.10781,0.2984,0.6705,0.925,0.925,4.775,0.827,0.0624,0.0628,2.3422,6.3e-05,1640.691,0.0,13.30872631072998,False,0.25,0.25,0.25,0.25,0.4844,0.2703,0.2984
12,MedicalMC,fixed_grpo,1.11691,0.14375,0.2828,0.6247,0.925,0.925,4.525,0.8054,0.0726,0.0882,2.3738,6.9e-05,1640.691,0.0,13.483898162841797,False,0.25,0.25,0.25,0.25,0.5219,0.3047,0.2828
13,MedicalMC,fixed_grpo,1.4328,0.18359,0.3203,0.7192,1.0,1.0,5.125,0.8042,0.0593,0.0842,2.4578,7.4e-05,1640.691,0.0,13.508780479431152,False,0.25,0.25,0.25,0.25,0.5687,0.3375,0.3203
14,MedicalMC,fixed_grpo,1.44419,0.19609,0.3391,0.7105,0.925,0.925,5.425,0.7192,0.0593,0.1726,2.5393,7.8e-05,1640.691,0.0,13.281275749206543,False,0.25,0.25,0.25,0.25,0.5766,0.3547,0.3391
15,MedicalMC,fixed_grpo,1.46594,0.19922,0.3078,0.6863,0.975,0.975,4.925,0.771,0.0633,0.1336,2.5242,8e-05,1640.691,0.0,13.969470024108887,False,0.25,0.25,0.25,0.25,0.6047,0.3328,0.3078
