cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.71926,0.0,0.4469,0.7397,0.85,0.85,7.15,0.5325,0.091,0.0962,1.5347,1.2e-05,1640.691,0.0,14.225775718688965,False,0.25,0.25,0.25,0.25,0.4469,0.0,0.0
2,GSM8K,fixed_grpo,0.13033,0.0,0.3641,0.6817,0.875,0.875,5.75,0.4581,0.103,0.1276,1.6687,1.7e-05,1640.691,0.0,13.947538375854492,False,0.25,0.25,0.25,0.25,0.3641,0.0,0.0
3,GSM8K,fixed_grpo,0.36417,0.0,0.4531,0.7353,0.85,0.85,7.225,0.5083,0.0979,0.1,1.4964,2.1e-05,1640.691,0.0,14.015419960021973,False,0.25,0.25,0.25,0.25,0.4531,0.0,0.0
4,GSM8K,fixed_grpo,0.1162,0.0,0.3594,0.6879,0.9,0.9,5.725,0.4493,0.1256,0.1277,1.6777,2.5e-05,1640.691,0.0,13.767655372619629,False,0.25,0.25,0.25,0.25,0.3594,0.0,0.0
5,GSM8K,fixed_grpo,0.3939,0.0,0.4781,0.7498,0.825,0.825,7.575,0.4456,0.119,0.1225,1.3877,2.7e-05,1640.691,0.0,13.617429733276367,False,0.25,0.25,0.25,0.25,0.4781,0.0,0.0
6,Code,fixed_grpo,0.09325,-0.02031,0.2969,0.5768,0.8,0.8,4.475,0.6739,0.1036,0.0623,1.8327,3.7e-05,1640.691,0.0,12.723320007324219,False,0.25,0.25,0.25,0.25,0.4578,0.2969,0.0
7,Code,fixed_grpo,0.56158,0.04688,0.2953,0.5849,0.75,0.75,4.525,0.6812,0.0883,0.0589,1.7865,4.5e-05,1640.691,0.0,13.439878463745117,False,0.25,0.25,0.25,0.25,0.525,0.2953,0.0
8,Code,fixed_grpo,0.3369,-0.04688,0.3344,0.6411,0.825,0.825,5.05,0.6844,0.0958,0.0535,1.7919,5e-05,1640.691,0.0,13.037248611450195,False,0.25,0.25,0.25,0.25,0.4313,0.3344,0.0
9,Code,fixed_grpo,0.24793,-0.03438,0.2719,0.5609,0.75,0.75,4.05,0.6976,0.0905,0.0554,1.7526,5.4e-05,1640.691,0.0,13.556684494018555,False,0.25,0.25,0.25,0.25,0.4437,0.2719,0.0
10,Code,fixed_grpo,0.29881,-0.04531,0.2609,0.521,0.725,0.725,3.95,0.6989,0.0953,0.0489,1.8308,5.8e-05,1640.691,0.0,12.87026596069336,False,0.25,0.25,0.25,0.25,0.4328,0.2609,0.0
11,MedicalMC,fixed_grpo,0.66666,0.00781,0.3,0.6604,0.975,0.975,4.8,0.7752,0.0519,0.0941,2.4836,6.2e-05,1640.691,0.0,13.379599571228027,False,0.25,0.25,0.25,0.25,0.4453,0.3094,0.3
12,MedicalMC,fixed_grpo,0.68841,0.02422,0.2875,0.6529,0.875,0.875,4.6,0.8034,0.0605,0.0807,2.4664,6.7e-05,1640.691,0.0,13.727410316467285,False,0.25,0.25,0.25,0.25,0.4656,0.3219,0.2875
13,MedicalMC,fixed_grpo,0.56527,-0.01797,0.2938,0.66,0.925,0.925,4.7,0.7907,0.0553,0.089,2.4922,7e-05,1640.691,0.0,13.696222305297852,False,0.25,0.25,0.25,0.25,0.4547,0.2484,0.2938
14,MedicalMC,fixed_grpo,1.00185,0.05938,0.3359,0.6986,0.975,0.975,5.375,0.7972,0.0695,0.083,2.4542,7.4e-05,1640.691,0.0,13.946703910827637,False,0.25,0.25,0.25,0.25,0.4938,0.3641,0.3359
15,MedicalMC,fixed_grpo,0.76965,0.0375,0.2906,0.6568,0.9,0.9,4.65,0.8071,0.0639,0.0734,2.5772,7.6e-05,1640.691,0.0,13.480094909667969,False,0.25,0.25,0.25,0.25,0.4703,0.3438,0.2906
