cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.72231,0.0,0.4531,0.7678,0.9,0.9,7.175,0.5245,0.0881,0.0843,1.5438,1.3e-05,1640.691,0.0,14.088838577270508,False,0.25,0.25,0.25,0.25,0.4531,0.0,0.0
2,GSM8K,fixed_grpo,0.30171,0.0,0.4797,0.7937,0.925,0.925,7.675,0.5484,0.0908,0.0921,1.3976,1.8e-05,1640.691,0.0,13.498693466186523,False,0.25,0.25,0.25,0.25,0.4797,0.0,0.0
3,GSM8K,fixed_grpo,0.28045,0.0,0.4875,0.7773,0.925,0.925,7.8,0.527,0.0944,0.094,1.4279,2.1e-05,1640.691,0.0,13.91528606414795,False,0.25,0.25,0.25,0.25,0.4875,0.0,0.0
4,GSM8K,fixed_grpo,0.24288,0.0,0.4672,0.7435,0.9,0.9,7.425,0.5054,0.1065,0.0968,1.3319,2.5e-05,1640.691,0.0,13.836580276489258,False,0.25,0.25,0.25,0.25,0.4672,0.0,0.0
5,GSM8K,fixed_grpo,0.38884,0.0,0.5375,0.8128,0.925,0.925,8.525,0.5292,0.0944,0.0816,1.2753,2.8e-05,1640.691,0.0,13.85894775390625,False,0.25,0.25,0.25,0.25,0.5375,0.0,0.0
6,Code,fixed_grpo,0.12652,0.02813,0.25,0.5539,0.75,0.75,3.875,0.7275,0.0944,0.0516,1.8367,3.7e-05,1640.691,0.0,12.510071754455566,False,0.25,0.25,0.25,0.25,0.5656,0.25,0.0
7,Code,fixed_grpo,0.345,-0.02344,0.2016,0.4798,0.725,0.725,3.125,0.7901,0.0853,0.0364,1.8788,4.6e-05,1640.691,0.0,12.886466979980469,False,0.25,0.25,0.25,0.25,0.5141,0.2016,0.0
8,Code,fixed_grpo,0.50687,0.01562,0.1547,0.3994,0.65,0.65,2.45,0.8204,0.0846,0.0337,1.8946,5.2e-05,1640.691,0.0,12.731440544128418,False,0.25,0.25,0.25,0.25,0.5531,0.1547,0.0
9,Code,fixed_grpo,0.69696,0.03281,0.1875,0.4581,0.675,0.675,2.975,0.8066,0.079,0.0338,1.8662,5.7e-05,1640.691,0.0,12.744091987609863,False,0.25,0.25,0.25,0.25,0.5703,0.1875,0.0
10,Code,fixed_grpo,0.60825,0.04219,0.1297,0.3234,0.525,0.525,2.075,0.8056,0.0745,0.0428,1.8764,6.3e-05,1640.691,0.0,11.516908645629883,False,0.25,0.25,0.25,0.25,0.5797,0.1297,0.0
11,MedicalMC,fixed_grpo,1.21529,0.08125,0.3031,0.6741,0.95,0.95,4.85,0.8537,0.0544,0.065,2.267,6.7e-05,1640.691,0.0,13.222068786621094,False,0.25,0.25,0.25,0.25,0.6094,0.2203,0.3031
12,MedicalMC,fixed_grpo,0.99573,0.08672,0.325,0.7253,1.0,1.0,5.15,0.8311,0.0569,0.0617,1.738,7.2e-05,1640.691,0.0,13.67275333404541,False,0.25,0.25,0.25,0.25,0.6172,0.2234,0.325
13,MedicalMC,fixed_grpo,0.8763,0.07734,0.2891,0.6749,0.975,0.975,4.625,0.8094,0.0557,0.0843,1.9935,7.6e-05,1640.691,0.0,13.640408515930176,False,0.25,0.25,0.25,0.25,0.5859,0.2359,0.2891
14,MedicalMC,fixed_grpo,1.06746,0.10078,0.2969,0.6489,0.9,0.9,4.75,0.7633,0.0524,0.1343,2.2641,7.9e-05,1640.691,0.0,13.894231796264648,False,0.25,0.25,0.25,0.25,0.6453,0.2234,0.2969
15,MedicalMC,fixed_grpo,0.97218,0.07187,0.2797,0.5773,0.85,0.85,4.475,0.8008,0.0535,0.1076,2.3149,8.2e-05,1640.691,0.0,13.272541999816895,False,0.25,0.25,0.25,0.25,0.5922,0.2188,0.2797
