cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.76774,0.0,0.5275,0.7984,0.96,0.96,0.4751,0.1068,0.0917,1.2843,1.5e-05,1640.691,0.0,14.346041679382324,False,0.25,0.25,0.25,0.25,0.5275,0.0,0.0
2,GSM8K,fixed_grpo,0.18469,0.0,0.4913,0.7537,0.92,0.92,0.4664,0.1105,0.0869,1.385,2.2e-05,1640.691,0.0,13.836167335510254,False,0.25,0.25,0.25,0.25,0.4913,0.0,0.0
3,GSM8K,fixed_grpo,0.24433,0.0,0.5275,0.7586,0.9,0.9,0.4212,0.1345,0.0741,1.2499,2.6e-05,1640.691,0.0,14.363927841186523,False,0.25,0.25,0.25,0.25,0.5275,0.0,0.0
4,GSM8K,fixed_grpo,0.22324,0.0,0.5175,0.8068,0.94,0.94,0.452,0.1191,0.0722,1.3377,3e-05,1640.691,0.0,13.912872314453125,False,0.25,0.25,0.25,0.25,0.5175,0.0,0.0
5,GSM8K,fixed_grpo,0.27373,0.0,0.525,0.8057,0.94,0.94,0.4682,0.0954,0.0748,1.322,3.3e-05,1640.691,0.0,13.651093482971191,False,0.25,0.25,0.25,0.25,0.525,0.0,0.0
6,GSM8K,fixed_grpo,0.26363,0.0,0.5363,0.8002,0.92,0.92,0.426,0.0986,0.0677,1.223,3.7e-05,1640.691,0.0,14.368866920471191,False,0.25,0.25,0.25,0.25,0.5363,0.0,0.0
7,GSM8K,fixed_grpo,0.26522,0.0,0.5525,0.817,0.94,0.94,0.4064,0.1145,0.0821,1.1907,4e-05,1640.691,0.0,13.454959869384766,False,0.25,0.25,0.25,0.25,0.5525,0.0,0.0
8,GSM8K,fixed_grpo,0.32539,0.0,0.6262,0.8542,0.98,0.98,0.3534,0.1184,0.069,0.9868,4.2e-05,1640.691,0.0,13.966682434082031,False,0.25,0.25,0.25,0.25,0.6262,0.0,0.0
9,GSM8K,fixed_grpo,0.22837,0.0,0.6175,0.8311,0.94,0.94,0.377,0.1238,0.082,1.0077,4.5e-05,1640.691,0.0,14.19593334197998,False,0.25,0.25,0.25,0.25,0.6175,0.0,0.0
10,GSM8K,fixed_grpo,0.19411,0.0,0.5225,0.7716,0.92,0.92,0.4863,0.0984,0.0936,1.3184,4.7e-05,1640.691,0.0,13.54198932647705,False,0.25,0.25,0.25,0.25,0.5225,0.0,0.0
11,Code,fixed_grpo,0.11262,-0.02375,0.3088,0.6387,0.86,0.86,0.6802,0.0931,0.0523,1.7223,4.9e-05,1640.691,0.0,12.756266593933105,False,0.25,0.25,0.25,0.25,0.5038,0.3088,0.0
12,Code,fixed_grpo,0.41999,-0.0475,0.3,0.6051,0.78,0.78,0.6517,0.0839,0.066,1.8571,5e-05,1640.691,0.0,12.704635620117188,False,0.25,0.25,0.25,0.25,0.48,0.3,0.0
