cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.73115,0.0,0.44,0.7404,0.88,0.88,7.04,0.5703,0.0919,0.0778,1.5783,1.5e-05,1640.691,0.0,14.192359924316406,False,0.25,0.25,0.25,0.25,0.44,0.0,0.0
2,GSM8K,fixed_grpo,0.31139,0.0,0.5138,0.7982,0.92,0.92,8.1,0.4783,0.1079,0.0995,1.341,2.2e-05,1640.691,0.0,13.405482292175293,False,0.25,0.25,0.25,0.25,0.5138,0.0,0.0
3,GSM8K,fixed_grpo,0.23594,0.0,0.4963,0.7806,0.92,0.92,7.88,0.4999,0.0966,0.0855,1.4189,2.6e-05,1640.691,0.0,14.176932334899902,False,0.25,0.25,0.25,0.25,0.4963,0.0,0.0
4,GSM8K,fixed_grpo,0.22322,0.0,0.4575,0.7645,0.92,0.92,7.24,0.5034,0.0949,0.0874,1.4777,3e-05,1640.691,0.0,14.04831600189209,False,0.25,0.25,0.25,0.25,0.4575,0.0,0.0
5,GSM8K,fixed_grpo,0.35789,0.0,0.52,0.7929,0.92,0.92,8.26,0.4973,0.1016,0.0854,1.3538,3.4e-05,1640.691,0.0,13.79202651977539,False,0.25,0.25,0.25,0.25,0.52,0.0,0.0
6,GSM8K,fixed_grpo,0.31518,0.0,0.55,0.8327,0.96,0.96,8.68,0.4715,0.1011,0.0828,1.2003,3.7e-05,1640.691,0.0,14.254036903381348,False,0.25,0.25,0.25,0.25,0.55,0.0,0.0
7,GSM8K,fixed_grpo,0.25463,0.0,0.5188,0.7866,0.94,0.94,8.3,0.4893,0.1035,0.0846,1.3653,4e-05,1640.691,0.0,13.310465812683105,False,0.25,0.25,0.25,0.25,0.5188,0.0,0.0
8,GSM8K,fixed_grpo,0.33636,0.0,0.53,0.7892,0.94,0.94,8.36,0.4984,0.1066,0.0844,1.2872,4.3e-05,1640.691,0.0,13.654706001281738,False,0.25,0.25,0.25,0.25,0.53,0.0,0.0
9,GSM8K,fixed_grpo,0.39141,0.0,0.555,0.7943,0.94,0.94,8.82,0.5187,0.1027,0.0782,1.2173,4.5e-05,1640.691,0.0,13.725829124450684,False,0.25,0.25,0.25,0.25,0.555,0.0,0.0
10,GSM8K,fixed_grpo,0.37605,0.0,0.56,0.7908,0.9,0.9,8.94,0.5177,0.1042,0.0689,1.1551,4.8e-05,1640.691,0.0,13.728113174438477,False,0.25,0.25,0.25,0.25,0.56,0.0,0.0
11,Code,fixed_grpo,0.02524,0.0,0.25,0.559,0.76,0.76,3.94,0.7344,0.0878,0.0527,1.832,5.3e-05,1640.691,0.0,12.589947700500488,False,0.25,0.25,0.25,0.25,0.56,0.25,0.0
12,Code,fixed_grpo,0.69372,0.0525,0.1787,0.4051,0.64,0.64,2.82,0.7867,0.0789,0.0405,1.8826,6e-05,1640.691,0.0,12.533734321594238,False,0.25,0.25,0.25,0.25,0.6125,0.1787,0.0
13,Code,fixed_grpo,1.04322,0.0975,0.18,0.4469,0.72,0.72,2.82,0.7989,0.082,0.0336,1.8857,6.6e-05,1640.691,0.0,12.803788185119629,False,0.25,0.25,0.25,0.25,0.6575,0.18,0.0
14,Code,fixed_grpo,1.21884,0.13125,0.1787,0.4191,0.68,0.68,2.78,0.7965,0.0817,0.0397,1.8829,7.2e-05,1640.691,0.0,13.285463333129883,False,0.25,0.25,0.25,0.25,0.6913,0.1787,0.0
15,Code,fixed_grpo,1.30505,0.14,0.175,0.4323,0.7,0.7,2.72,0.797,0.0807,0.0327,1.925,7.9e-05,1640.691,0.0,12.425346374511719,False,0.25,0.25,0.25,0.25,0.7,0.175,0.0
16,Code,fixed_grpo,1.30779,0.1275,0.17,0.4202,0.68,0.68,2.66,0.8019,0.0806,0.0359,1.8819,8.5e-05,1640.691,0.0,12.075920104980469,False,0.25,0.25,0.25,0.25,0.6875,0.17,0.0
