cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.68499,0.0,0.4288,0.7372,0.88,0.88,0.5038,0.0956,0.0922,1.5051,1.5e-05,1640.691,0.0,14.452886581420898,False,0.25,0.25,0.25,0.25,0.4288,0.0,0.0
2,GSM8K,nsiac,0.22446,0.0,0.41,0.734,0.92,0.92,0.5018,0.1023,0.0986,1.6648,2.1e-05,1640.691,0.0,13.507041931152344,False,0.25,0.25,0.25,0.25,0.41,0.0,0.0
3,GSM8K,nsiac,0.31639,0.0,0.4775,0.7783,0.92,0.92,0.4716,0.1065,0.0995,1.4363,2.4e-05,1640.691,0.0,14.048604965209961,False,0.6347,0.1652,0.0183,0.1817,0.4775,0.0,0.0
4,GSM8K,nsiac,0.20399,0.0,0.4763,0.7669,0.94,0.94,0.4031,0.1186,0.1116,1.3923,2.8e-05,1640.691,0.0,13.844730377197266,False,0.6323,0.1698,0.0181,0.1798,0.4763,0.0,0.0
5,GSM8K,nsiac,0.3562,0.0,0.565,0.8067,0.94,0.94,0.4369,0.1023,0.0861,1.2084,3.5e-05,1640.69,0.0,13.744114875793457,False,0.2588,0.1134,0.3523,0.2754,0.565,0.0,0.0
6,GSM8K,nsiac,0.12057,0.0,0.455,0.7347,0.94,0.94,0.4598,0.1,0.104,1.4853,4.4e-05,1640.69,0.0,13.687443733215332,False,0.1924,0.1578,0.4749,0.1749,0.455,0.0,0.0
7,GSM8K,nsiac,0.28376,0.0,0.4425,0.7555,0.9,0.9,0.485,0.0948,0.1028,1.4966,4.9e-05,1640.69,0.0,13.181105613708496,False,0.0998,0.5177,0.3613,0.0213,0.4425,0.0,0.0
8,GSM8K,nsiac,0.44964,0.0,0.5337,0.7973,0.9,0.9,0.4817,0.099,0.094,1.3014,5.6e-05,1640.69,0.0,13.672564506530762,False,0.1492,0.168,0.566,0.1167,0.5337,0.0,0.0
9,GSM8K,nsiac,0.30172,0.0,0.5312,0.7756,0.94,0.94,0.4521,0.0995,0.0824,1.1906,5.8e-05,1640.69,0.0,13.6441068649292,False,0.2646,0.0829,0.2347,0.4177,0.5312,0.0,0.0
10,GSM8K,nsiac,0.2809,0.0,0.5012,0.7309,0.88,0.88,0.4678,0.1061,0.0738,1.2602,6.3e-05,1640.69,0.0,13.60579776763916,False,0.0406,0.1571,0.4732,0.3291,0.5012,0.0,0.0
11,Code,nsiac,0.33519,0.07,0.3262,0.636,0.8,0.8,0.669,0.0882,0.0609,1.7909,6.4e-05,1640.69,0.0,12.95561408996582,False,0.06,0.0943,0.1852,0.6604,0.4988,0.3262,0.0
12,Code,nsiac,0.62255,0.07125,0.3025,0.6019,0.82,0.82,0.6641,0.0878,0.056,1.8523,6.5e-05,1640.69,0.0,12.689061164855957,False,0.2371,0.0372,0.072,0.6537,0.5,0.3025,0.0
13,Code,nsiac,0.63668,0.04125,0.305,0.5915,0.78,0.78,0.6627,0.0942,0.0611,1.8479,6.7e-05,1640.69,0.0,12.868539810180664,False,0.1046,0.0275,0.2894,0.5785,0.47,0.305,0.0
14,Code,nsiac,0.67214,0.05,0.2988,0.6095,0.8,0.8,0.6691,0.0908,0.0593,1.81,6.8e-05,1640.69,0.0,13.610230445861816,False,0.0072,0.0768,0.213,0.703,0.4788,0.2988,0.0
