cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.69517,0.0,0.41,0.7347,0.88,0.88,6.54,0.5583,0.0888,0.0672,1.6112,1.4e-05,1640.691,0.0,14.287884712219238,False,0.25,0.25,0.25,0.25,0.41,0.0,0.0
2,GSM8K,nsiac,0.28197,0.0,0.435,0.7319,0.86,0.86,6.9,0.5148,0.0906,0.0846,1.5364,2e-05,1640.691,0.0,13.881739616394043,False,0.25,0.25,0.25,0.25,0.435,0.0,0.0
3,GSM8K,nsiac,0.32517,0.0,0.505,0.7758,0.9,0.9,8.0,0.4754,0.0903,0.0779,1.3391,2.3e-05,1640.691,0.0,14.167476654052734,False,0.6135,0.1696,0.0135,0.2034,0.505,0.0,0.0
4,GSM8K,nsiac,0.2774,0.0,0.5238,0.8005,0.96,0.96,8.18,0.4745,0.0919,0.0784,1.3323,2.6e-05,1640.691,0.0,13.714242935180664,False,0.6086,0.1726,0.0138,0.2051,0.5238,0.0,0.0
5,GSM8K,nsiac,0.26507,0.0,0.5088,0.7582,0.92,0.92,8.0,0.5063,0.0975,0.0697,1.3374,3e-05,1640.691,0.0,14.630240440368652,False,0.2732,0.1166,0.3115,0.2987,0.5088,0.0,0.0
6,GSM8K,nsiac,0.29035,0.0,0.5012,0.7826,0.9,0.9,7.92,0.5089,0.0945,0.0517,1.3341,3.5e-05,1640.69,0.0,14.454347610473633,False,0.2273,0.1766,0.3835,0.2126,0.5012,0.0,0.0
7,GSM8K,nsiac,0.31091,0.0,0.5075,0.7887,0.94,0.94,8.0,0.4886,0.0929,0.0547,1.3631,3.7e-05,1640.69,0.0,14.194681167602539,False,0.631,0.2405,0.0582,0.0703,0.5075,0.0,0.0
8,GSM8K,nsiac,0.37126,0.0,0.5575,0.8187,0.94,0.94,8.8,0.4609,0.0974,0.0703,1.2456,3.9e-05,1640.69,0.0,14.043132781982422,False,0.2251,0.4753,0.1605,0.1392,0.5575,0.0,0.0
9,GSM8K,nsiac,0.31892,0.0,0.57,0.8157,0.96,0.96,8.78,0.446,0.0996,0.0755,1.1551,4.1e-05,1640.69,0.0,14.203761100769043,False,0.5731,0.3715,0.0087,0.0468,0.57,0.0,0.0
10,GSM8K,nsiac,0.2815,0.0,0.5475,0.7947,0.9,0.9,8.46,0.4516,0.0988,0.0881,1.2395,4.2e-05,1640.69,0.0,14.170456886291504,False,0.1271,0.731,0.029,0.1129,0.5475,0.0,0.0
11,Code,nsiac,0.12788,0.00625,0.3137,0.6194,0.8,0.8,4.74,0.666,0.0824,0.0552,1.823,4.3e-05,1640.69,0.0,12.820371627807617,False,0.0865,0.7256,0.1463,0.0416,0.5537,0.3137,0.0
12,Code,nsiac,0.35263,-0.04125,0.3088,0.5794,0.76,0.76,4.54,0.6765,0.0958,0.0569,1.8245,4.4e-05,1640.69,0.0,12.60867691040039,False,0.1418,0.7609,0.0229,0.0744,0.5062,0.3088,0.0
13,Code,nsiac,0.56255,-0.01375,0.3475,0.6357,0.76,0.76,5.14,0.6598,0.0883,0.0558,1.8195,4.5e-05,1640.69,0.0,12.809500694274902,False,0.0277,0.8465,0.0855,0.0403,0.5337,0.3475,0.0
14,Code,nsiac,0.46377,-0.01375,0.3262,0.6362,0.82,0.82,4.72,0.6635,0.0978,0.0585,1.8025,4.6e-05,1640.69,0.0,13.59467601776123,False,0.0735,0.7842,0.0928,0.0494,0.5337,0.3262,0.0
15,Code,nsiac,0.4294,-0.0275,0.3013,0.6131,0.82,0.82,4.48,0.6855,0.0959,0.0529,1.8109,4.6e-05,1640.69,0.0,12.727431297302246,False,0.2717,0.7045,0.0083,0.0155,0.52,0.3013,0.0
16,Code,nsiac,0.67738,-0.0075,0.3375,0.6414,0.76,0.76,4.88,0.67,0.0899,0.0547,1.7662,4.7e-05,1640.69,0.0,13.05921459197998,False,0.0737,0.8479,0.0414,0.037,0.54,0.3375,0.0
17,Code,nsiac,0.56881,-0.01,0.32,0.6303,0.76,0.76,4.66,0.6726,0.0913,0.0567,1.7692,4.8e-05,1640.69,0.0,12.726347923278809,False,0.0096,0.7348,0.0398,0.2157,0.5375,0.32,0.0
18,Code,nsiac,0.5347,-0.02625,0.3212,0.6376,0.8,0.8,4.64,0.6601,0.0962,0.0598,1.8529,4.9e-05,1640.69,0.0,12.907846450805664,False,0.0085,0.8295,0.0634,0.0985,0.5212,0.3212,0.0
19,Code,nsiac,0.6457,-0.02,0.3375,0.6447,0.8,0.8,5.06,0.665,0.0918,0.0579,1.7833,5e-05,1640.69,0.0,12.861812591552734,False,0.0604,0.7943,0.1132,0.0322,0.5275,0.3375,0.0
20,Code,nsiac,0.59551,0.0,0.2825,0.5603,0.74,0.74,4.14,0.6576,0.0886,0.069,1.8478,5e-05,1640.69,0.0,12.844841957092285,False,0.048,0.8629,0.0392,0.0498,0.5475,0.2825,0.0
21,MedicalMC,nsiac,1.06244,0.01813,0.3063,0.6843,0.96,0.96,4.9,0.7286,0.0662,0.1364,2.4594,5.1e-05,1640.69,0.0,13.774449348449707,False,0.0408,0.8962,0.0409,0.0222,0.5425,0.3237,0.3063
