cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.74205,0.0,0.4825,0.7875,0.94,0.94,7.6,0.509,0.0969,0.0868,1.4657,1.4e-05,1640.691,0.0,13.410470008850098,False,0.25,0.25,0.25,0.25,0.4825,0.0,0.0
2,GSM8K,nsiac,0.27524,0.0,0.5038,0.7628,0.86,0.86,7.98,0.5103,0.0934,0.0851,1.3869,2e-05,1640.691,0.0,13.47158145904541,False,0.25,0.25,0.25,0.25,0.5038,0.0,0.0
3,GSM8K,nsiac,0.28025,0.0,0.5325,0.7886,0.92,0.92,8.32,0.4851,0.101,0.0669,1.3132,2.3e-05,1640.691,0.0,14.093810081481934,False,0.6134,0.1706,0.0135,0.2024,0.5325,0.0,0.0
4,GSM8K,nsiac,0.28864,0.0,0.6025,0.8118,0.94,0.94,8.9,0.3961,0.1111,0.0736,1.093,2.6e-05,1640.691,0.0,14.41447925567627,False,0.6121,0.1714,0.0136,0.2029,0.6025,0.0,0.0
5,GSM8K,nsiac,0.1453,0.0,0.52,0.7872,0.94,0.94,8.1,0.4571,0.1119,0.0916,1.3064,2.9e-05,1640.691,0.0,13.699921607971191,False,0.2728,0.1126,0.3127,0.3019,0.52,0.0,0.0
6,GSM8K,nsiac,0.22833,0.0,0.48,0.7047,0.88,0.88,7.56,0.4855,0.1101,0.0938,1.1546,3.5e-05,1640.69,0.0,13.608160018920898,False,0.2371,0.1603,0.3863,0.2164,0.48,0.0,0.0
7,GSM8K,nsiac,0.34826,0.0,0.5312,0.7677,0.92,0.92,8.22,0.4552,0.1112,0.0922,1.1278,3.8e-05,1640.691,0.0,12.570391654968262,False,0.6513,0.2211,0.0575,0.0701,0.5312,0.0,0.0
8,GSM8K,nsiac,0.30277,0.0,0.5275,0.7635,0.92,0.92,8.32,0.4785,0.1035,0.0847,1.221,4e-05,1640.69,0.0,13.754769325256348,False,0.2551,0.4309,0.1731,0.1409,0.5275,0.0,0.0
9,GSM8K,nsiac,0.30943,0.0,0.5275,0.7969,0.92,0.92,8.08,0.4608,0.1066,0.0777,1.2402,4.2e-05,1640.691,0.0,13.787016868591309,False,0.7107,0.2365,0.0084,0.0443,0.5275,0.0,0.0
10,GSM8K,nsiac,0.36579,0.0,0.5575,0.7851,0.92,0.92,8.42,0.4474,0.1038,0.0837,1.1493,4.4e-05,1640.691,0.0,13.829736709594727,False,0.5647,0.3416,0.0191,0.0746,0.5575,0.0,0.0
11,Code,nsiac,-0.03419,-0.02375,0.2875,0.5913,0.8,0.8,4.32,0.6868,0.0865,0.055,1.8238,4.6e-05,1640.69,0.0,12.745580673217773,False,0.4148,0.4715,0.0263,0.0874,0.5337,0.2875,0.0
12,Code,nsiac,0.34725,-0.03375,0.2462,0.5688,0.84,0.84,3.82,0.7071,0.0866,0.0631,1.7766,5.1e-05,1640.691,0.0,12.641818046569824,False,0.5755,0.3772,0.0111,0.0361,0.5238,0.2462,0.0
13,Code,nsiac,0.60573,-0.02625,0.32,0.6426,0.8,0.8,4.84,0.6989,0.0859,0.0492,1.8498,5.4e-05,1640.691,0.0,12.90560245513916,False,0.3504,0.5699,0.0542,0.0255,0.5312,0.32,0.0
