cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.67641,0.0,0.3875,0.7057,0.88,0.88,6.2,0.5683,0.0916,0.0788,1.7355,1.4e-05,1640.691,0.0,13.971748352050781,False,0.25,0.25,0.25,0.25,0.3875,0.0,0.0
2,GSM8K,nsiac,0.39231,0.0,0.4988,0.8052,0.92,0.92,7.9,0.5451,0.0927,0.0663,1.4558,2e-05,1640.691,0.0,14.22545051574707,False,0.25,0.25,0.25,0.25,0.4988,0.0,0.0
3,GSM8K,nsiac,0.30331,0.0,0.5587,0.8096,0.94,0.94,8.66,0.4642,0.1036,0.085,1.2286,2.2e-05,1640.691,0.0,14.263481140136719,False,0.6074,0.1726,0.0138,0.2062,0.5587,0.0,0.0
4,GSM8K,nsiac,0.2631,0.0,0.61,0.8475,0.96,0.96,9.04,0.3923,0.1114,0.0722,1.0253,2.5e-05,1640.691,0.0,14.273455619812012,False,0.6094,0.1729,0.0137,0.204,0.61,0.0,0.0
5,GSM8K,nsiac,0.19539,0.0,0.5863,0.8255,0.96,0.96,9.02,0.4176,0.1123,0.0842,1.1223,2.9e-05,1640.691,0.0,14.103490829467773,False,0.272,0.1169,0.3128,0.2983,0.5863,0.0,0.0
6,GSM8K,nsiac,0.20913,0.0,0.5413,0.8225,0.96,0.96,8.52,0.4643,0.1044,0.0743,1.2975,3.4e-05,1640.69,0.0,13.950372695922852,False,0.2247,0.1782,0.3848,0.2123,0.5413,0.0,0.0
7,GSM8K,nsiac,0.30712,0.0,0.5563,0.823,0.96,0.96,8.72,0.4649,0.0995,0.0746,1.2267,3.7e-05,1640.69,0.0,13.618572235107422,False,0.625,0.2487,0.0584,0.0678,0.5563,0.0,0.0
8,GSM8K,nsiac,0.26093,0.0,0.5162,0.7842,0.92,0.92,8.18,0.4919,0.093,0.0876,1.3541,3.9e-05,1640.69,0.0,13.92134952545166,False,0.2239,0.5084,0.1462,0.1216,0.5162,0.0,0.0
9,GSM8K,nsiac,0.3157,0.0,0.5138,0.7977,0.94,0.94,7.96,0.4717,0.0993,0.0879,1.3635,4.1e-05,1640.69,0.0,14.097729682922363,False,0.5932,0.3645,0.0066,0.0357,0.5138,0.0,0.0
10,GSM8K,nsiac,0.42173,0.0,0.5813,0.816,0.92,0.92,9.12,0.4371,0.0994,0.0791,1.1469,4.2e-05,1640.69,0.0,13.437485694885254,False,0.4217,0.5028,0.0154,0.0601,0.5813,0.0,0.0
