cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,sft_star,0.52199,0.0,0.315,0.6512,0.86,0.86,0.4234,0.1136,0.1278,1.6761,2.9e-05,1640.691,0.0,14.564831733703613,False,0.25,0.25,0.25,0.25,0.315,0.0,0.0
2,GSM8K,sft_star,0.23073,0.0,0.3513,0.6721,0.88,0.88,0.4053,0.1151,0.1261,1.6718,3.9e-05,1640.691,0.0,14.4490966796875,False,0.25,0.25,0.25,0.25,0.3513,0.0,0.0
3,GSM8K,sft_star,0.30058,0.0,0.45,0.7478,0.92,0.92,0.3801,0.1151,0.1266,1.4494,4.7e-05,1640.691,0.0,14.532275199890137,False,0.25,0.25,0.25,0.25,0.45,0.0,0.0
4,GSM8K,sft_star,0.27279,0.0,0.5125,0.784,0.92,0.92,0.3803,0.1114,0.1174,1.2452,5.4e-05,1640.691,0.0,14.430974006652832,False,0.25,0.25,0.25,0.25,0.5125,0.0,0.0
5,GSM8K,sft_star,0.24547,0.0,0.5425,0.797,0.9,0.9,0.3869,0.1225,0.1132,1.215,6.1e-05,1640.691,0.0,14.445425033569336,False,0.25,0.25,0.25,0.25,0.5425,0.0,0.0
6,GSM8K,sft_star,0.14952,0.0,0.5075,0.7888,0.92,0.92,0.3586,0.1262,0.1459,1.3156,6.7e-05,1640.691,0.0,14.308713912963867,False,0.25,0.25,0.25,0.25,0.5075,0.0,0.0
7,GSM8K,sft_star,0.18244,0.0,0.4988,0.7772,0.92,0.92,0.335,0.1148,0.1757,1.3329,7.2e-05,1640.691,0.0,14.547112464904785,False,0.25,0.25,0.25,0.25,0.4988,0.0,0.0
8,GSM8K,sft_star,0.2446,0.0,0.5437,0.7916,0.92,0.92,0.3011,0.1253,0.2029,1.2349,7.8e-05,1640.691,0.0,14.546272277832031,False,0.25,0.25,0.25,0.25,0.5437,0.0,0.0
9,GSM8K,sft_star,0.12048,0.0,0.5012,0.7859,0.94,0.94,0.3044,0.1258,0.2029,1.3318,8.3e-05,1640.691,0.0,14.493023872375488,False,0.25,0.25,0.25,0.25,0.5012,0.0,0.0
10,GSM8K,sft_star,-0.01836,0.0,0.3862,0.7113,0.86,0.86,0.2807,0.1367,0.22,1.5769,8.8e-05,1640.691,0.0,14.499863624572754,False,0.25,0.25,0.25,0.25,0.3862,0.0,0.0
11,Code,sft_star,0.47581,0.06375,0.3125,0.6182,0.84,0.84,0.6241,0.0846,0.0694,1.7816,8.8e-05,1640.691,0.0,13.04204273223877,False,0.25,0.25,0.25,0.25,0.3787,0.3125,0.0
12,Code,sft_star,0.64553,0.075,0.3125,0.6292,0.82,0.82,0.6218,0.0897,0.0704,1.8757,8.8e-05,1640.691,0.0,12.879962921142578,False,0.25,0.25,0.25,0.25,0.39,0.3125,0.0
13,Code,sft_star,0.62909,0.04875,0.3225,0.6199,0.8,0.8,0.6143,0.0982,0.0642,1.6989,8.8e-05,1640.691,0.0,13.058594703674316,False,0.25,0.25,0.25,0.25,0.3638,0.3225,0.0
14,Code,sft_star,0.721,0.085,0.3212,0.6383,0.8,0.8,0.63,0.1001,0.065,1.7889,8.8e-05,1640.691,0.0,13.70355224609375,False,0.25,0.25,0.25,0.25,0.4,0.3212,0.0
15,Code,sft_star,0.77918,0.11375,0.3025,0.6028,0.8,0.8,0.6293,0.0939,0.0669,1.8142,8.8e-05,1640.691,0.0,12.85618782043457,False,0.25,0.25,0.25,0.25,0.4288,0.3025,0.0
16,Code,sft_star,0.88088,0.11125,0.3162,0.6294,0.78,0.78,0.6279,0.0947,0.0667,1.7903,8.8e-05,1640.691,0.0,13.113397598266602,False,0.25,0.25,0.25,0.25,0.4263,0.3162,0.0
17,Code,sft_star,0.87117,0.08875,0.3375,0.6376,0.78,0.78,0.6188,0.1046,0.0704,1.8227,8.8e-05,1640.691,0.0,12.992720603942871,False,0.25,0.25,0.25,0.25,0.4037,0.3375,0.0
18,Code,sft_star,0.7993,0.0775,0.3175,0.6297,0.8,0.8,0.632,0.0926,0.0647,1.8213,8.8e-05,1640.691,0.0,13.11717700958252,False,0.25,0.25,0.25,0.25,0.3925,0.3175,0.0
19,Code,sft_star,0.93595,0.09,0.3237,0.6545,0.82,0.82,0.6268,0.0912,0.0688,1.8373,8.8e-05,1640.691,0.0,13.109375,False,0.25,0.25,0.25,0.25,0.405,0.3237,0.0
20,Code,sft_star,0.95404,0.0925,0.3212,0.6176,0.82,0.82,0.6227,0.0995,0.0673,1.8256,8.8e-05,1640.691,0.0,13.094807624816895,False,0.25,0.25,0.25,0.25,0.4075,0.3212,0.0
21,MedicalMC,sft_star,0.70488,0.0475,0.29,0.6641,0.94,0.94,0.5499,0.0767,0.2889,2.4267,9.4e-05,1640.691,0.0,13.821430206298828,False,0.25,0.25,0.25,0.25,0.415,0.3075,0.29
22,MedicalMC,sft_star,0.68981,0.02,0.2988,0.6675,0.96,0.96,0.4842,0.0817,0.3256,2.2908,9.9e-05,1640.691,0.0,13.368035316467285,False,0.25,0.25,0.25,0.25,0.3837,0.2838,0.2988
23,MedicalMC,sft_star,0.41181,0.02688,0.2975,0.6427,0.9,0.9,0.2953,0.1237,0.5294,2.3566,0.000104,1640.691,0.0,13.444666862487793,False,0.25,0.25,0.25,0.25,0.3925,0.2888,0.2975
24,MedicalMC,sft_star,0.36043,0.02875,0.29,0.6499,0.92,0.92,0.2659,0.1355,0.5352,2.2722,0.000109,1640.692,0.0,13.045748710632324,False,0.25,0.25,0.25,0.25,0.3975,0.2875,0.29
25,MedicalMC,sft_star,0.50095,0.02,0.3287,0.6919,0.92,0.92,0.249,0.1164,0.4907,2.1069,0.000114,1640.692,0.0,13.578887939453125,False,0.25,0.25,0.25,0.25,0.385,0.2825,0.3287
26,MedicalMC,sft_star,0.53888,0.01813,0.3675,0.7069,0.94,0.94,0.2645,0.1179,0.3981,2.0636,0.00012,1640.692,0.0,13.369112014770508,False,0.25,0.25,0.25,0.25,0.3925,0.2712,0.3675
27,MedicalMC,sft_star,0.42148,-0.00875,0.41,0.7011,0.84,0.84,0.2406,0.127,0.4589,1.962,0.000125,1640.692,0.0,13.618497848510742,False,0.25,0.25,0.25,0.25,0.335,0.275,0.41
28,MedicalMC,sft_star,0.16916,0.00938,0.3825,0.6726,0.84,0.84,0.2203,0.1417,0.4817,1.8056,0.00013,1640.692,0.0,13.451762199401855,False,0.25,0.25,0.25,0.25,0.3738,0.2725,0.3825
29,MedicalMC,sft_star,0.0703,-0.00875,0.3588,0.5962,0.72,0.72,0.204,0.1524,0.4773,1.7836,0.000135,1640.692,0.0,13.49951171875,False,0.25,0.25,0.25,0.25,0.3387,0.2712,0.3588
