cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,sft_star,0.53863,0.0,0.3575,0.6538,0.84,0.84,5.42,0.3817,0.136,0.1403,1.5298,2.8e-05,1640.691,0.0,14.535026550292969,False,0.25,0.25,0.25,0.25,0.3575,0.0,0.0
2,GSM8K,sft_star,0.12148,0.0,0.33,0.6226,0.88,0.88,4.74,0.3417,0.1318,0.1683,1.6633,3.6e-05,1640.691,0.0,14.453838348388672,False,0.25,0.25,0.25,0.25,0.33,0.0,0.0
3,GSM8K,sft_star,0.15392,0.0,0.3513,0.6373,0.82,0.82,4.54,0.2953,0.1444,0.1757,1.5613,4.4e-05,1640.691,0.0,14.413729667663574,False,0.25,0.25,0.25,0.25,0.3513,0.0,0.0
4,GSM8K,sft_star,0.17161,0.0,0.3912,0.6809,0.9,0.9,4.5,0.2734,0.1448,0.1804,1.4375,5e-05,1640.691,0.0,14.503458976745605,False,0.25,0.25,0.25,0.25,0.3912,0.0,0.0
5,GSM8K,sft_star,0.0754,0.0,0.3787,0.6059,0.7,0.7,3.34,0.2301,0.1754,0.186,1.3183,5.5e-05,1640.691,0.0,14.431507110595703,False,0.25,0.25,0.25,0.25,0.3787,0.0,0.0
6,GSM8K,sft_star,0.10124,0.0,0.3912,0.6204,0.7,0.7,3.24,0.2128,0.1769,0.1834,1.2643,6.1e-05,1640.691,0.0,14.58213996887207,False,0.25,0.25,0.25,0.25,0.3912,0.0,0.0
7,GSM8K,sft_star,0.09113,0.0,0.3987,0.6356,0.8,0.8,3.26,0.207,0.1888,0.1878,1.2656,6.5e-05,1640.691,0.0,14.258747100830078,False,0.25,0.25,0.25,0.25,0.3987,0.0,0.0
8,GSM8K,sft_star,0.09976,0.0,0.41,0.6707,0.82,0.82,3.22,0.2064,0.193,0.1858,1.2666,7e-05,1640.691,0.0,14.54954719543457,False,0.25,0.25,0.25,0.25,0.41,0.0,0.0
9,GSM8K,sft_star,0.09022,0.0,0.4138,0.6497,0.82,0.82,3.28,0.2007,0.189,0.189,1.1902,7.5e-05,1640.691,0.0,14.541224479675293,False,0.25,0.25,0.25,0.25,0.4138,0.0,0.0
10,GSM8K,sft_star,0.07662,0.0,0.4088,0.6296,0.76,0.76,2.9,0.1976,0.1919,0.1859,1.1495,7.9e-05,1640.691,0.0,14.462428092956543,False,0.25,0.25,0.25,0.25,0.4088,0.0,0.0
11,Code,sft_star,0.41358,0.02375,0.3162,0.6418,0.84,0.84,4.52,0.6252,0.094,0.0657,1.7349,8.1e-05,1640.691,0.0,12.97696304321289,False,0.25,0.25,0.25,0.25,0.4325,0.3162,0.0
12,Code,sft_star,0.85388,0.08125,0.3362,0.6356,0.8,0.8,4.68,0.6319,0.0897,0.0592,1.756,8.3e-05,1640.691,0.0,12.818164825439453,False,0.25,0.25,0.25,0.25,0.49,0.3362,0.0
13,Code,sft_star,0.95229,0.11125,0.3275,0.6192,0.78,0.78,4.82,0.6401,0.0952,0.0605,1.8068,8.5e-05,1640.691,0.0,12.983539581298828,False,0.25,0.25,0.25,0.25,0.52,0.3275,0.0
14,Code,sft_star,1.03162,0.11875,0.325,0.6235,0.82,0.82,4.58,0.6369,0.0955,0.058,1.7081,8.7e-05,1640.691,0.0,13.665534973144531,False,0.25,0.25,0.25,0.25,0.5275,0.325,0.0
15,Code,sft_star,1.19465,0.14,0.33,0.6572,0.82,0.82,4.96,0.6441,0.0865,0.0569,1.7749,8.9e-05,1640.691,0.0,12.767424583435059,False,0.25,0.25,0.25,0.25,0.5487,0.33,0.0
16,Code,sft_star,1.31921,0.16875,0.3113,0.6171,0.82,0.82,4.56,0.6431,0.093,0.0608,1.8076,9.2e-05,1640.691,0.0,13.070496559143066,False,0.25,0.25,0.25,0.25,0.5775,0.3113,0.0
17,Code,sft_star,1.38496,0.145,0.3362,0.6566,0.84,0.84,4.96,0.6548,0.0867,0.0555,1.8048,9.4e-05,1640.691,0.0,12.90494441986084,False,0.25,0.25,0.25,0.25,0.5537,0.3362,0.0
18,Code,sft_star,1.105,0.0825,0.3563,0.6768,0.82,0.82,5.2,0.6438,0.0941,0.061,1.7409,9.6e-05,1640.691,0.0,13.088593482971191,False,0.25,0.25,0.25,0.25,0.4913,0.3563,0.0
19,Code,sft_star,0.99474,0.07125,0.3375,0.642,0.78,0.78,5.0,0.6452,0.0925,0.057,1.7867,9.8e-05,1640.691,0.0,13.0728120803833,False,0.25,0.25,0.25,0.25,0.48,0.3375,0.0
20,Code,sft_star,1.2487,0.095,0.3425,0.6751,0.88,0.88,5.16,0.6512,0.0935,0.0635,1.7891,0.0001,1640.691,0.0,13.070147514343262,False,0.25,0.25,0.25,0.25,0.5038,0.3425,0.0
