cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.7856,0.0,0.5062,0.796,0.92,0.92,8.06,0.565,0.132,0.07,1.4173,1.5e-05,1552.422,0.143088,0.779966,0.003554,0.0,14.388657569885254,False,0.25,0.25,0.25,0.25,0.5062,0.0,0.0
2,GSM8K,nsiac,0.29005,0.0,0.5262,0.8356,0.94,0.94,8.38,0.557,0.1239,0.0659,1.3836,2.1e-05,1552.422,0.142887,0.77916,0.003487,0.0,14.315332412719727,False,0.25,0.25,0.25,0.25,0.5262,0.0,0.0
3,GSM8K,nsiac,0.32601,0.0,0.6025,0.832,0.96,0.96,9.46,0.4965,0.1537,0.0535,1.1097,2.4e-05,1552.422,0.152494,0.8313,0.003775,0.0,14.481460571289062,False,0.6142,0.1704,0.0135,0.2019,0.6025,0.0,0.0
4,GSM8K,nsiac,0.24464,0.0,0.61,0.8511,0.98,0.98,9.64,0.4723,0.1524,0.0545,1.091,2.6e-05,1552.422,0.153268,0.835443,0.003811,0.0,13.966493606567383,False,0.6088,0.1737,0.0138,0.2037,0.61,0.0,0.0
5,GSM8K,nsiac,0.24858,0.0,0.5925,0.8408,0.94,0.94,9.4,0.4998,0.1295,0.0664,1.1874,3.1e-05,1552.422,0.155592,0.848049,0.003881,0.0,14.421652793884277,False,0.2742,0.1155,0.3119,0.2984,0.5925,0.0,0.0
6,GSM8K,nsiac,0.31438,0.0,0.6212,0.831,0.9,0.9,9.8,0.4791,0.1148,0.0735,1.0338,3.6e-05,1552.422,0.250488,0.854484,0.118158,0.0,14.335614204406738,False,0.2254,0.1746,0.3874,0.2126,0.6212,0.0,0.0
7,GSM8K,nsiac,0.32167,0.0,0.6787,0.8984,1.0,1.0,10.44,0.4123,0.1272,0.0779,0.8997,3.9e-05,1552.422,0.252355,0.864548,0.11823,0.0,14.075224876403809,False,0.6232,0.2446,0.0612,0.071,0.6787,0.0,0.0
8,GSM8K,nsiac,0.21838,0.0,0.6112,0.8363,0.94,0.94,9.74,0.4982,0.1096,0.0781,1.0937,4.1e-05,1552.422,0.252771,0.866795,0.118244,0.0,13.565336227416992,False,0.1879,0.4892,0.1816,0.1413,0.6112,0.0,0.0
9,GSM8K,nsiac,0.26949,0.0,0.5613,0.81,0.9,0.9,8.98,0.5181,0.1138,0.0771,1.1956,4.2e-05,1552.422,0.253201,0.869118,0.11826,0.0,14.551087379455566,False,0.0297,0.2832,0.1284,0.5587,0.5613,0.0,0.0
10,GSM8K,nsiac,0.3909,0.0,0.59,0.8327,0.94,0.94,9.4,0.4853,0.1062,0.0889,1.1209,4.4e-05,1552.421,0.253672,0.871673,0.118274,0.0,14.034674644470215,False,0.3511,0.3356,0.0701,0.2432,0.59,0.0,0.0
11,Code,nsiac,0.08975,0.02875,0.2825,0.5995,0.9,0.9,4.34,0.6706,0.0818,0.0662,1.8254,4.9e-05,1552.422,0.263554,0.92631,0.11835,0.0,12.673761367797852,False,0.6674,0.2251,0.0592,0.0483,0.6188,0.2825,0.0
12,Code,nsiac,0.70623,0.065,0.2387,0.5326,0.84,0.84,3.66,0.6749,0.0825,0.07,1.8983,5.4e-05,1552.422,0.264428,0.931085,0.11837,0.0,12.416942596435547,False,0.8726,0.0249,0.0243,0.0782,0.655,0.2387,0.0
13,Code,nsiac,0.84516,0.06375,0.2662,0.5737,0.84,0.84,4.1,0.6468,0.0817,0.0791,1.8407,5.9e-05,1552.422,0.264951,0.933902,0.118391,0.0,12.761258125305176,False,0.6672,0.1425,0.1294,0.0609,0.6538,0.2662,0.0
14,Code,nsiac,1.01633,0.095,0.2913,0.607,0.86,0.86,4.52,0.6561,0.0869,0.0714,1.8749,6.2e-05,1552.422,0.265246,0.935467,0.118407,0.0,13.147234916687012,False,0.7991,0.1137,0.0592,0.0279,0.685,0.2913,0.0
15,Code,nsiac,0.81844,0.0625,0.27,0.591,0.9,0.9,4.14,0.6482,0.0845,0.0725,1.7783,6.6e-05,1552.422,0.265402,0.936291,0.118417,0.0,12.792366981506348,False,0.933,0.011,0.0192,0.0368,0.6525,0.27,0.0
16,Code,nsiac,0.96866,0.09125,0.2425,0.5375,0.78,0.78,3.7,0.6401,0.0849,0.0791,1.8874,6.9e-05,1552.422,0.265677,0.937776,0.118427,0.0,12.978425979614258,False,0.9224,0.0411,0.0353,0.0011,0.6813,0.2425,0.0
17,Code,nsiac,1.16578,0.09625,0.2625,0.5926,0.88,0.88,3.92,0.652,0.0846,0.0782,1.8657,7.3e-05,1552.422,0.266024,0.939613,0.118447,0.0,12.551168441772461,False,0.7343,0.0405,0.2045,0.0207,0.6863,0.2625,0.0
18,Code,nsiac,1.05846,0.0575,0.2913,0.6123,0.84,0.84,4.5,0.6637,0.0873,0.0672,1.8352,7.6e-05,1552.422,0.266132,0.940183,0.118454,0.0,12.596214294433594,False,0.7818,0.0613,0.0915,0.0653,0.6475,0.2913,0.0
19,Code,nsiac,0.70601,0.0125,0.265,0.5893,0.84,0.84,3.96,0.6447,0.0802,0.0822,1.8135,7.9e-05,1552.422,0.266213,0.940606,0.11846,0.0,12.647720336914062,False,0.7694,0.1529,0.0427,0.0351,0.6025,0.265,0.0
20,Code,nsiac,1.12945,0.05875,0.285,0.6005,0.9,0.9,4.3,0.6428,0.0818,0.0828,1.8914,8.3e-05,1552.422,0.266307,0.941106,0.118465,0.0,12.81811237335205,False,0.8462,0.0627,0.0786,0.0126,0.6488,0.285,0.0
21,MedicalMC,nsiac,1.30487,0.01125,0.3762,0.743,0.94,0.94,3.6,0.8264,0.092,0.0196,1.1627,8.5e-05,1552.422,0.268107,0.950829,0.11853,0.0,14.037980079650879,False,0.8465,0.0772,0.0422,0.0341,0.6362,0.2612,0.3762
22,MedicalMC,nsiac,1.65056,0.07813,0.45,0.7505,0.98,0.98,1.92,0.8024,0.1872,0.0086,0.856,8.8e-05,1552.422,0.268666,0.953836,0.118553,0.0,13.528067588806152,False,0.9043,0.0163,0.019,0.0604,0.64,0.3912,0.45
23,MedicalMC,nsiac,0.94774,0.09313,0.495,0.6766,0.82,0.82,0.92,0.2858,0.2919,0.0036,0.4236,9.2e-05,1552.423,0.269367,0.957603,0.118581,0.0,13.74203109741211,False,0.6812,0.1327,0.1278,0.0583,0.6425,0.4188,0.495
24,MedicalMC,nsiac,0.96822,0.14063,0.48,0.6573,0.74,0.74,1.66,0.1305,0.2024,0.0,0.3798,9.5e-05,1552.423,0.269535,0.958476,0.118595,0.0,13.286280632019043,False,0.7036,0.1388,0.1233,0.0343,0.6525,0.5038,0.48
25,MedicalMC,nsiac,1.38141,0.11375,0.3862,0.7303,0.9,0.9,6.1,0.7078,0.0839,0.0258,1.1086,9.8e-05,1552.423,0.269661,0.959139,0.118604,0.0,13.82490348815918,False,0.4689,0.2432,0.2792,0.0087,0.6288,0.4738,0.3862
26,MedicalMC,nsiac,1.962,0.12563,0.3862,0.7235,0.92,0.92,6.18,0.7658,0.0698,0.0276,1.2529,0.000104,1552.423,0.26838,0.963502,0.116086,0.0,13.86601734161377,False,0.5348,0.0365,0.4005,0.0283,0.6175,0.5088,0.3862
