cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.85254,0.0,0.5787,0.8177,0.94,0.94,9.16,0.5326,0.0905,0.0635,1.1849,1.5e-05,1552.422,0.14223,0.77524,0.003544,0.0,14.553595542907715,False,0.25,0.25,0.25,0.25,0.5787,0.0,0.0
2,GSM8K,nsiac,0.2768,0.0,0.6038,0.8511,0.96,0.96,9.52,0.5114,0.1035,0.0766,1.1254,2.1e-05,1552.422,0.14117,0.769727,0.003459,0.0,14.13177490234375,False,0.25,0.25,0.25,0.25,0.6038,0.0,0.0
3,GSM8K,nsiac,0.28882,0.0,0.655,0.8525,0.96,0.96,10.12,0.4617,0.1147,0.0749,0.9302,2.4e-05,1552.422,0.151761,0.827286,0.003761,0.0,14.243599891662598,False,0.6206,0.1812,0.0195,0.1788,0.655,0.0,0.0
4,GSM8K,nsiac,0.22354,0.0,0.65,0.8329,0.96,0.96,10.08,0.4491,0.1282,0.0597,0.8882,2.7e-05,1552.422,0.153348,0.835872,0.003814,0.0,14.26247501373291,False,0.6193,0.1823,0.0187,0.1796,0.65,0.0,0.0
5,GSM8K,nsiac,0.26416,0.0,0.6338,0.8333,0.92,0.92,9.94,0.5069,0.1005,0.0673,0.9841,3.1e-05,1552.422,0.157413,0.848842,0.005928,0.0,14.083148956298828,False,0.2681,0.104,0.3431,0.2848,0.6338,0.0,0.0
6,GSM8K,nsiac,0.33531,0.0,0.655,0.8816,0.98,0.98,10.4,0.525,0.1105,0.0657,0.9721,3.7e-05,1552.422,0.253838,0.857234,0.12164,0.0,14.296747207641602,False,0.2227,0.1434,0.4199,0.2141,0.655,0.0,0.0
7,GSM8K,nsiac,0.30791,0.0,0.65,0.871,0.98,0.98,10.3,0.5134,0.1059,0.0622,0.9759,4e-05,1552.422,0.255302,0.865111,0.121699,0.0,14.426012992858887,False,0.653,0.1869,0.0743,0.0858,0.65,0.0,0.0
8,GSM8K,nsiac,0.24725,0.0,0.5938,0.8356,0.92,0.92,9.46,0.5165,0.1091,0.0823,1.0586,4.3e-05,1552.422,0.255679,0.870779,0.120916,0.0,14.451288223266602,False,0.1724,0.2509,0.3433,0.2334,0.5938,0.0,0.0
9,GSM8K,nsiac,0.29463,0.0,0.575,0.822,0.92,0.92,9.06,0.4903,0.1201,0.094,1.1807,5.1e-05,1552.421,0.236105,0.877936,0.095486,0.0,14.094771385192871,False,0.1185,0.0286,0.6213,0.2316,0.575,0.0,0.0
10,GSM8K,nsiac,0.36263,0.0,0.5463,0.8158,0.96,0.96,8.62,0.5763,0.1112,0.0539,1.2962,6e-05,1552.421,0.256548,0.886604,0.118509,0.0,13.509824752807617,False,0.0346,0.0116,0.8415,0.1122,0.5463,0.0,0.0
11,Code,nsiac,0.53416,0.12,0.32,0.6415,0.84,0.84,4.72,0.6469,0.077,0.0606,1.8576,7.1e-05,1552.421,0.271511,0.939797,0.125096,0.0,12.747289657592773,False,0.0678,0.1071,0.6133,0.2119,0.6663,0.32,0.0
12,Code,nsiac,1.24109,0.17125,0.3563,0.6614,0.86,0.86,5.16,0.67,0.0862,0.0588,1.7498,8e-05,1552.421,0.273218,0.942118,0.126669,0.0,12.226614952087402,False,0.3132,0.0494,0.5761,0.0613,0.7175,0.3563,0.0
13,Code,nsiac,1.2345,0.1775,0.3463,0.635,0.82,0.82,5.0,0.6658,0.0775,0.0527,1.8665,8.9e-05,1552.421,0.274879,0.944103,0.128259,0.0,12.679767608642578,False,0.123,0.0325,0.7142,0.1303,0.7238,0.3463,0.0
14,Code,nsiac,1.24846,0.15625,0.3538,0.6823,0.86,0.86,5.12,0.6742,0.0777,0.0528,1.8139,9.4e-05,1552.421,0.275693,0.945816,0.128876,0.0,12.589068412780762,False,0.0151,0.1626,0.5652,0.2572,0.7025,0.3538,0.0
15,Code,nsiac,1.19862,0.1425,0.3387,0.6567,0.9,0.9,4.94,0.6727,0.08,0.0527,1.846,9.6e-05,1552.421,0.276188,0.948541,0.128882,0.0,13.12195110321045,False,0.1202,0.5816,0.273,0.0252,0.6887,0.3387,0.0
16,Code,nsiac,1.2382,0.13875,0.3362,0.6304,0.8,0.8,4.84,0.6407,0.0783,0.0585,1.7701,9.8e-05,1552.421,0.276254,0.948869,0.128891,0.0,12.683797836303711,False,0.2111,0.2941,0.3454,0.1494,0.685,0.3362,0.0
17,Code,nsiac,1.40439,0.11875,0.4025,0.7215,0.88,0.88,5.96,0.6802,0.086,0.0373,1.783,0.000107,1552.421,0.277176,0.949756,0.12982,0.0,12.610246658325195,False,0.0194,0.104,0.8208,0.0558,0.665,0.4025,0.0
18,Code,nsiac,1.58596,0.17125,0.4037,0.7441,0.9,0.9,5.68,0.6862,0.0799,0.0396,1.7072,0.00011,1552.421,0.27738,0.950145,0.129984,0.0,12.417051315307617,False,0.0622,0.1227,0.3918,0.4232,0.7175,0.4037,0.0
19,Code,nsiac,1.47689,0.1525,0.3762,0.708,0.92,0.92,5.42,0.6727,0.0756,0.0471,1.8551,0.000111,1552.42,0.277435,0.950441,0.129987,0.0,12.585013389587402,False,0.2656,0.5616,0.0995,0.0732,0.6987,0.3762,0.0
20,Code,nsiac,1.45765,0.1525,0.3063,0.6458,0.9,0.9,4.52,0.6916,0.0718,0.0537,1.876,0.000112,1552.42,0.277481,0.950688,0.129988,0.0,12.670122146606445,False,0.424,0.2769,0.261,0.0381,0.6987,0.3063,0.0
