cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,sft_star,0.68191,0.0,0.455,0.7677,0.9,0.9,7.26,0.457,0.119,0.1216,1.5097,2.8e-05,1552.422,0.163063,0.890214,0.003751,0.0,14.606534004211426,False,0.25,0.25,0.25,0.25,0.455,0.0,0.0
2,GSM8K,sft_star,0.20702,0.0,0.4875,0.7617,0.84,0.84,7.56,0.3799,0.1348,0.1392,1.3959,3.8e-05,1552.422,0.16326,0.891077,0.003803,0.0,14.528471946716309,False,0.25,0.25,0.25,0.25,0.4875,0.0,0.0
3,GSM8K,sft_star,0.13278,0.0,0.4913,0.7371,0.92,0.92,7.46,0.3101,0.1751,0.1634,1.2613,4.6e-05,1552.422,0.165179,0.901224,0.003919,0.0,14.57937240600586,False,0.25,0.25,0.25,0.25,0.4913,0.0,0.0
4,GSM8K,sft_star,0.14425,0.0,0.4938,0.7481,0.92,0.92,7.28,0.307,0.1489,0.1565,1.1634,5.3e-05,1552.422,0.166038,0.905743,0.003976,0.0,14.51031494140625,False,0.25,0.25,0.25,0.25,0.4938,0.0,0.0
5,GSM8K,sft_star,0.1419,0.0,0.5138,0.7131,0.9,0.9,7.0,0.2713,0.1793,0.163,1.073,5.9e-05,1552.422,0.166706,0.909249,0.004022,0.0,14.670598030090332,False,0.25,0.25,0.25,0.25,0.5138,0.0,0.0
6,GSM8K,sft_star,0.08943,0.0,0.5138,0.7342,0.9,0.9,5.64,0.2296,0.1939,0.1887,1.0756,6.4e-05,1552.423,0.167405,0.912968,0.004059,0.0,14.604938507080078,False,0.25,0.25,0.25,0.25,0.5138,0.0,0.0
7,GSM8K,sft_star,-0.15847,0.0,0.3775,0.716,0.92,0.92,3.6,0.1621,0.2238,0.3071,1.4834,6.9e-05,1552.423,0.167835,0.915251,0.004084,0.0,14.553813934326172,False,0.25,0.25,0.25,0.25,0.3775,0.0,0.0
8,GSM8K,sft_star,0.00192,0.0,0.355,0.708,0.9,0.9,3.38,0.158,0.2205,0.3145,1.5276,7.4e-05,1552.423,0.168142,0.916846,0.004108,0.0,14.589799880981445,False,0.25,0.25,0.25,0.25,0.355,0.0,0.0
9,GSM8K,sft_star,0.00804,0.0,0.3438,0.681,0.84,0.84,3.08,0.1447,0.2239,0.3375,1.5056,7.8e-05,1552.423,0.16841,0.918257,0.004126,0.0,14.531242370605469,False,0.25,0.25,0.25,0.25,0.3438,0.0,0.0
10,GSM8K,sft_star,-0.00215,0.0,0.3237,0.6652,0.86,0.86,2.66,0.148,0.2208,0.3284,1.5222,8.2e-05,1552.423,0.168581,0.919132,0.004142,0.0,14.668867111206055,False,0.25,0.25,0.25,0.25,0.3237,0.0,0.0
11,Code,sft_star,0.60558,0.0475,0.3075,0.6274,0.88,0.88,4.52,0.5942,0.0934,0.0818,1.8137,8.4e-05,1552.423,0.169687,0.925205,0.00416,0.0,12.884638786315918,False,0.25,0.25,0.25,0.25,0.3713,0.3075,0.0
12,Code,sft_star,0.60258,0.0375,0.3,0.6122,0.9,0.9,4.52,0.5891,0.0865,0.0841,1.8514,8.7e-05,1552.423,0.16997,0.926716,0.004174,0.0,12.586334228515625,False,0.25,0.25,0.25,0.25,0.3613,0.3,0.0
13,Code,sft_star,0.77195,0.0725,0.2925,0.5928,0.84,0.84,4.22,0.6034,0.0921,0.0827,1.8698,8.9e-05,1552.423,0.170187,0.927867,0.004187,0.0,12.857498168945312,False,0.25,0.25,0.25,0.25,0.3962,0.2925,0.0
14,Code,sft_star,0.96862,0.1075,0.2975,0.6149,0.9,0.9,4.38,0.5965,0.0905,0.0817,1.8141,9.2e-05,1552.424,0.170383,0.928925,0.004194,0.0,13.388289451599121,False,0.25,0.25,0.25,0.25,0.4313,0.2975,0.0
15,Code,sft_star,1.18442,0.1375,0.3212,0.647,0.86,0.86,4.68,0.5962,0.0852,0.0832,1.8491,9.3e-05,1552.424,0.170485,0.929432,0.004207,0.0,12.793500900268555,False,0.25,0.25,0.25,0.25,0.4612,0.3212,0.0
16,Code,sft_star,1.03007,0.12,0.2863,0.6027,0.82,0.82,4.28,0.6033,0.0856,0.0807,1.8286,9.5e-05,1552.424,0.170591,0.929979,0.004216,0.0,13.078723907470703,False,0.25,0.25,0.25,0.25,0.4437,0.2863,0.0
17,Code,sft_star,1.28841,0.13625,0.31,0.6108,0.82,0.82,4.78,0.5981,0.0917,0.0823,1.8859,9.7e-05,1552.424,0.170733,0.930732,0.004225,0.0,12.525229454040527,False,0.25,0.25,0.25,0.25,0.46,0.31,0.0
18,Code,sft_star,1.43686,0.175,0.2925,0.603,0.88,0.88,4.44,0.5938,0.0892,0.0866,1.796,9.9e-05,1552.424,0.170796,0.931043,0.004234,0.0,12.717555046081543,False,0.25,0.25,0.25,0.25,0.4988,0.2925,0.0
19,Code,sft_star,1.67485,0.18875,0.3025,0.6336,0.88,0.88,4.58,0.6161,0.087,0.0741,1.9066,0.000101,1552.424,0.170864,0.931397,0.004239,0.0,12.804749488830566,False,0.25,0.25,0.25,0.25,0.5125,0.3025,0.0
20,Code,sft_star,1.37779,0.1425,0.2737,0.5683,0.82,0.82,4.12,0.6095,0.0918,0.0782,1.8582,0.000102,1552.424,0.170952,0.93185,0.004246,0.0,12.853744506835938,False,0.25,0.25,0.25,0.25,0.4662,0.2737,0.0
