ts,used_gb,avail_gb,container_rss_gb
05:28:02,9,112,1.675GiB
05:28:33,15,106,2.557GiB
05:29:04,20,101,3.581GiB
05:29:35,25,96,2.741GiB
05:30:06,29,91,8.852GiB
05:30:37,36,85,15.14GiB
05:31:08,38,83,17.29GiB
05:31:39,38,83,17.29GiB
05:32:10,38,83,17.29GiB
05:32:41,38,83,17.29GiB
05:33:12,38,83,17.29GiB
05:33:43,38,83,17.29GiB
05:34:14,38,83,17.29GiB
05:34:45,38,83,17.29GiB
05:35:16,38,83,17.29GiB
05:35:47,38,83,17.29GiB
05:36:18,38,83,17.29GiB
05:36:49,38,83,17.29GiB
05:37:21,38,83,17.29GiB
05:37:52,38,83,17.29GiB
05:38:23,38,83,17.29GiB
05:38:54,38,83,17.29GiB
05:39:25,38,83,17.29GiB
05:39:56,38,83,17.29GiB
05:40:27,38,83,17.29GiB
05:40:58,38,83,17.29GiB
05:41:29,38,83,17.29GiB
05:42:00,38,83,17.29GiB
05:42:31,38,83,17.29GiB
05:43:02,38,83,17.29GiB
05:43:33,38,83,17.29GiB
05:44:04,38,83,17.29GiB
05:44:35,38,83,17.29GiB
05:45:06,38,82,17.44GiB
05:45:37,69,52,23.95GiB
05:46:09,97,24,24.02GiB
05:46:40,120,1,21.57GiB
05:47:11,111,9,22.15GiB
05:47:42,119,1,20.98GiB
05:48:13,113,7,20.97GiB
05:48:44,119,2,20.71GiB
05:49:15,114,7,20.71GiB
05:49:46,110,11,20.7GiB
05:50:17,119,1,20.71GiB
05:50:48,113,7,20.7GiB
05:51:19,119,2,20.43GiB
05:51:51,119,2,20.43GiB
05:52:22,113,8,20.14GiB
05:52:53,119,2,20.16GiB
05:53:24,113,8,20.14GiB
05:53:55,119,2,20.13GiB
05:54:26,119,2,20.16GiB
05:54:57,113,8,20.13GiB
05:55:28,119,2,20.14GiB
05:55:59,119,2,20.15GiB
05:56:30,108,13,20.13GiB
05:57:01,118,2,20.14GiB
05:57:32,112,8,20.35GiB
05:58:03,119,2,20.36GiB
05:58:34,113,8,20.36GiB
05:59:06,107,14,20.35GiB
05:59:37,119,2,20.17GiB
06:00:08,112,8,20.15GiB
06:00:39,118,2,19.77GiB
06:01:10,118,2,19.77GiB
06:01:41,112,9,19.75GiB
06:02:12,118,3,19.76GiB
06:02:43,118,3,19.75GiB
06:03:14,32,89,12.46GiB
06:03:45,32,89,12.49GiB
06:04:16,32,89,12.49GiB
06:04:47,32,89,12.49GiB
06:05:18,32,89,12.49GiB
06:05:49,32,89,12.5GiB
06:06:20,32,89,12.5GiB
06:06:51,32,89,12.5GiB
06:07:23,32,89,12.5GiB
06:07:54,32,89,12.5GiB
06:08:25,32,89,12.5GiB
06:08:56,32,89,12.5GiB
06:09:27,32,89,12.5GiB
06:09:58,32,89,12.5GiB
06:10:29,32,89,12.5GiB
06:11:00,32,89,12.5GiB
06:11:31,32,89,12.5GiB
06:12:02,32,89,12.5GiB
06:12:33,32,89,12.5GiB
06:13:04,32,89,12.5GiB
06:13:35,32,89,12.5GiB
06:14:06,32,89,12.5GiB
06:14:38,32,89,12.5GiB
06:15:09,32,89,12.5GiB
06:15:40,32,89,12.5GiB
06:16:11,32,89,12.5GiB
06:16:42,32,89,12.5GiB
06:17:13,32,89,12.5GiB
06:17:44,32,89,12.5GiB
06:18:15,32,89,14.25GiB
06:18:46,40,81,16.64GiB
06:19:17,37,83,18.62GiB
06:19:48,37,83,18.62GiB
06:20:19,37,83,18.62GiB
06:20:50,37,83,18.62GiB
06:21:21,37,83,18.62GiB
06:21:52,37,83,18.62GiB
06:22:23,37,83,18.62GiB
06:22:54,37,83,18.62GiB
06:23:26,37,83,18.62GiB
06:23:57,37,83,18.62GiB
06:24:28,37,83,18.62GiB
06:24:59,37,83,18.62GiB
06:25:30,37,83,18.62GiB
06:26:01,37,83,18.62GiB
06:26:32,37,83,18.62GiB
06:27:03,37,83,18.62GiB
06:27:34,37,83,18.62GiB
06:28:05,37,83,18.62GiB
06:28:36,37,83,18.62GiB
06:29:07,37,83,18.62GiB
06:29:38,37,83,18.62GiB
06:30:09,37,83,18.62GiB
06:30:40,37,83,18.62GiB
06:31:12,37,83,18.62GiB
06:31:43,37,83,18.62GiB
06:32:14,37,83,18.62GiB
06:32:45,37,83,18.62GiB
06:33:16,37,83,18.62GiB
06:33:47,37,83,18.62GiB
06:34:18,37,83,18.62GiB
06:34:49,37,83,18.62GiB
06:35:20,37,83,18.62GiB
06:35:51,37,83,18.62GiB
06:36:22,67,53,34.1GiB
06:36:53,84,37,34.13GiB
06:37:24,120,1,17.3GiB
06:37:56,119,2,15.11GiB
06:38:27,119,2,15.15GiB
06:38:58,119,2,15.15GiB
06:39:29,119,1,14.76GiB
06:40:00,119,1,14.76GiB
06:40:31,119,1,14.76GiB
06:41:02,119,1,14.46GiB
06:41:33,119,1,14.47GiB
06:42:04,119,1,14.46GiB
06:42:35,119,1,14.47GiB
06:43:06,119,1,14.47GiB
06:43:37,119,1,14.47GiB
06:44:09,119,1,14.47GiB
06:44:40,119,1,14.47GiB
06:45:11,119,1,14.47GiB
06:45:42,119,1,14.47GiB
06:46:13,119,1,14.47GiB
06:46:44,119,2,14.46GiB
06:47:15,119,2,14.46GiB
06:47:46,119,2,14.46GiB
06:48:17,119,2,14.46GiB
06:48:48,119,2,14.46GiB
06:49:19,119,2,14.46GiB
06:49:50,119,2,14.46GiB
06:50:21,119,2,14.46GiB
06:50:52,119,2,14.46GiB
06:51:23,119,2,14.46GiB
06:51:55,119,2,14.46GiB
06:52:26,32,89,14.33GiB
06:52:57,32,89,14.33GiB
06:53:28,32,89,14.33GiB
06:53:59,32,89,14.33GiB
06:54:30,32,89,14.33GiB
06:55:01,32,89,14.33GiB
06:55:32,32,88,14.33GiB
06:56:03,32,88,14.33GiB
06:56:34,32,88,14.34GiB
06:57:05,32,88,14.34GiB
06:57:36,32,88,14.34GiB
06:58:07,32,88,14.34GiB
06:58:38,32,88,14.34GiB
06:59:09,32,88,14.34GiB
06:59:41,32,88,14.34GiB
07:00:12,32,88,14.34GiB
07:00:43,32,88,14.34GiB
07:01:14,32,88,14.34GiB
07:01:45,32,88,14.34GiB
07:02:16,32,88,14.34GiB
07:02:47,32,88,14.34GiB
07:03:18,32,88,14.34GiB
07:03:49,32,88,14.34GiB
07:04:20,32,88,14.34GiB
07:04:51,32,88,14.34GiB
07:05:22,32,88,14.34GiB
07:05:53,32,88,14.34GiB
07:06:24,32,88,14.34GiB
07:06:55,32,88,14.34GiB
07:07:26,38,83,16.21GiB
07:07:58,44,76,22.64GiB
07:08:29,40,80,22.64GiB
07:09:00,40,81,22.64GiB
07:09:31,40,81,22.64GiB
07:10:02,40,81,22.64GiB
07:10:33,40,81,22.64GiB
07:11:04,40,81,22.64GiB
07:11:35,40,81,22.64GiB
07:12:06,40,81,22.64GiB
07:12:37,40,81,22.64GiB
07:13:08,40,81,22.65GiB
07:13:39,40,81,22.64GiB
07:14:10,40,81,22.65GiB
07:14:41,40,81,22.65GiB
07:15:12,40,81,22.65GiB
07:15:43,40,81,22.65GiB
07:16:15,40,81,22.65GiB
07:16:46,40,81,22.65GiB
07:17:17,40,81,22.65GiB
07:17:48,40,81,22.65GiB
07:18:19,40,81,22.65GiB
07:18:50,40,81,22.65GiB
07:19:21,40,81,22.65GiB
07:19:52,40,81,22.65GiB
07:20:23,40,81,22.65GiB
07:20:54,40,81,22.65GiB
07:21:25,40,81,22.65GiB
07:21:56,40,81,22.65GiB
07:22:27,40,81,22.65GiB
07:22:58,40,81,22.65GiB
07:23:29,40,81,22.65GiB
07:24:00,40,81,22.65GiB
07:24:32,40,81,22.65GiB
07:25:03,70,51,36.96GiB
07:25:34,91,30,37GiB
07:26:05,119,2,14.96GiB
07:26:36,119,2,14.99GiB
07:27:07,119,2,14.99GiB
07:27:38,119,2,15GiB
07:28:10,119,2,15GiB
07:28:41,119,2,15GiB
07:29:12,119,2,15GiB
07:29:43,119,2,15GiB
07:30:14,119,2,15GiB
07:30:45,119,2,15GiB
07:31:16,119,2,15GiB
07:31:47,119,2,15GiB
07:32:18,119,2,15.01GiB
07:32:49,119,2,15.01GiB
07:33:20,119,2,15.01GiB
07:33:51,119,2,15.01GiB
07:34:22,119,2,15.01GiB
07:34:53,119,2,15.01GiB
07:35:25,120,1,15.34GiB
07:35:56,119,1,14.88GiB
07:36:27,119,1,14.88GiB
07:36:58,119,1,14.88GiB
07:37:29,119,1,14.88GiB
07:38:00,119,1,14.88GiB
07:38:31,119,1,14.88GiB
07:39:02,119,1,14.88GiB
07:39:33,119,1,14.88GiB
07:40:04,119,1,14.88GiB
07:40:35,32,88,14.74GiB
07:41:06,33,88,14.74GiB
07:41:37,33,88,14.74GiB
07:42:08,33,88,14.75GiB
07:42:39,33,88,14.75GiB
07:43:10,33,88,14.75GiB
07:43:42,33,88,14.75GiB
07:44:13,33,88,14.75GiB
07:44:44,33,88,14.75GiB
07:45:15,33,88,14.75GiB
07:45:46,33,88,14.75GiB
07:46:17,33,88,14.75GiB
07:46:48,33,88,14.75GiB
07:47:19,33,88,14.75GiB
07:47:50,33,88,14.75GiB
07:48:21,33,88,14.75GiB
07:48:52,33,88,14.75GiB
07:49:23,33,88,14.75GiB
07:49:54,33,88,14.75GiB
07:50:25,33,88,14.75GiB
07:50:57,33,88,14.75GiB
07:51:28,33,88,14.75GiB
07:51:59,33,88,14.75GiB
07:52:30,33,88,14.75GiB
07:53:01,33,88,14.75GiB
07:53:32,33,88,14.75GiB
07:54:03,33,88,14.75GiB
07:54:34,33,88,14.75GiB
07:55:05,33,88,14.75GiB
07:55:36,44,77,22.2GiB
07:56:07,40,81,22.58GiB
07:56:38,40,81,22.58GiB
07:57:09,40,81,22.58GiB
07:57:40,40,81,22.58GiB
07:58:11,40,81,22.58GiB
07:58:42,40,81,22.58GiB
