ts,used_gb,avail_gb,container_rss_gb
18:24:21,5,116,103.5MiB
18:24:37,7,114,1005MiB
18:24:53,11,110,3.311GiB
18:25:10,12,109,2.132GiB
18:25:26,17,104,1.049GiB
18:25:42,18,103,3.262GiB
18:25:58,19,101,2.145GiB
18:26:14,22,98,2.294GiB
18:26:30,26,94,6.761GiB
18:26:46,31,90,11.61GiB
18:27:02,35,86,16.26GiB
18:27:18,37,84,17.33GiB
18:27:34,37,84,17.34GiB
18:27:50,37,84,17.34GiB
18:28:06,37,84,17.34GiB
18:28:22,37,84,17.34GiB
18:28:38,37,84,17.34GiB
18:28:54,37,84,17.34GiB
18:29:10,37,84,17.34GiB
18:29:26,37,84,17.34GiB
18:29:42,37,84,17.34GiB
18:29:58,37,84,17.34GiB
18:30:14,37,84,17.34GiB
18:30:30,70,51,21.73GiB
18:30:47,88,33,21.94GiB
18:31:03,120,0,15.01GiB
18:31:19,120,0,14.88GiB
18:31:35,120,1,14.73GiB
18:31:51,120,0,14.58GiB
18:32:07,120,0,14.55GiB
18:32:23,120,0,14.55GiB
18:32:40,120,1,14.37GiB
18:32:56,33,88,14.02GiB
18:33:12,39,82,14.03GiB
18:33:28,35,86,14.03GiB
18:33:44,36,85,14.03GiB
18:34:00,35,86,14.03GiB
18:34:16,35,85,14.03GiB
18:34:32,35,86,14.03GiB
18:34:48,34,87,14.03GiB
18:35:04,34,87,14.03GiB
18:35:20,33,87,14.03GiB
18:35:36,33,88,14.03GiB
18:35:53,33,88,14.03GiB
18:36:09,33,88,14.03GiB
18:36:25,33,88,14.04GiB
18:36:41,33,88,14.04GiB
18:36:57,33,88,14.04GiB
18:37:13,33,88,14.04GiB
18:37:29,33,88,14.04GiB
18:37:45,37,83,14.04GiB
18:38:01,39,82,14.04GiB
18:38:17,34,87,14.04GiB
18:38:33,38,82,14.47GiB
18:38:49,47,74,22.24GiB
18:39:05,42,79,22.44GiB
18:39:21,42,79,22.45GiB
18:39:38,43,78,22.45GiB
18:39:54,42,79,22.45GiB
18:40:10,42,79,22.45GiB
18:40:26,42,79,22.45GiB
18:40:42,41,79,22.45GiB
18:40:58,41,79,22.45GiB
18:41:14,41,79,22.45GiB
18:41:30,41,79,22.45GiB
18:41:46,41,79,22.45GiB
18:42:02,41,79,22.45GiB
18:42:18,41,79,22.45GiB
18:42:34,41,79,22.45GiB
18:42:50,41,79,22.45GiB
18:43:06,70,51,33.61GiB
18:43:22,71,50,37.06GiB
18:43:39,120,1,20.68GiB
18:43:55,120,1,14.58GiB
18:44:11,120,1,14.6GiB
18:44:27,120,1,14.6GiB
18:44:43,120,1,14.61GiB
18:44:59,120,1,14.61GiB
18:45:15,120,1,14.61GiB
18:45:31,120,1,14.69GiB
18:45:47,33,87,14.6GiB
18:46:04,33,87,14.6GiB
18:46:20,33,87,14.6GiB
18:46:36,33,87,14.6GiB
18:46:52,33,87,14.6GiB
18:47:08,33,87,14.6GiB
18:47:24,33,87,14.6GiB
18:47:40,33,87,14.6GiB
18:47:56,33,87,14.6GiB
18:48:12,33,87,14.6GiB
18:48:28,33,87,14.6GiB
18:48:44,33,87,14.6GiB
18:49:00,33,87,14.6GiB
18:49:16,33,87,14.6GiB
18:49:33,33,87,14.6GiB
18:49:49,33,87,14.6GiB
18:50:05,33,87,14.6GiB
18:50:21,33,87,14.6GiB
18:50:37,33,87,14.6GiB
18:50:53,33,87,14.6GiB
18:51:09,38,83,16.44GiB
18:51:25,41,80,22.26GiB
18:51:41,41,80,22.26GiB
18:51:57,41,80,22.26GiB
18:52:13,41,80,22.27GiB
18:52:29,41,80,22.27GiB
18:52:45,41,80,22.27GiB
18:53:01,41,80,22.27GiB
18:53:17,41,80,22.27GiB
18:53:33,41,80,22.27GiB
18:53:50,41,80,22.27GiB
18:54:06,41,80,22.27GiB
18:54:22,41,80,22.27GiB
18:54:38,41,80,22.27GiB
18:54:54,41,80,22.27GiB
18:55:10,41,80,22.27GiB
18:55:26,41,80,22.33GiB
18:55:42,70,51,36.67GiB
18:55:58,120,0,19.13GiB
18:56:14,120,1,14.49GiB
18:56:30,120,1,14.52GiB
18:56:47,120,1,14.52GiB
18:57:03,120,1,14.52GiB
18:57:19,120,1,14.52GiB
18:57:35,120,1,14.53GiB
18:57:51,39,82,14.69GiB
18:58:07,48,73,14.71GiB
18:58:23,48,73,14.71GiB
18:58:39,48,73,14.71GiB
18:58:55,48,73,14.71GiB
18:59:11,48,73,14.71GiB
18:59:27,48,73,14.71GiB
18:59:43,48,73,14.71GiB
18:59:59,48,72,14.71GiB
19:00:16,48,72,14.71GiB
19:00:32,48,72,14.71GiB
19:00:48,48,72,14.71GiB
19:01:04,48,72,14.71GiB
19:01:20,48,72,14.71GiB
19:01:36,48,72,14.71GiB
19:01:52,48,72,14.71GiB
19:02:08,48,72,14.71GiB
19:02:24,48,72,14.71GiB
19:02:40,48,72,14.71GiB
19:02:56,48,72,14.71GiB
19:03:12,48,72,14.71GiB
19:03:28,48,72,14.71GiB
19:03:45,48,72,14.71GiB
19:04:01,48,72,14.72GiB
19:04:17,48,72,14.72GiB
19:04:33,48,72,14.72GiB
19:04:49,48,72,14.72GiB
19:05:05,48,72,14.72GiB
19:05:21,48,72,14.72GiB
19:05:37,48,72,14.72GiB
19:05:53,48,72,14.72GiB
19:06:09,48,72,14.72GiB
19:06:25,48,72,14.72GiB
19:06:41,48,72,14.72GiB
19:06:57,48,72,14.72GiB
19:07:14,48,72,14.72GiB
19:07:30,48,72,14.72GiB
19:07:46,48,72,14.72GiB
19:08:02,48,72,14.72GiB
19:08:18,48,72,14.72GiB
19:08:34,48,72,14.72GiB
19:08:50,48,72,14.72GiB
19:09:06,54,67,16.15GiB
19:09:22,56,65,22.27GiB
19:09:38,56,65,22.27GiB
19:09:54,56,65,22.27GiB
19:10:10,56,65,22.27GiB
19:10:26,56,65,22.27GiB
19:10:42,56,65,22.27GiB
19:10:59,56,65,22.27GiB
19:11:15,56,65,22.27GiB
19:11:31,56,65,22.27GiB
19:11:47,56,65,22.27GiB
19:12:03,56,65,22.27GiB
19:12:19,56,65,22.27GiB
19:12:35,56,65,22.27GiB
19:12:51,56,65,22.27GiB
19:13:07,56,65,22.27GiB
19:13:23,56,65,22.27GiB
19:13:39,85,36,36.65GiB
19:13:55,89,31,36.69GiB
19:14:12,120,1,14.76GiB
19:14:28,120,1,14.77GiB
19:14:44,120,1,14.78GiB
19:15:00,120,1,14.79GiB
19:15:16,120,1,14.79GiB
19:15:32,120,1,14.79GiB
19:15:48,120,1,14.87GiB
19:16:04,91,29,14.89GiB
19:16:20,48,73,14.81GiB
19:16:36,48,73,14.81GiB
19:16:52,48,73,14.81GiB
19:17:08,48,73,14.81GiB
19:17:25,48,73,14.81GiB
19:17:41,48,73,14.82GiB
19:17:57,48,73,14.82GiB
19:18:13,48,73,14.82GiB
19:18:29,48,73,14.82GiB
19:18:45,48,73,14.82GiB
19:19:01,48,73,14.82GiB
19:19:17,48,73,14.82GiB
19:19:33,48,73,14.82GiB
19:19:49,48,73,14.82GiB
19:20:05,48,73,14.82GiB
19:20:21,48,73,14.82GiB
19:20:37,48,73,14.82GiB
19:20:54,48,73,14.82GiB
19:21:10,48,73,14.82GiB
19:21:26,48,73,14.82GiB
19:21:42,48,73,14.82GiB
19:21:58,48,73,14.82GiB
19:22:14,48,73,14.82GiB
19:22:30,48,73,14.82GiB
19:22:46,48,73,14.82GiB
19:23:02,48,73,14.82GiB
19:23:18,48,73,14.82GiB
19:23:34,48,73,14.82GiB
19:23:50,48,73,14.82GiB
19:24:06,48,73,14.82GiB
19:24:23,48,73,14.82GiB
19:24:39,48,73,14.82GiB
19:24:55,48,73,14.82GiB
19:25:11,48,73,14.82GiB
19:25:27,48,73,14.82GiB
19:25:43,48,73,14.82GiB
19:25:59,48,73,14.82GiB
19:26:15,48,73,14.82GiB
19:26:31,48,73,14.82GiB
19:26:47,48,73,14.82GiB
19:27:03,53,68,14.85GiB
19:27:19,60,61,21.88GiB
peak:
max_used_gb,120
