cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.73363,0.0,0.465,0.7562,0.92,0.92,7.4,0.5308,0.1038,0.0875,1.5116,1.5e-05,1640.691,0.098526,0.806776,0.002865,0.0,13.40014362335205,False,0.25,0.25,0.25,0.25,0.465,0.0,0.0
2,GSM8K,fixed_grpo,0.25811,0.0,0.47,0.7973,0.94,0.94,7.42,0.5128,0.0951,0.0924,1.4811,2.1e-05,1640.691,0.098443,0.806024,0.002872,0.0,13.154312133789062,False,0.25,0.25,0.25,0.25,0.47,0.0,0.0
3,GSM8K,fixed_grpo,0.2888,0.0,0.5025,0.7751,0.92,0.92,7.96,0.4909,0.0969,0.0804,1.352,2.6e-05,1640.691,0.100045,0.818779,0.002968,0.0,14.210813522338867,False,0.25,0.25,0.25,0.25,0.5025,0.0,0.0
4,GSM8K,fixed_grpo,0.22976,0.0,0.4725,0.7816,0.94,0.94,7.54,0.4931,0.0894,0.0894,1.4136,3e-05,1640.691,0.100743,0.824259,0.003019,0.0,13.550761222839355,False,0.25,0.25,0.25,0.25,0.4725,0.0,0.0
5,GSM8K,fixed_grpo,0.29698,0.0,0.4863,0.7783,0.92,0.92,7.7,0.4957,0.0933,0.0921,1.405,3.3e-05,1640.691,0.101417,0.829655,0.003056,0.0,13.671727180480957,False,0.25,0.25,0.25,0.25,0.4863,0.0,0.0
6,GSM8K,fixed_grpo,0.31092,0.0,0.4763,0.7641,0.86,0.86,7.56,0.5409,0.0837,0.0764,1.4417,3.6e-05,1640.691,0.102036,0.834621,0.003088,0.0,13.95038890838623,False,0.25,0.25,0.25,0.25,0.4763,0.0,0.0
7,GSM8K,fixed_grpo,0.35987,0.0,0.5262,0.8025,0.94,0.94,8.4,0.4698,0.0944,0.0879,1.2893,3.9e-05,1640.691,0.10242,0.837683,0.00311,0.0,13.738790512084961,False,0.25,0.25,0.25,0.25,0.5262,0.0,0.0
8,GSM8K,fixed_grpo,0.20507,0.0,0.4838,0.7512,0.88,0.88,7.6,0.4297,0.1103,0.1054,1.3356,4.2e-05,1640.691,0.10272,0.840059,0.00313,0.0,13.784032821655273,False,0.25,0.25,0.25,0.25,0.4838,0.0,0.0
9,GSM8K,fixed_grpo,0.4124,0.0,0.5337,0.7531,0.84,0.84,8.46,0.4904,0.0971,0.0783,1.1852,4.5e-05,1640.691,0.103015,0.842407,0.003148,0.0,14.26588249206543,False,0.25,0.25,0.25,0.25,0.5337,0.0,0.0
10,GSM8K,fixed_grpo,0.36305,0.0,0.545,0.7791,0.92,0.92,8.64,0.4838,0.0983,0.0846,1.2226,4.7e-05,1640.691,0.103266,0.844401,0.003163,0.0,13.851707458496094,False,0.25,0.25,0.25,0.25,0.545,0.0,0.0
11,Code,fixed_grpo,-0.0122,-0.01875,0.26,0.5507,0.7,0.7,4.06,0.7294,0.0911,0.0493,1.8772,5.2e-05,1640.691,0.107138,0.876156,0.003269,0.0,12.59253215789795,False,0.25,0.25,0.25,0.25,0.5262,0.26,0.0
12,Code,fixed_grpo,0.58657,0.0075,0.2238,0.5165,0.72,0.72,3.5,0.7866,0.0858,0.0429,1.8427,5.8e-05,1640.691,0.108053,0.883618,0.003299,0.0,12.494321823120117,False,0.25,0.25,0.25,0.25,0.5525,0.2238,0.0
13,Code,fixed_grpo,0.78324,0.045,0.195,0.4505,0.68,0.68,3.04,0.8039,0.0803,0.0347,1.9374,6.4e-05,1640.691,0.110686,0.905268,0.003364,0.0,12.787344932556152,False,0.25,0.25,0.25,0.25,0.59,0.195,0.0
14,Code,fixed_grpo,0.77047,0.02875,0.1812,0.4276,0.7,0.7,2.86,0.7988,0.0787,0.0356,1.8,7e-05,1640.691,0.113763,0.930269,0.003479,0.0,13.137572288513184,False,0.25,0.25,0.25,0.25,0.5737,0.1812,0.0
15,Code,fixed_grpo,0.8791,0.03375,0.1875,0.4654,0.72,0.72,2.96,0.8152,0.0773,0.032,1.9206,7.6e-05,1640.691,0.115411,0.943577,0.003553,0.0,12.031453132629395,False,0.25,0.25,0.25,0.25,0.5787,0.1875,0.0
16,Code,fixed_grpo,0.76371,0.0175,0.165,0.4039,0.64,0.64,2.52,0.8043,0.0783,0.0344,1.9212,8.2e-05,1640.691,0.116292,0.950675,0.003594,0.0,11.638521194458008,False,0.25,0.25,0.25,0.25,0.5625,0.165,0.0
17,Code,fixed_grpo,1.02583,0.045,0.1787,0.4655,0.74,0.74,2.84,0.8167,0.0803,0.0305,1.897,8.8e-05,1640.691,0.117002,0.956415,0.003625,0.0,11.182416915893555,False,0.25,0.25,0.25,0.25,0.59,0.1787,0.0
18,Code,fixed_grpo,1.02359,0.0425,0.1787,0.443,0.72,0.72,2.74,0.8139,0.0743,0.0312,1.8745,9.5e-05,1640.691,0.117381,0.959443,0.003646,0.0,11.476948738098145,False,0.25,0.25,0.25,0.25,0.5875,0.1787,0.0
19,Code,fixed_grpo,1.10863,0.05625,0.1688,0.4263,0.66,0.66,2.62,0.8065,0.0771,0.0357,1.9179,0.000102,1640.691,0.117589,0.961093,0.003659,0.0,11.219674110412598,False,0.25,0.25,0.25,0.25,0.6012,0.1688,0.0
20,Code,fixed_grpo,1.22088,0.05875,0.1775,0.4396,0.7,0.7,2.78,0.806,0.0877,0.0327,1.8683,0.000109,1640.692,0.117884,0.963453,0.003675,0.0,10.7064847946167,False,0.25,0.25,0.25,0.25,0.6038,0.1775,0.0
21,MedicalMC,fixed_grpo,1.38549,0.02312,0.2838,0.6652,0.98,0.98,4.54,0.8261,0.0623,0.0714,2.3281,0.000112,1640.692,0.118044,0.964699,0.003688,0.0,13.767016410827637,False,0.25,0.25,0.25,0.25,0.5787,0.19,0.2838
22,MedicalMC,fixed_grpo,1.24998,0.0225,0.3262,0.65,0.92,0.92,5.22,0.8272,0.0654,0.0695,2.4446,0.000114,1640.692,0.11811,0.965189,0.003697,0.0,13.209105491638184,False,0.25,0.25,0.25,0.25,0.59,0.1775,0.3262
23,MedicalMC,fixed_grpo,1.09097,0.01812,0.3088,0.6886,1.0,1.0,4.94,0.8358,0.0647,0.0667,2.4375,0.000117,1640.692,0.118308,0.966759,0.00371,0.0,13.30003547668457,False,0.25,0.25,0.25,0.25,0.59,0.1688,0.3088
24,MedicalMC,fixed_grpo,1.28419,0.02687,0.3025,0.6423,0.94,0.94,4.82,0.8627,0.0548,0.0525,2.3756,0.000119,1640.692,0.118353,0.967111,0.003713,0.0,13.064967155456543,False,0.25,0.25,0.25,0.25,0.5875,0.1888,0.3025
25,MedicalMC,fixed_grpo,1.38662,0.0325,0.3,0.696,0.96,0.96,4.8,0.8562,0.0573,0.055,2.4726,0.000122,1640.692,0.118414,0.967595,0.003718,0.0,13.574498176574707,False,0.25,0.25,0.25,0.25,0.5863,0.2013,0.3
26,MedicalMC,fixed_grpo,1.44508,0.02937,0.3013,0.6739,0.96,0.96,4.82,0.8621,0.059,0.045,2.3432,0.000126,1640.692,0.118465,0.967998,0.003721,0.0,13.501336097717285,False,0.25,0.25,0.25,0.25,0.6088,0.1725,0.3013
27,MedicalMC,fixed_grpo,1.60019,0.03687,0.3013,0.6937,0.96,0.96,4.82,0.8791,0.0519,0.0306,1.9936,0.000129,1640.692,0.118511,0.968357,0.003724,0.0,13.56592845916748,False,0.25,0.25,0.25,0.25,0.6038,0.1925,0.3013
