cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.70206,0.0,0.4025,0.705,0.9,0.9,6.42,0.5891,0.0924,0.07,1.6791,1.4e-05,1640.691,0.098442,0.805939,0.002883,0.0,14.182428359985352,False,0.25,0.25,0.25,0.25,0.4025,0.0,0.0
2,GSM8K,nsiac,0.31371,0.0,0.4713,0.7436,0.88,0.88,7.44,0.491,0.1037,0.0855,1.4642,2e-05,1640.691,0.096951,0.793851,0.002823,0.0,13.694193840026855,False,0.25,0.25,0.25,0.25,0.4713,0.0,0.0
3,GSM8K,nsiac,0.25827,0.0,0.5062,0.7933,0.92,0.92,7.76,0.4405,0.1148,0.0921,1.3541,2.2e-05,1640.691,0.106006,0.868622,0.003001,0.0,14.114877700805664,False,0.61,0.1714,0.0137,0.2048,0.5062,0.0,0.0
4,GSM8K,nsiac,0.29196,0.0,0.5787,0.8356,0.94,0.94,8.72,0.4031,0.1251,0.0772,1.1498,2.5e-05,1640.691,0.108208,0.886294,0.003114,0.0,13.788640022277832,False,0.6113,0.1715,0.0136,0.2035,0.5787,0.0,0.0
5,GSM8K,nsiac,0.15015,0.0,0.5075,0.767,0.86,0.86,7.92,0.445,0.1172,0.0904,1.3331,2.9e-05,1640.691,0.109074,0.893257,0.003157,0.0,13.153433799743652,False,0.2718,0.1131,0.3136,0.3016,0.5075,0.0,0.0
6,GSM8K,nsiac,0.23253,0.0,0.4625,0.7645,0.96,0.96,7.38,0.505,0.1143,0.089,1.4619,3.4e-05,1640.69,0.204162,0.898265,0.110411,0.0,13.519255638122559,False,0.2337,0.1621,0.3875,0.2166,0.4625,0.0,0.0
7,GSM8K,nsiac,0.29385,0.0,0.4725,0.756,0.9,0.9,7.46,0.4621,0.1117,0.091,1.3931,3.7e-05,1640.691,0.206981,0.920897,0.110554,0.0,12.991943359375,False,0.6502,0.2246,0.0574,0.0678,0.4725,0.0,0.0
8,GSM8K,nsiac,0.41768,0.0,0.5363,0.7991,0.94,0.94,8.52,0.499,0.1064,0.0726,1.2264,3.9e-05,1640.691,0.207237,0.922993,0.110562,0.0,13.634621620178223,False,0.2614,0.4318,0.169,0.1378,0.5363,0.0,0.0
9,GSM8K,nsiac,0.2865,0.0,0.52,0.774,0.92,0.92,8.14,0.4656,0.107,0.0801,1.2929,4.1e-05,1640.691,0.208001,0.929106,0.110604,0.0,13.936333656311035,False,0.7036,0.2434,0.0085,0.0445,0.52,0.0,0.0
10,GSM8K,nsiac,0.31777,0.0,0.5162,0.7937,0.96,0.96,8.18,0.4612,0.1088,0.0825,1.3117,4.3e-05,1640.691,0.20812,0.930063,0.110609,0.0,13.594819068908691,False,0.4121,0.477,0.0227,0.0883,0.5162,0.0,0.0
