cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.73682,0.0,0.4437,0.7366,0.9,0.9,7.08,0.5731,0.0901,0.0714,1.5912,1.4e-05,1640.691,0.098457,0.806083,0.00288,0.0,14.408414840698242,False,0.25,0.25,0.25,0.25,0.4437,0.0,0.0
2,GSM8K,nsiac,0.34772,0.0,0.5537,0.8007,0.92,0.92,8.64,0.4677,0.0997,0.0764,1.2379,2e-05,1640.691,0.097005,0.794325,0.00282,0.0,14.044906616210938,False,0.25,0.25,0.25,0.25,0.5537,0.0,0.0
3,GSM8K,nsiac,0.23777,0.0,0.585,0.8072,0.92,0.92,8.9,0.4091,0.1104,0.077,1.1063,2.2e-05,1640.691,0.106098,0.869489,0.002989,0.0,14.268851280212402,False,0.6073,0.174,0.0139,0.2048,0.585,0.0,0.0
4,GSM8K,nsiac,0.24442,0.0,0.6125,0.8246,0.94,0.94,9.4,0.4063,0.1073,0.0706,1.0122,2.5e-05,1640.691,0.106763,0.874749,0.003033,0.0,14.199960708618164,False,0.6119,0.1725,0.0136,0.202,0.6125,0.0,0.0
5,GSM8K,nsiac,0.186,0.0,0.5837,0.8084,0.94,0.94,9.0,0.4047,0.0993,0.0675,1.0652,2.9e-05,1640.691,0.107673,0.882087,0.003075,0.0,14.445304870605469,False,0.2747,0.1115,0.313,0.3008,0.5837,0.0,0.0
6,GSM8K,nsiac,0.18451,0.0,0.5125,0.7663,0.9,0.9,8.06,0.4749,0.0957,0.0751,1.2455,3.4e-05,1640.69,0.203881,0.88734,0.111568,0.0,13.959121704101562,False,0.2345,0.1638,0.3833,0.2184,0.5125,0.0,0.0
7,GSM8K,nsiac,0.35469,0.0,0.5625,0.8197,0.92,0.92,8.84,0.4549,0.0888,0.0738,1.1839,3.6e-05,1640.69,0.206821,0.910916,0.111721,0.0,13.40113353729248,False,0.6501,0.2256,0.054,0.0702,0.5625,0.0,0.0
8,GSM8K,nsiac,0.3088,0.0,0.5613,0.7971,0.92,0.92,8.82,0.4776,0.0968,0.0705,1.1738,3.8e-05,1640.69,0.207053,0.912822,0.111727,0.0,13.719566345214844,False,0.2598,0.4473,0.1569,0.136,0.5613,0.0,0.0
9,GSM8K,nsiac,0.34747,0.0,0.595,0.8168,0.92,0.92,9.34,0.4418,0.111,0.0633,1.0665,4.1e-05,1640.691,0.207949,0.919998,0.111775,0.0,14.192965507507324,False,0.6915,0.2616,0.0073,0.0395,0.595,0.0,0.0
10,GSM8K,nsiac,0.30567,0.0,0.605,0.8403,0.92,0.92,9.14,0.4159,0.1102,0.0687,1.0809,4.2e-05,1640.69,0.208091,0.921126,0.111783,0.0,14.326955795288086,False,0.512,0.3951,0.019,0.074,0.605,0.0,0.0
11,Code,nsiac,-0.14427,-0.03,0.2913,0.606,0.82,0.82,4.3,0.6752,0.0919,0.0562,1.8383,4.4e-05,1640.69,0.208428,0.923872,0.111795,0.0,12.791845321655273,False,0.3419,0.5461,0.0259,0.0861,0.575,0.2913,0.0
12,Code,nsiac,0.55255,0.0,0.2775,0.5746,0.72,0.72,4.14,0.7192,0.086,0.0523,1.87,4.9e-05,1640.691,0.208759,0.926572,0.111806,0.0,12.679682731628418,False,0.4976,0.4562,0.0109,0.0353,0.605,0.2775,0.0
