cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,sft_star,0.54615,0.0,0.3663,0.6636,0.8,0.8,5.44,0.3751,0.1286,0.1459,1.516,2.8e-05,1640.691,0.105877,0.866971,0.003078,0.0,14.53287124633789,False,0.25,0.25,0.25,0.25,0.3663,0.0,0.0
2,GSM8K,sft_star,0.15966,0.0,0.3787,0.6744,0.84,0.84,5.28,0.3284,0.127,0.166,1.5153,3.6e-05,1640.691,0.105287,0.861962,0.003085,0.0,14.44845962524414,False,0.25,0.25,0.25,0.25,0.3787,0.0,0.0
3,GSM8K,sft_star,0.12463,0.0,0.38,0.6657,0.88,0.88,4.74,0.2888,0.1526,0.1733,1.4627,4.4e-05,1640.691,0.106356,0.87037,0.003162,0.0,14.45753288269043,False,0.25,0.25,0.25,0.25,0.38,0.0,0.0
4,GSM8K,sft_star,0.16831,0.0,0.4113,0.7021,0.86,0.86,4.96,0.2802,0.134,0.1842,1.421,5e-05,1640.691,0.106963,0.875156,0.003205,0.0,14.405312538146973,False,0.25,0.25,0.25,0.25,0.4113,0.0,0.0
5,GSM8K,sft_star,0.1269,0.0,0.425,0.6833,0.82,0.82,5.04,0.2487,0.1578,0.1798,1.2812,5.5e-05,1640.691,0.107441,0.878932,0.003237,0.0,14.395722389221191,False,0.25,0.25,0.25,0.25,0.425,0.0,0.0
6,GSM8K,sft_star,0.04036,0.0,0.3937,0.64,0.84,0.84,3.48,0.2123,0.1799,0.1934,1.3911,6.1e-05,1640.691,0.10785,0.882158,0.003266,0.0,14.560294151306152,False,0.25,0.25,0.25,0.25,0.3937,0.0,0.0
7,GSM8K,sft_star,0.10395,0.0,0.4062,0.6533,0.8,0.8,3.48,0.214,0.1871,0.1849,1.2459,6.5e-05,1640.691,0.108155,0.884552,0.003289,0.0,13.856611251831055,False,0.25,0.25,0.25,0.25,0.4062,0.0,0.0
8,GSM8K,sft_star,0.12464,0.0,0.4313,0.6871,0.86,0.86,3.82,0.2115,0.1923,0.1805,1.2476,7e-05,1640.691,0.108455,0.886916,0.00331,0.0,14.465461730957031,False,0.25,0.25,0.25,0.25,0.4313,0.0,0.0
9,GSM8K,sft_star,0.07016,0.0,0.4263,0.6812,0.82,0.82,3.16,0.193,0.1889,0.1918,1.2616,7.5e-05,1640.691,0.10882,0.889856,0.003327,0.0,14.389721870422363,False,0.25,0.25,0.25,0.25,0.4263,0.0,0.0
10,GSM8K,sft_star,0.05024,0.0,0.4062,0.6342,0.84,0.84,3.18,0.1978,0.195,0.1928,1.2339,7.9e-05,1640.691,0.109031,0.891485,0.003347,0.0,14.458521842956543,False,0.25,0.25,0.25,0.25,0.4062,0.0,0.0
