cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,sft_star,0.52983,0.0,0.35,0.658,0.84,0.84,5.26,0.3764,0.1295,0.148,1.5568,2.8e-05,1640.691,0.10588,0.866997,0.003078,0.0,14.53051471710205,False,0.25,0.25,0.25,0.25,0.35,0.0,0.0
2,GSM8K,sft_star,0.21312,0.0,0.405,0.6956,0.86,0.86,6.02,0.3436,0.1335,0.1573,1.5182,3.7e-05,1640.691,0.10532,0.862223,0.003087,0.0,14.430299758911133,False,0.25,0.25,0.25,0.25,0.405,0.0,0.0
3,GSM8K,sft_star,0.10761,0.0,0.3875,0.6658,0.82,0.82,4.78,0.2934,0.1449,0.1857,1.4384,4.4e-05,1640.691,0.106463,0.871247,0.003165,0.0,14.528894424438477,False,0.25,0.25,0.25,0.25,0.3875,0.0,0.0
4,GSM8K,sft_star,0.17151,0.0,0.43,0.6821,0.86,0.86,5.04,0.2692,0.1468,0.1796,1.3322,5e-05,1640.691,0.107055,0.875893,0.00321,0.0,14.542899131774902,False,0.25,0.25,0.25,0.25,0.43,0.0,0.0
5,GSM8K,sft_star,0.10856,0.0,0.43,0.6925,0.86,0.86,4.54,0.25,0.1621,0.1851,1.3453,5.6e-05,1640.691,0.107549,0.879734,0.003252,0.0,14.278730392456055,False,0.25,0.25,0.25,0.25,0.43,0.0,0.0
6,GSM8K,sft_star,0.04987,0.0,0.3962,0.6539,0.9,0.9,3.64,0.2257,0.1684,0.1855,1.3679,6.1e-05,1640.691,0.10805,0.883706,0.003284,0.0,14.562564849853516,False,0.25,0.25,0.25,0.25,0.3962,0.0,0.0
7,GSM8K,sft_star,0.10328,0.0,0.405,0.6455,0.78,0.78,3.88,0.2201,0.1859,0.192,1.2916,6.6e-05,1640.691,0.108337,0.885968,0.003304,0.0,13.871469497680664,False,0.25,0.25,0.25,0.25,0.405,0.0,0.0
8,GSM8K,sft_star,0.125,0.0,0.4375,0.6566,0.84,0.84,3.74,0.2007,0.1997,0.1921,1.194,7.1e-05,1640.691,0.108593,0.888001,0.00332,0.0,14.58829116821289,False,0.25,0.25,0.25,0.25,0.4375,0.0,0.0
9,GSM8K,sft_star,0.08897,0.0,0.44,0.6608,0.78,0.78,4.1,0.2023,0.1902,0.1827,1.2071,7.5e-05,1640.691,0.108896,0.890425,0.003336,0.0,14.322918891906738,False,0.25,0.25,0.25,0.25,0.44,0.0,0.0
10,GSM8K,sft_star,0.11318,0.0,0.45,0.6669,0.8,0.8,3.96,0.2091,0.1875,0.1827,1.2042,7.9e-05,1640.691,0.109071,0.89178,0.003353,0.0,14.292293548583984,False,0.25,0.25,0.25,0.25,0.45,0.0,0.0
11,Code,sft_star,0.2318,-0.01625,0.3375,0.6444,0.84,0.84,4.78,0.6298,0.0923,0.0637,1.8398,8.1e-05,1640.691,0.109188,0.892692,0.003362,0.0,13.017709732055664,False,0.25,0.25,0.25,0.25,0.4338,0.3375,0.0
12,Code,sft_star,0.66412,0.0375,0.3425,0.6651,0.84,0.84,4.88,0.6393,0.0983,0.064,1.7853,8.3e-05,1640.691,0.109281,0.893393,0.003373,0.0,12.879770278930664,False,0.25,0.25,0.25,0.25,0.4875,0.3425,0.0
13,Code,sft_star,0.47193,0.00375,0.3088,0.6088,0.8,0.8,4.62,0.635,0.1005,0.0664,1.8274,8.4e-05,1640.691,0.10935,0.893912,0.003382,0.0,13.03867244720459,False,0.25,0.25,0.25,0.25,0.4537,0.3088,0.0
14,Code,sft_star,0.40807,-0.02875,0.3125,0.6472,0.82,0.82,4.72,0.6267,0.0958,0.07,1.8374,8.6e-05,1640.691,0.109427,0.894512,0.003387,0.0,13.670071601867676,False,0.25,0.25,0.25,0.25,0.4213,0.3125,0.0
15,Code,sft_star,0.54065,-0.01125,0.3287,0.6388,0.86,0.86,4.78,0.6306,0.0886,0.0663,1.8767,8.7e-05,1640.691,0.109583,0.895748,0.003398,0.0,12.818589210510254,False,0.25,0.25,0.25,0.25,0.4387,0.3287,0.0
16,Code,sft_star,0.38512,-0.0325,0.3125,0.6337,0.86,0.86,4.5,0.6392,0.0874,0.0621,1.7936,8.9e-05,1640.691,0.109691,0.896618,0.003403,0.0,13.106651306152344,False,0.25,0.25,0.25,0.25,0.4175,0.3125,0.0
17,Code,sft_star,0.39418,-0.05,0.34,0.6423,0.82,0.82,4.9,0.6236,0.0875,0.0627,1.8043,9e-05,1640.691,0.109762,0.897164,0.003409,0.0,13.023219108581543,False,0.25,0.25,0.25,0.25,0.4,0.34,0.0
18,Code,sft_star,0.45538,-0.02625,0.3387,0.6544,0.86,0.86,5.06,0.6122,0.0944,0.0625,1.7898,9.2e-05,1640.691,0.109826,0.897677,0.003413,0.0,13.158596992492676,False,0.25,0.25,0.25,0.25,0.4238,0.3387,0.0
19,Code,sft_star,0.60926,-0.00875,0.3425,0.6524,0.84,0.84,4.96,0.6255,0.0886,0.0638,1.7815,9.4e-05,1640.691,0.109924,0.898454,0.003419,0.0,13.145573616027832,False,0.25,0.25,0.25,0.25,0.4412,0.3425,0.0
20,Code,sft_star,0.72054,0.01,0.3362,0.63,0.78,0.78,4.72,0.6334,0.1024,0.0595,1.8306,9.5e-05,1640.691,0.109994,0.898995,0.003425,0.0,13.110374450683594,False,0.25,0.25,0.25,0.25,0.46,0.3362,0.0
21,MedicalMC,sft_star,0.3613,-0.01688,0.2712,0.6458,0.98,0.98,4.34,0.5791,0.0588,0.203,2.402,0.000101,1640.691,0.112133,0.916551,0.003483,0.0,13.821601867675781,False,0.25,0.25,0.25,0.25,0.43,0.3225,0.2712
22,MedicalMC,sft_star,0.44588,-0.01437,0.28,0.6653,1.0,1.0,4.48,0.4411,0.071,0.3284,2.3366,0.000106,1640.691,0.112586,0.920237,0.003498,0.0,13.2999906539917,False,0.25,0.25,0.25,0.25,0.4263,0.3312,0.28
23,MedicalMC,sft_star,0.44503,-0.00375,0.2825,0.6094,0.86,0.86,4.46,0.3943,0.0915,0.3562,2.1547,0.000111,1640.691,0.112986,0.923459,0.003517,0.0,13.432840347290039,False,0.25,0.25,0.25,0.25,0.4662,0.3125,0.2825
24,MedicalMC,sft_star,0.31581,-0.02188,0.285,0.6421,0.96,0.96,4.24,0.3902,0.1037,0.3201,1.9576,0.000116,1640.691,0.113357,0.926463,0.003533,0.0,13.078184127807617,False,0.25,0.25,0.25,0.25,0.435,0.3075,0.285
25,MedicalMC,sft_star,0.23153,-0.03375,0.3137,0.6571,0.86,0.86,4.42,0.3293,0.1086,0.3497,1.6781,0.000121,1640.691,0.113569,0.92816,0.003544,0.0,13.638106346130371,False,0.25,0.25,0.25,0.25,0.41,0.3088,0.3137
26,MedicalMC,sft_star,0.02181,-0.04938,0.325,0.6608,0.9,0.9,4.5,0.328,0.1247,0.3243,1.5328,0.000125,1640.692,0.113914,0.93094,0.003561,0.0,13.414048194885254,False,0.25,0.25,0.25,0.25,0.3912,0.2963,0.325
27,MedicalMC,sft_star,0.34069,-0.02375,0.3475,0.679,0.9,0.9,4.72,0.3482,0.1238,0.2196,1.3442,0.00013,1640.692,0.114069,0.932175,0.00357,0.0,13.638068199157715,False,0.25,0.25,0.25,0.25,0.435,0.3038,0.3475
28,MedicalMC,sft_star,-0.04485,-0.04688,0.3362,0.6641,0.92,0.92,4.18,0.332,0.1291,0.2258,1.1722,0.000135,1640.692,0.114181,0.933062,0.003577,0.0,13.497223854064941,False,0.25,0.25,0.25,0.25,0.395,0.2975,0.3362
29,MedicalMC,sft_star,0.25183,-0.03,0.36,0.6404,0.8,0.8,3.6,0.3262,0.1503,0.1599,0.8138,0.00014,1640.692,0.114436,0.935117,0.003588,0.0,13.467120170593262,False,0.25,0.25,0.25,0.25,0.3887,0.3375,0.36
30,MedicalMC,sft_star,0.18958,-0.01375,0.3475,0.6219,0.78,0.78,3.3,0.2928,0.1606,0.2134,0.6825,0.000145,1640.692,0.114625,0.936633,0.003598,0.0,13.681682586669922,False,0.25,0.25,0.25,0.25,0.4462,0.3125,0.3475
