cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.73375,0.0,0.4325,0.7039,0.88,0.88,6.92,0.5913,0.093,0.065,1.5892,1.5e-05,1640.691,0.098858,0.809493,0.002874,0.0,14.05938720703125,False,0.25,0.25,0.25,0.25,0.4325,0.0,0.0
2,GSM8K,fixed_grpo,0.32876,0.0,0.5062,0.7901,0.88,0.88,8.08,0.51,0.105,0.0915,1.428,2.1e-05,1640.691,0.098307,0.804876,0.002873,0.0,13.940343856811523,False,0.25,0.25,0.25,0.25,0.5062,0.0,0.0
3,GSM8K,fixed_grpo,0.2636,0.0,0.4975,0.7752,0.94,0.94,7.94,0.5368,0.1048,0.0823,1.4413,2.6e-05,1640.691,0.09995,0.817987,0.002966,0.0,13.869810104370117,False,0.25,0.25,0.25,0.25,0.4975,0.0,0.0
4,GSM8K,fixed_grpo,0.26244,0.0,0.4688,0.7609,0.9,0.9,7.44,0.5521,0.0954,0.0763,1.5503,3e-05,1640.691,0.10094,0.825888,0.003023,0.0,13.778630256652832,False,0.25,0.25,0.25,0.25,0.4688,0.0,0.0
5,GSM8K,fixed_grpo,0.24677,0.0,0.4462,0.7455,0.9,0.9,7.06,0.4894,0.0869,0.0891,1.522,3.4e-05,1640.691,0.101613,0.831268,0.003061,0.0,13.584074974060059,False,0.25,0.25,0.25,0.25,0.4462,0.0,0.0
6,GSM8K,fixed_grpo,0.32535,0.0,0.4775,0.7812,0.9,0.9,7.6,0.487,0.1014,0.0954,1.4461,3.7e-05,1640.691,0.102106,0.835198,0.003089,0.0,13.850616455078125,False,0.25,0.25,0.25,0.25,0.4775,0.0,0.0
7,GSM8K,fixed_grpo,0.32438,0.0,0.5088,0.7838,0.92,0.92,8.02,0.4636,0.1062,0.0883,1.2557,4e-05,1640.691,0.102477,0.838148,0.003112,0.0,12.822529792785645,False,0.25,0.25,0.25,0.25,0.5088,0.0,0.0
8,GSM8K,fixed_grpo,0.29519,0.0,0.4775,0.7697,0.92,0.92,7.64,0.535,0.1114,0.0804,1.5014,4.3e-05,1640.691,0.102775,0.840513,0.003131,0.0,13.231977462768555,False,0.25,0.25,0.25,0.25,0.4775,0.0,0.0
9,GSM8K,fixed_grpo,0.33459,0.0,0.4825,0.7727,0.92,0.92,7.62,0.4889,0.107,0.0881,1.4373,4.5e-05,1640.691,0.103098,0.843105,0.003148,0.0,13.302902221679688,False,0.25,0.25,0.25,0.25,0.4825,0.0,0.0
10,GSM8K,fixed_grpo,0.43065,0.0,0.5062,0.7745,0.9,0.9,8.1,0.5463,0.0982,0.0664,1.3885,4.8e-05,1640.691,0.103307,0.844744,0.003163,0.0,13.485225677490234,False,0.25,0.25,0.25,0.25,0.5062,0.0,0.0
11,Code,fixed_grpo,0.33658,0.0225,0.37,0.679,0.82,0.82,5.44,0.6502,0.0892,0.0556,1.7248,5.3e-05,1640.691,0.1081,0.884042,0.003295,0.0,12.925122261047363,False,0.25,0.25,0.25,0.25,0.5288,0.37,0.0
12,Code,fixed_grpo,0.6909,0.06125,0.335,0.6272,0.78,0.78,4.9,0.6625,0.093,0.05,1.7653,5.8e-05,1640.691,0.108559,0.88775,0.003316,0.0,12.789176940917969,False,0.25,0.25,0.25,0.25,0.5675,0.335,0.0
13,Code,fixed_grpo,0.84737,0.08,0.3225,0.5999,0.74,0.74,4.58,0.6706,0.0929,0.0529,1.7999,6.3e-05,1640.691,0.108895,0.890436,0.003334,0.0,12.922971725463867,False,0.25,0.25,0.25,0.25,0.5863,0.3225,0.0
14,Code,fixed_grpo,0.92736,0.0925,0.3013,0.5949,0.82,0.82,4.36,0.6745,0.0868,0.0579,1.8638,6.6e-05,1640.691,0.109134,0.892302,0.003354,0.0,13.456872940063477,False,0.25,0.25,0.25,0.25,0.5988,0.3013,0.0
