cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.69704,0.0,0.4075,0.7302,0.92,0.92,6.48,0.5658,0.0862,0.0792,1.6774,1.4e-05,1640.691,0.098326,0.805019,0.002875,0.0,13.896223068237305,False,0.25,0.25,0.25,0.25,0.4075,0.0,0.0
2,GSM8K,nsiac,0.32839,0.0,0.5012,0.7797,0.92,0.92,7.78,0.4731,0.1169,0.0905,1.3959,2e-05,1640.691,0.097131,0.79532,0.002828,0.0,14.189855575561523,False,0.25,0.25,0.25,0.25,0.5012,0.0,0.0
3,GSM8K,nsiac,0.23821,0.0,0.5375,0.7704,0.94,0.94,8.12,0.4144,0.1406,0.0722,1.2047,2.2e-05,1640.691,0.108089,0.885327,0.003109,0.0,14.270731925964355,False,0.6083,0.1726,0.0138,0.2052,0.5375,0.0,0.0
4,GSM8K,nsiac,0.23974,0.0,0.5713,0.8206,0.96,0.96,8.84,0.4027,0.1425,0.0673,1.1263,2.5e-05,1640.691,0.108677,0.889976,0.003149,0.0,13.916193008422852,False,0.6118,0.172,0.0136,0.2026,0.5713,0.0,0.0
5,GSM8K,nsiac,0.20404,0.0,0.5225,0.788,0.94,0.94,8.16,0.4848,0.1184,0.08,1.3247,2.9e-05,1640.691,0.109567,0.897149,0.00319,0.0,13.712130546569824,False,0.2735,0.1124,0.3133,0.3008,0.5225,0.0,0.0
6,GSM8K,nsiac,0.33323,0.0,0.5687,0.8121,0.96,0.96,8.9,0.4673,0.112,0.0598,1.1442,3.4e-05,1640.69,0.206278,0.90239,0.112256,0.0,14.277276992797852,False,0.233,0.1646,0.3848,0.2176,0.5687,0.0,0.0
7,GSM8K,nsiac,0.31102,0.0,0.6238,0.8278,0.94,0.94,9.32,0.399,0.1263,0.066,0.9764,3.6e-05,1640.69,0.206475,0.90397,0.112266,0.0,13.691869735717773,False,0.6442,0.2265,0.0575,0.0719,0.6238,0.0,0.0
8,GSM8K,nsiac,0.19626,0.0,0.5637,0.8147,0.92,0.92,8.84,0.4463,0.1031,0.0789,1.1533,3.8e-05,1640.69,0.206737,0.906111,0.112274,0.0,13.5042724609375,False,0.2057,0.4372,0.2021,0.155,0.5637,0.0,0.0
9,GSM8K,nsiac,0.11888,0.0,0.4338,0.7209,0.86,0.86,6.92,0.4775,0.1024,0.0959,1.4689,4e-05,1640.69,0.206937,0.907716,0.112284,0.0,13.421492576599121,False,0.025,0.1948,0.1538,0.6264,0.4338,0.0,0.0
10,GSM8K,nsiac,0.46958,0.0,0.5112,0.7945,0.92,0.92,8.12,0.4747,0.0983,0.0866,1.2743,4.2e-05,1640.69,0.207119,0.909189,0.112292,0.0,13.686315536499023,False,0.0245,0.5126,0.1875,0.2754,0.5112,0.0,0.0
11,Code,nsiac,0.08077,-0.0175,0.3063,0.6074,0.8,0.8,4.64,0.666,0.101,0.0573,1.8,4.3e-05,1640.69,0.20725,0.910214,0.112302,0.0,12.951807975769043,False,0.3286,0.3869,0.0683,0.2161,0.4938,0.3063,0.0
12,Code,nsiac,0.51809,-0.00875,0.3212,0.6284,0.8,0.8,4.82,0.6616,0.0958,0.0573,1.8036,4.5e-05,1640.69,0.208181,0.917732,0.112344,0.0,12.801281929016113,False,0.6277,0.2222,0.0372,0.1129,0.5025,0.3212,0.0
13,Code,nsiac,0.57304,-0.00625,0.34,0.6223,0.8,0.8,5.04,0.676,0.0876,0.0509,1.7921,4.6e-05,1640.69,0.208305,0.918731,0.112349,0.0,13.069190979003906,False,0.3614,0.4354,0.1389,0.0642,0.505,0.34,0.0
14,Code,nsiac,0.70319,0.01375,0.38,0.676,0.86,0.86,5.64,0.6528,0.0945,0.0509,1.8094,4.8e-05,1640.69,0.208522,0.920485,0.112359,0.0,13.639921188354492,False,0.596,0.2501,0.1008,0.0531,0.525,0.38,0.0
15,Code,nsiac,0.6151,0.01375,0.3613,0.6578,0.8,0.8,5.3,0.6611,0.0983,0.0448,1.8426,4.9e-05,1640.69,0.208645,0.921463,0.112366,0.0,13.031644821166992,False,0.7191,0.2626,0.0065,0.0117,0.525,0.3613,0.0
16,Code,nsiac,0.66562,0.015,0.35,0.6294,0.78,0.78,4.88,0.6626,0.1014,0.047,1.7937,5e-05,1640.69,0.208708,0.921961,0.11237,0.0,13.053813934326172,False,0.5097,0.428,0.0332,0.0291,0.5262,0.35,0.0
17,Code,nsiac,0.80215,0.02,0.3713,0.669,0.82,0.82,5.5,0.6658,0.1011,0.0463,1.785,5.1e-05,1640.69,0.208788,0.922603,0.112375,0.0,12.983758926391602,False,0.7324,0.2444,0.0041,0.0191,0.5312,0.3713,0.0
18,Code,nsiac,0.6928,0.01125,0.3575,0.6488,0.8,0.8,5.22,0.6525,0.1019,0.0468,1.765,5.3e-05,1640.69,0.209426,0.927735,0.112406,0.0,13.1063232421875,False,0.7577,0.1152,0.0627,0.0645,0.5225,0.3575,0.0
19,Code,nsiac,0.73392,0.00125,0.3675,0.6418,0.76,0.76,5.28,0.6486,0.0964,0.0495,1.8199,5.5e-05,1640.69,0.210109,0.933223,0.11244,0.0,13.148812294006348,False,0.815,0.0549,0.0613,0.0688,0.5125,0.3675,0.0
20,Code,nsiac,0.7709,0.00375,0.365,0.6808,0.82,0.82,5.4,0.6711,0.1046,0.0499,1.815,5.7e-05,1640.691,0.21087,0.939415,0.112467,0.0,13.05046558380127,False,0.7591,0.0782,0.1224,0.0404,0.515,0.365,0.0
21,MedicalMC,nsiac,0.69283,-0.0125,0.3025,0.7128,1.0,1.0,4.84,0.7988,0.0614,0.0707,2.5577,5.8e-05,1640.691,0.211595,0.945187,0.11251,0.0,13.767187118530273,False,0.7986,0.1117,0.0486,0.0411,0.505,0.3463,0.3025
22,MedicalMC,nsiac,0.94265,-0.0075,0.3187,0.6597,0.86,0.86,5.1,0.7581,0.0639,0.111,2.2899,5.9e-05,1640.69,0.211859,0.947294,0.112526,0.0,13.332703590393066,False,0.9522,0.0081,0.0114,0.0283,0.505,0.3563,0.3187
23,MedicalMC,nsiac,0.73676,-0.02375,0.2925,0.6612,1.0,1.0,4.58,0.7731,0.0605,0.0812,2.2269,6e-05,1640.69,0.212399,0.951637,0.112552,0.0,13.465897560119629,False,0.8395,0.0662,0.0661,0.0282,0.4738,0.355,0.2925
24,MedicalMC,nsiac,1.09527,-0.00937,0.3412,0.7375,0.96,0.96,5.16,0.7826,0.1449,0.0225,2.1527,6.3e-05,1640.691,0.212948,0.95608,0.112576,0.0,13.085432052612305,False,0.8822,0.0625,0.0409,0.0144,0.49,0.3675,0.3412
