cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.67524,0.0,0.3488,0.6852,0.88,0.88,5.56,0.6347,0.0694,0.0534,1.8322,1.4e-05,1640.691,0.098438,0.805901,0.002883,0.0,14.080920219421387,False,0.25,0.25,0.25,0.25,0.3488,0.0,0.0
2,GSM8K,nsiac,0.39467,0.0,0.4763,0.7691,0.9,0.9,7.58,0.5155,0.0891,0.08,1.4408,1.9e-05,1640.691,0.096887,0.793339,0.002819,0.0,13.49050235748291,False,0.25,0.25,0.25,0.25,0.4763,0.0,0.0
3,GSM8K,nsiac,0.25852,0.0,0.4913,0.7921,0.92,0.92,7.66,0.4738,0.0937,0.0809,1.4233,2.2e-05,1640.691,0.108976,0.892562,0.003139,0.0,14.041683197021484,False,0.6062,0.173,0.0139,0.2068,0.4913,0.0,0.0
4,GSM8K,nsiac,0.30135,0.0,0.5525,0.8019,0.94,0.94,8.6,0.4315,0.0994,0.081,1.206,2.5e-05,1640.691,0.110657,0.906017,0.00323,0.0,13.743223190307617,False,0.6128,0.1706,0.0136,0.203,0.5525,0.0,0.0
5,GSM8K,nsiac,0.2099,0.0,0.5262,0.7763,0.9,0.9,8.28,0.4448,0.1059,0.0889,1.2321,3e-05,1640.691,0.111595,0.913577,0.003273,0.0,14.0031099319458,False,0.2709,0.1168,0.3124,0.2999,0.5262,0.0,0.0
6,GSM8K,nsiac,0.26049,0.0,0.53,0.7972,0.92,0.92,8.34,0.4507,0.1195,0.0822,1.2764,3.5e-05,1640.691,0.208437,0.918503,0.112531,0.0,13.93404483795166,False,0.2302,0.169,0.3854,0.2154,0.53,0.0,0.0
7,GSM8K,nsiac,0.32428,0.0,0.6038,0.8204,0.94,0.94,9.12,0.3803,0.1253,0.0841,1.0284,3.7e-05,1640.691,0.209241,0.924986,0.112568,0.0,13.567290306091309,False,0.6446,0.2293,0.0585,0.0676,0.6038,0.0,0.0
8,GSM8K,nsiac,0.24809,0.0,0.5887,0.8098,0.88,0.88,9.04,0.4389,0.1289,0.073,1.1365,3.9e-05,1640.691,0.20949,0.927021,0.112575,0.0,13.534942626953125,False,0.2552,0.4331,0.1746,0.1372,0.5887,0.0,0.0
9,GSM8K,nsiac,0.2559,0.0,0.605,0.8409,0.94,0.94,9.22,0.3733,0.1426,0.0686,1.0588,4.2e-05,1640.691,0.209746,0.929045,0.112592,0.0,13.540523529052734,False,0.7183,0.2269,0.009,0.0459,0.605,0.0,0.0
10,GSM8K,nsiac,0.23618,0.0,0.5925,0.8108,0.92,0.92,8.96,0.3893,0.1374,0.0663,1.0829,4.4e-05,1640.691,0.210384,0.934166,0.112625,0.0,13.771671295166016,False,0.7022,0.1821,0.0237,0.0921,0.5925,0.0,0.0
11,Code,nsiac,0.17563,0.0125,0.3825,0.6951,0.86,0.86,5.5,0.6473,0.092,0.0563,1.8294,4.8e-05,1640.691,0.211018,0.939306,0.11265,0.0,13.061248779296875,False,0.6659,0.1681,0.0384,0.1275,0.605,0.3825,0.0
12,Code,nsiac,0.64966,0.05125,0.345,0.6481,0.8,0.8,4.9,0.6575,0.0931,0.0538,1.8222,5.1e-05,1640.691,0.211248,0.941141,0.112663,0.0,12.966552734375,False,0.8615,0.0737,0.0153,0.0496,0.6438,0.345,0.0
13,Code,nsiac,0.88633,0.08625,0.35,0.653,0.88,0.88,5.14,0.6452,0.0965,0.0503,1.68,5.4e-05,1640.691,0.211479,0.943009,0.112673,0.0,13.269682884216309,False,0.6355,0.2392,0.0851,0.0401,0.6787,0.35,0.0
14,Code,nsiac,0.73433,0.0375,0.3613,0.6374,0.76,0.76,5.18,0.6441,0.1008,0.0525,1.7484,5.7e-05,1640.691,0.211639,0.944265,0.112685,0.0,13.667665481567383,False,0.7258,0.1678,0.0694,0.037,0.63,0.3613,0.0
15,Code,nsiac,0.76901,0.04625,0.3463,0.6686,0.82,0.82,5.08,0.6622,0.0955,0.0509,1.7827,6e-05,1640.691,0.211741,0.945066,0.112693,0.0,12.959234237670898,False,0.777,0.2085,0.0051,0.0095,0.6388,0.3463,0.0
16,Code,nsiac,0.86839,0.05,0.3538,0.6588,0.82,0.82,5.02,0.6583,0.0969,0.0522,1.7983,6.2e-05,1640.691,0.211843,0.945859,0.112701,0.0,13.054019927978516,False,0.557,0.3971,0.0243,0.0217,0.6425,0.3538,0.0
17,Code,nsiac,0.89741,0.06,0.3425,0.6383,0.76,0.76,4.98,0.6418,0.0956,0.0602,1.7742,6.4e-05,1640.691,0.211936,0.946609,0.112706,0.0,13.108436584472656,False,0.5537,0.4297,0.0025,0.014,0.6525,0.3425,0.0
18,Code,nsiac,0.96388,0.0625,0.3362,0.6525,0.78,0.78,4.96,0.6372,0.0923,0.0587,1.7207,6.5e-05,1640.691,0.212007,0.94716,0.112712,0.0,13.054105758666992,False,0.0482,0.8914,0.0123,0.0481,0.655,0.3362,0.0
19,Code,nsiac,0.96788,0.055,0.325,0.6272,0.8,0.8,4.66,0.6451,0.0904,0.0558,1.7855,6.7e-05,1640.691,0.212088,0.947808,0.112716,0.0,13.104515075683594,False,0.042,0.855,0.0802,0.0228,0.6475,0.325,0.0
