cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,sft_star,0.5578,0.0,0.3738,0.69,0.88,0.88,5.64,0.3816,0.1265,0.1427,1.545,2.8e-05,1640.691,0.105878,0.866974,0.003078,0.0,14.535179138183594,False,0.25,0.25,0.25,0.25,0.3738,0.0,0.0
2,GSM8K,sft_star,0.19574,0.0,0.4288,0.6757,0.86,0.86,5.6,0.3114,0.1323,0.168,1.3815,3.6e-05,1640.691,0.105345,0.862439,0.003086,0.0,14.409585952758789,False,0.25,0.25,0.25,0.25,0.4288,0.0,0.0
3,GSM8K,sft_star,0.14725,0.0,0.4363,0.6972,0.86,0.86,5.86,0.3056,0.1331,0.1678,1.3436,4.4e-05,1640.691,0.106473,0.871355,0.003163,0.0,14.509024620056152,False,0.25,0.25,0.25,0.25,0.4363,0.0,0.0
4,GSM8K,sft_star,0.19418,0.0,0.47,0.7395,0.88,0.88,6.26,0.3084,0.115,0.1698,1.352,5e-05,1640.691,0.107092,0.876215,0.003209,0.0,14.47374153137207,False,0.25,0.25,0.25,0.25,0.47,0.0,0.0
5,GSM8K,sft_star,0.12375,0.0,0.4537,0.7046,0.84,0.84,5.5,0.2925,0.1336,0.1568,1.2996,5.6e-05,1640.691,0.107609,0.88023,0.003253,0.0,14.43438720703125,False,0.25,0.25,0.25,0.25,0.4537,0.0,0.0
6,GSM8K,sft_star,0.15663,0.0,0.4575,0.7317,0.88,0.88,5.78,0.2878,0.1267,0.1468,1.2501,6.1e-05,1640.691,0.108051,0.88373,0.003282,0.0,14.571465492248535,False,0.25,0.25,0.25,0.25,0.4575,0.0,0.0
7,GSM8K,sft_star,0.17832,0.0,0.4813,0.7207,0.86,0.86,5.42,0.2691,0.1324,0.1487,1.2323,6.6e-05,1640.691,0.108316,0.885807,0.003302,0.0,14.285527229309082,False,0.25,0.25,0.25,0.25,0.4813,0.0,0.0
8,GSM8K,sft_star,0.21786,0.0,0.52,0.7748,0.9,0.9,6.12,0.2803,0.1351,0.1361,1.1922,7.1e-05,1640.691,0.108602,0.888101,0.003317,0.0,14.568624496459961,False,0.25,0.25,0.25,0.25,0.52,0.0,0.0
9,GSM8K,sft_star,0.21163,0.0,0.5463,0.7804,0.94,0.94,6.56,0.2765,0.1223,0.1177,1.08,7.6e-05,1640.691,0.108908,0.89055,0.003334,0.0,14.516986846923828,False,0.25,0.25,0.25,0.25,0.5463,0.0,0.0
10,GSM8K,sft_star,0.08601,0.0,0.4988,0.7219,0.84,0.84,5.32,0.2648,0.1306,0.146,1.1477,8.1e-05,1640.691,0.10915,0.892468,0.003349,0.0,14.020814895629883,False,0.25,0.25,0.25,0.25,0.4988,0.0,0.0
11,Code,sft_star,0.31778,0.03625,0.32,0.6123,0.78,0.78,4.66,0.6367,0.0913,0.0592,1.8293,8.8e-05,1640.691,0.110854,0.906313,0.003414,0.0,12.676630020141602,False,0.25,0.25,0.25,0.25,0.535,0.32,0.0
12,Code,sft_star,0.58184,-0.005,0.3725,0.6731,0.82,0.82,5.32,0.6282,0.1011,0.0541,1.8342,9.5e-05,1640.691,0.111253,0.909479,0.003439,0.0,12.910600662231445,False,0.25,0.25,0.25,0.25,0.4938,0.3725,0.0
13,Code,sft_star,0.34435,-0.02125,0.3312,0.6322,0.84,0.84,4.76,0.626,0.1033,0.0647,1.7638,0.000102,1640.691,0.111928,0.914924,0.003469,0.0,12.95280933380127,False,0.25,0.25,0.25,0.25,0.4775,0.3312,0.0
14,Code,sft_star,0.46175,-0.03,0.37,0.6554,0.8,0.8,5.26,0.6099,0.1078,0.0645,1.784,0.000108,1640.691,0.112415,0.918829,0.003494,0.0,13.423213958740234,False,0.25,0.25,0.25,0.25,0.4688,0.37,0.0
15,Code,sft_star,0.7398,0.04875,0.36,0.6405,0.8,0.8,5.02,0.608,0.0965,0.0599,1.7834,0.000114,1640.691,0.112837,0.922224,0.003516,0.0,13.061366081237793,False,0.25,0.25,0.25,0.25,0.5475,0.36,0.0
16,Code,sft_star,0.70402,0.02375,0.3688,0.6566,0.82,0.82,5.26,0.6108,0.093,0.0607,1.6829,0.00012,1640.691,0.11297,0.923268,0.003526,0.0,12.642309188842773,False,0.25,0.25,0.25,0.25,0.5225,0.3688,0.0
17,Code,sft_star,0.44402,-0.02875,0.3713,0.6649,0.82,0.82,5.06,0.6043,0.0907,0.0619,1.766,0.000126,1640.692,0.113256,0.925565,0.00354,0.0,12.738495826721191,False,0.25,0.25,0.25,0.25,0.47,0.3713,0.0
18,Code,sft_star,0.44094,-0.01,0.3212,0.6506,0.84,0.84,4.76,0.6083,0.0891,0.0667,1.8382,0.000131,1640.692,0.113409,0.926776,0.003549,0.0,12.307162284851074,False,0.25,0.25,0.25,0.25,0.4888,0.3212,0.0
19,Code,sft_star,0.73213,0.02375,0.3063,0.5952,0.78,0.78,4.46,0.6055,0.1003,0.0662,1.8331,0.000136,1640.692,0.113534,0.927753,0.003559,0.0,12.721023559570312,False,0.25,0.25,0.25,0.25,0.5225,0.3063,0.0
20,Code,sft_star,0.6882,-0.0025,0.3137,0.6183,0.8,0.8,4.6,0.6143,0.1018,0.0636,1.7599,0.000141,1640.692,0.113639,0.928596,0.003566,0.0,13.062832832336426,False,0.25,0.25,0.25,0.25,0.4963,0.3137,0.0
21,MedicalMC,sft_star,0.65263,0.01063,0.2687,0.6581,0.92,0.92,4.26,0.6006,0.0621,0.1915,2.386,0.000146,1640.692,0.114657,0.936877,0.003602,0.0,13.815083503723145,False,0.25,0.25,0.25,0.25,0.5138,0.32,0.2687
22,MedicalMC,sft_star,0.74235,-0.005,0.305,0.6782,0.96,0.96,4.84,0.5377,0.0775,0.204,2.4336,0.000151,1640.692,0.114885,0.938718,0.003612,0.0,13.306753158569336,False,0.25,0.25,0.25,0.25,0.4975,0.305,0.305
23,MedicalMC,sft_star,0.57071,-0.0125,0.335,0.6697,0.94,0.94,5.1,0.4438,0.0749,0.3068,2.2283,0.000155,1640.692,0.115156,0.940877,0.003628,0.0,13.440042495727539,False,0.25,0.25,0.25,0.25,0.505,0.2825,0.335
24,MedicalMC,sft_star,0.5052,0.02437,0.2762,0.6516,1.0,1.0,4.3,0.4123,0.0947,0.3457,1.9647,0.000159,1640.692,0.115279,0.94186,0.003635,0.0,13.0668363571167,False,0.25,0.25,0.25,0.25,0.5537,0.3075,0.2762
