cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,sft_star,0.56313,0.0,0.3812,0.6796,0.8,0.8,5.78,0.376,0.1245,0.1468,1.5674,2.8e-05,1640.691,0.10588,0.866998,0.003078,0.0,14.527419090270996,False,0.25,0.25,0.25,0.25,0.3812,0.0,0.0
2,GSM8K,sft_star,0.15664,0.0,0.3875,0.6917,0.86,0.86,5.5,0.3398,0.1356,0.1761,1.5958,3.7e-05,1640.691,0.105328,0.862273,0.003089,0.0,14.359212875366211,False,0.25,0.25,0.25,0.25,0.3875,0.0,0.0
3,GSM8K,sft_star,0.18199,0.0,0.4175,0.6881,0.8,0.8,5.82,0.3143,0.1202,0.1816,1.4365,4.4e-05,1640.691,0.106416,0.870866,0.003164,0.0,14.505703926086426,False,0.25,0.25,0.25,0.25,0.4175,0.0,0.0
4,GSM8K,sft_star,0.16438,0.0,0.44,0.7328,0.9,0.9,5.98,0.2877,0.1262,0.1692,1.437,5e-05,1640.691,0.107067,0.875994,0.00321,0.0,14.44051456451416,False,0.25,0.25,0.25,0.25,0.44,0.0,0.0
5,GSM8K,sft_star,0.15301,0.0,0.4587,0.7354,0.84,0.84,6.14,0.269,0.1363,0.1632,1.2819,5.6e-05,1640.691,0.107509,0.87947,0.003242,0.0,14.559967994689941,False,0.25,0.25,0.25,0.25,0.4587,0.0,0.0
6,GSM8K,sft_star,0.11963,0.0,0.455,0.7059,0.84,0.84,5.52,0.2559,0.1425,0.1621,1.3061,6.1e-05,1640.691,0.107891,0.882492,0.003268,0.0,14.472899436950684,False,0.25,0.25,0.25,0.25,0.455,0.0,0.0
7,GSM8K,sft_star,0.14974,0.0,0.4788,0.7198,0.88,0.88,5.4,0.2406,0.1564,0.1744,1.1834,6.6e-05,1640.691,0.108192,0.884861,0.003289,0.0,14.520750045776367,False,0.25,0.25,0.25,0.25,0.4788,0.0,0.0
8,GSM8K,sft_star,0.10842,0.0,0.4587,0.7059,0.86,0.86,4.88,0.2551,0.1406,0.1758,1.2807,7.1e-05,1640.691,0.10847,0.887081,0.003305,0.0,14.550719261169434,False,0.25,0.25,0.25,0.25,0.4587,0.0,0.0
9,GSM8K,sft_star,0.16023,0.0,0.4713,0.7014,0.86,0.86,5.28,0.2488,0.1426,0.1772,1.2426,7.6e-05,1640.691,0.108732,0.889184,0.003319,0.0,14.31076717376709,False,0.25,0.25,0.25,0.25,0.4713,0.0,0.0
10,GSM8K,sft_star,0.17232,0.0,0.4925,0.7329,0.9,0.9,5.46,0.2388,0.1495,0.1774,1.2197,8e-05,1640.691,0.108935,0.890714,0.003342,0.0,14.451208114624023,False,0.25,0.25,0.25,0.25,0.4925,0.0,0.0
11,Code,sft_star,0.10569,-0.03875,0.3588,0.6549,0.84,0.84,5.28,0.6328,0.0927,0.0576,1.7658,8.8e-05,1640.691,0.110737,0.905387,0.003406,0.0,12.68741226196289,False,0.25,0.25,0.25,0.25,0.4537,0.3588,0.0
