cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.7856,0.0,0.5062,0.796,0.92,0.92,8.06,0.565,0.132,0.07,1.4173,1.5e-05,1552.422,0.143088,0.779966,0.003554,0.0,14.388657569885254,False,0.25,0.25,0.25,0.25,0.5062,0.0,0.0
2,GSM8K,nsiac,0.29005,0.0,0.5262,0.8356,0.94,0.94,8.38,0.557,0.1239,0.0659,1.3836,2.1e-05,1552.422,0.142887,0.77916,0.003487,0.0,14.315332412719727,False,0.25,0.25,0.25,0.25,0.5262,0.0,0.0
3,GSM8K,nsiac,0.32601,0.0,0.6025,0.832,0.96,0.96,9.46,0.4965,0.1537,0.0535,1.1097,2.4e-05,1552.422,0.152494,0.8313,0.003775,0.0,14.481460571289062,False,0.6142,0.1704,0.0135,0.2019,0.6025,0.0,0.0
4,GSM8K,nsiac,0.24464,0.0,0.61,0.8511,0.98,0.98,9.64,0.4723,0.1524,0.0545,1.091,2.6e-05,1552.422,0.153268,0.835443,0.003811,0.0,13.966493606567383,False,0.6088,0.1737,0.0138,0.2037,0.61,0.0,0.0
5,GSM8K,nsiac,0.24858,0.0,0.5925,0.8408,0.94,0.94,9.4,0.4998,0.1295,0.0664,1.1874,3.1e-05,1552.422,0.155592,0.848049,0.003881,0.0,14.421652793884277,False,0.2742,0.1155,0.3119,0.2984,0.5925,0.0,0.0
6,GSM8K,nsiac,0.31438,0.0,0.6212,0.831,0.9,0.9,9.8,0.4791,0.1148,0.0735,1.0338,3.6e-05,1552.422,0.250488,0.854484,0.118158,0.0,14.335614204406738,False,0.2254,0.1746,0.3874,0.2126,0.6212,0.0,0.0
7,GSM8K,nsiac,0.32167,0.0,0.6787,0.8984,1.0,1.0,10.44,0.4123,0.1272,0.0779,0.8997,3.9e-05,1552.422,0.252355,0.864548,0.11823,0.0,14.075224876403809,False,0.6232,0.2446,0.0612,0.071,0.6787,0.0,0.0
8,GSM8K,nsiac,0.21838,0.0,0.6112,0.8363,0.94,0.94,9.74,0.4982,0.1096,0.0781,1.0937,4.1e-05,1552.422,0.252771,0.866795,0.118244,0.0,13.565336227416992,False,0.1879,0.4892,0.1816,0.1413,0.6112,0.0,0.0
9,GSM8K,nsiac,0.26949,0.0,0.5613,0.81,0.9,0.9,8.98,0.5181,0.1138,0.0771,1.1956,4.2e-05,1552.422,0.253201,0.869118,0.11826,0.0,14.551087379455566,False,0.0297,0.2832,0.1284,0.5587,0.5613,0.0,0.0
10,GSM8K,nsiac,0.3909,0.0,0.59,0.8327,0.94,0.94,9.4,0.4853,0.1062,0.0889,1.1209,4.4e-05,1552.421,0.253672,0.871673,0.118274,0.0,14.034674644470215,False,0.3511,0.3356,0.0701,0.2432,0.59,0.0,0.0
11,Code,nsiac,0.18636,0.0625,0.3013,0.5978,0.82,0.82,4.44,0.6012,0.0841,0.083,1.7576,4.8e-05,1552.422,0.2634,0.925426,0.118356,0.0,12.986167907714844,False,0.6674,0.2251,0.0592,0.0483,0.6525,0.3013,0.0
12,Code,nsiac,0.79786,0.07125,0.3212,0.61,0.82,0.82,4.7,0.6166,0.0898,0.0679,1.7892,5.2e-05,1552.422,0.26379,0.927524,0.118373,0.0,12.70982551574707,False,0.8702,0.0256,0.0247,0.0795,0.6613,0.3212,0.0
13,Code,nsiac,0.66635,0.0325,0.3362,0.6595,0.92,0.92,4.96,0.6105,0.0933,0.0738,1.7402,5.6e-05,1552.422,0.264504,0.931335,0.118408,0.0,12.97164249420166,False,0.6655,0.1436,0.1298,0.0611,0.6225,0.3362,0.0
14,Code,nsiac,0.82661,0.07875,0.3187,0.6188,0.82,0.82,4.9,0.6131,0.0957,0.0707,1.7859,5.9e-05,1552.422,0.264717,0.932465,0.11842,0.0,13.498713493347168,False,0.8002,0.1131,0.0589,0.0278,0.6687,0.3187,0.0
15,Code,nsiac,0.8443,0.0575,0.3337,0.6582,0.86,0.86,4.94,0.6123,0.0921,0.0766,1.8016,6.2e-05,1552.422,0.264854,0.933176,0.118431,0.0,12.800494194030762,False,0.9318,0.0112,0.0195,0.0374,0.6475,0.3337,0.0
16,Code,nsiac,0.90658,0.08375,0.31,0.642,0.9,0.9,4.6,0.5952,0.0858,0.0758,1.7383,6.4e-05,1552.422,0.265431,0.936241,0.118463,0.0,13.121200561523438,False,0.9222,0.0412,0.0354,0.0011,0.6737,0.31,0.0
17,Code,nsiac,1.03161,0.07375,0.34,0.6404,0.86,0.86,4.88,0.598,0.0907,0.0723,1.7155,6.8e-05,1552.422,0.265974,0.939139,0.11849,0.0,12.752918243408203,False,0.7425,0.0387,0.1987,0.0201,0.6637,0.34,0.0
18,Code,nsiac,1.08204,0.0975,0.3287,0.6388,0.88,0.88,4.92,0.5789,0.091,0.0821,1.8005,7.1e-05,1552.422,0.266108,0.939838,0.118501,0.0,12.711134910583496,False,0.8017,0.055,0.0836,0.0597,0.6875,0.3287,0.0
19,Code,nsiac,1.05276,0.085,0.3063,0.6067,0.86,0.86,4.58,0.5854,0.0842,0.0825,1.8023,7.3e-05,1552.422,0.266219,0.94042,0.118508,0.0,12.702607154846191,False,0.8275,0.1138,0.0322,0.0265,0.675,0.3063,0.0
20,Code,nsiac,1.2016,0.075,0.335,0.6288,0.84,0.84,5.04,0.5994,0.0976,0.0715,1.8217,7.5e-05,1552.422,0.266275,0.94071,0.118513,0.0,12.946717262268066,False,0.8926,0.0435,0.0551,0.0088,0.665,0.335,0.0
21,MedicalMC,nsiac,1.21998,0.04313,0.3887,0.7318,0.96,0.96,3.9,0.7359,0.2405,0.0174,1.1544,7.8e-05,1552.422,0.269093,0.956276,0.118539,0.0,14.040183067321777,False,0.9015,0.0496,0.0268,0.022,0.6913,0.32,0.3887
22,MedicalMC,nsiac,1.14028,0.04188,0.3825,0.7286,0.92,0.92,5.9,0.6949,0.0777,0.0334,1.4662,8e-05,1552.422,0.269247,0.957096,0.118547,0.0,13.575770378112793,False,0.9367,0.0107,0.0124,0.0402,0.685,0.3237,0.3825
23,MedicalMC,nsiac,1.50438,0.0475,0.5,0.8032,0.92,0.92,6.28,0.6607,0.1921,0.0563,0.9913,8.3e-05,1552.422,0.269637,0.959189,0.118563,0.0,13.762986183166504,False,0.807,0.0811,0.0761,0.0359,0.6975,0.3225,0.5
24,MedicalMC,nsiac,0.87212,0.03688,0.3875,0.7659,0.96,0.96,6.02,0.7014,0.0709,0.0357,1.4826,8.6e-05,1552.422,0.269834,0.96024,0.118572,0.0,13.301530838012695,False,0.8633,0.0768,0.0407,0.0192,0.6813,0.3175,0.3875
25,MedicalMC,nsiac,1.47616,0.03438,0.4213,0.727,0.9,0.9,4.18,0.7549,0.0844,0.0147,1.0208,8.8e-05,1552.422,0.269928,0.960729,0.11858,0.0,13.9053373336792,False,0.9569,0.0067,0.0125,0.0239,0.67,0.3237,0.4213
26,MedicalMC,nsiac,1.59425,0.05125,0.4387,0.694,0.84,0.84,3.06,0.7637,0.1298,0.0126,0.7955,9e-05,1552.422,0.270015,0.961171,0.11859,0.0,13.884162902832031,False,0.9465,0.0279,0.0248,0.0008,0.6913,0.3362,0.4387
