cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,sft_star,0.68904,0.0,0.4637,0.7527,0.88,0.88,7.42,0.4506,0.1129,0.1256,1.4641,2.8e-05,1552.422,0.163074,0.890294,0.003747,0.0,14.613730430603027,False,0.25,0.25,0.25,0.25,0.4637,0.0,0.0
2,GSM8K,sft_star,0.25196,0.0,0.5125,0.7898,0.92,0.92,8.1,0.4248,0.1245,0.1272,1.3356,3.8e-05,1552.422,0.163646,0.89318,0.003812,0.0,14.546341896057129,False,0.25,0.25,0.25,0.25,0.5125,0.0,0.0
3,GSM8K,sft_star,0.28985,0.0,0.5913,0.7975,0.88,0.88,9.08,0.4055,0.1187,0.1161,1.0979,4.6e-05,1552.422,0.165492,0.902962,0.00392,0.0,14.57619857788086,False,0.25,0.25,0.25,0.25,0.5913,0.0,0.0
4,GSM8K,sft_star,0.24198,0.0,0.6362,0.8515,0.92,0.92,9.36,0.3712,0.1222,0.1228,1.0133,5.3e-05,1552.422,0.166425,0.907869,0.003982,0.0,14.59444808959961,False,0.25,0.25,0.25,0.25,0.6362,0.0,0.0
5,GSM8K,sft_star,-0.00538,0.0,0.5125,0.8112,0.94,0.94,7.54,0.3055,0.128,0.2715,1.3297,5.9e-05,1552.422,0.167059,0.911122,0.004042,0.0,14.658533096313477,False,0.25,0.25,0.25,0.25,0.5125,0.0,0.0
6,GSM8K,sft_star,0.0533,0.0,0.4512,0.7972,0.94,0.94,6.26,0.2682,0.1298,0.3271,1.4078,6.5e-05,1552.423,0.167552,0.913731,0.004072,0.0,14.632857322692871,False,0.25,0.25,0.25,0.25,0.4512,0.0,0.0
7,GSM8K,sft_star,0.17566,0.0,0.4825,0.8232,0.94,0.94,6.7,0.261,0.1501,0.31,1.3809,7e-05,1552.423,0.167986,0.916013,0.004101,0.0,14.528450965881348,False,0.25,0.25,0.25,0.25,0.4825,0.0,0.0
8,GSM8K,sft_star,0.09376,0.0,0.4713,0.7927,0.94,0.94,5.66,0.2377,0.1777,0.2827,1.3641,7.4e-05,1552.423,0.168301,0.917659,0.004124,0.0,14.61426067352295,False,0.25,0.25,0.25,0.25,0.4713,0.0,0.0
9,GSM8K,sft_star,0.06404,0.0,0.4437,0.7609,0.88,0.88,5.22,0.2218,0.169,0.2894,1.4416,7.8e-05,1552.423,0.168526,0.918834,0.004141,0.0,14.633402824401855,False,0.25,0.25,0.25,0.25,0.4437,0.0,0.0
10,GSM8K,sft_star,0.14008,0.0,0.4675,0.7662,0.9,0.9,5.08,0.2074,0.1714,0.2898,1.3057,8.3e-05,1552.423,0.16872,0.919847,0.004155,0.0,14.648037910461426,False,0.25,0.25,0.25,0.25,0.4675,0.0,0.0
11,Code,sft_star,0.09503,-0.00875,0.2875,0.6141,0.82,0.82,4.28,0.5717,0.0984,0.095,1.8007,9e-05,1552.423,0.171905,0.937287,0.004218,0.0,12.737408638000488,False,0.25,0.25,0.25,0.25,0.4587,0.2875,0.0
12,Code,sft_star,0.48077,0.03,0.2537,0.5666,0.8,0.8,3.8,0.5295,0.0869,0.1301,1.8311,9.6e-05,1552.424,0.172434,0.940093,0.004248,0.0,13.246894836425781,False,0.25,0.25,0.25,0.25,0.4975,0.2537,0.0
13,Code,sft_star,0.38368,0.00375,0.2137,0.5054,0.78,0.78,3.16,0.526,0.0822,0.1264,1.76,0.000104,1552.424,0.173179,0.944104,0.004277,0.0,13.16222095489502,False,0.25,0.25,0.25,0.25,0.4713,0.2137,0.0
14,Code,sft_star,0.32875,-0.02625,0.2213,0.5099,0.78,0.78,3.3,0.5017,0.0965,0.1419,1.7712,0.000111,1552.424,0.173647,0.946576,0.004306,0.0,13.492310523986816,False,0.25,0.25,0.25,0.25,0.4412,0.2213,0.0
15,Code,sft_star,0.34984,-0.0175,0.2037,0.4705,0.74,0.74,3.02,0.5156,0.0889,0.1419,1.7857,0.000117,1552.424,0.174032,0.948631,0.004325,0.0,13.169050216674805,False,0.25,0.25,0.25,0.25,0.45,0.2037,0.0
16,Code,sft_star,0.48375,-0.0075,0.2213,0.5111,0.82,0.82,3.32,0.503,0.0883,0.1357,1.6682,0.000122,1552.425,0.174207,0.949546,0.004338,0.0,13.144044876098633,False,0.25,0.25,0.25,0.25,0.46,0.2213,0.0
17,Code,sft_star,0.39977,-0.025,0.2313,0.5374,0.78,0.78,3.26,0.5053,0.0832,0.131,1.7487,0.000128,1552.425,0.174467,0.950926,0.004353,0.0,12.754408836364746,False,0.25,0.25,0.25,0.25,0.4425,0.2313,0.0
18,Code,sft_star,0.43001,-0.02,0.2375,0.5304,0.76,0.76,3.44,0.4996,0.0855,0.1319,1.7074,0.000133,1552.425,0.174586,0.951536,0.004364,0.0,12.812423706054688,False,0.25,0.25,0.25,0.25,0.4475,0.2375,0.0
19,Code,sft_star,0.27104,-0.03375,0.21,0.4579,0.74,0.74,2.86,0.4883,0.0779,0.1398,1.7174,0.000138,1552.425,0.174752,0.952419,0.004372,0.0,13.337943077087402,False,0.25,0.25,0.25,0.25,0.4338,0.21,0.0
20,Code,sft_star,0.52526,-0.01,0.2125,0.5032,0.8,0.8,3.14,0.5019,0.0908,0.1303,1.7785,0.000143,1552.426,0.174878,0.953086,0.00438,0.0,13.072600364685059,False,0.25,0.25,0.25,0.25,0.4575,0.2125,0.0
21,MedicalMC,sft_star,0.99636,-0.02625,0.3713,0.7053,0.92,0.92,5.04,0.5929,0.1021,0.0822,1.4765,0.000148,1552.426,0.175887,0.958543,0.004414,0.0,14.03850269317627,False,0.25,0.25,0.25,0.25,0.4525,0.175,0.3713
22,MedicalMC,sft_star,0.23949,-0.0325,0.36,0.7072,0.94,0.94,5.64,0.4222,0.1084,0.2403,1.4434,0.000152,1552.426,0.176161,0.960021,0.004425,0.0,13.69281005859375,False,0.25,0.25,0.25,0.25,0.4475,0.1675,0.36
23,MedicalMC,sft_star,0.49475,0.00063,0.3713,0.7293,0.94,0.94,5.78,0.3717,0.1149,0.2889,1.3907,0.000157,1552.427,0.176378,0.961172,0.004437,0.0,13.740187644958496,False,0.25,0.25,0.25,0.25,0.4525,0.2288,0.3713
24,MedicalMC,sft_star,-0.07576,-0.04938,0.3613,0.7101,0.96,0.96,5.3,0.2948,0.1249,0.4214,1.4641,0.000161,1552.427,0.176567,0.962172,0.004449,0.0,13.30344009399414,False,0.25,0.25,0.25,0.25,0.42,0.1613,0.3613
25,MedicalMC,sft_star,0.30356,-0.03,0.4275,0.7552,0.94,0.94,6.08,0.2656,0.1303,0.4235,1.2241,0.000165,1552.427,0.176716,0.962969,0.004456,0.0,13.784886360168457,False,0.25,0.25,0.25,0.25,0.4713,0.1487,0.4275
26,MedicalMC,sft_star,-0.13539,-0.04938,0.42,0.7125,0.86,0.86,5.8,0.2628,0.1302,0.4094,0.9893,0.00017,1552.427,0.176839,0.96361,0.004465,0.0,13.903079986572266,False,0.25,0.25,0.25,0.25,0.4387,0.1425,0.42
27,MedicalMC,sft_star,0.10664,-0.02313,0.4125,0.7162,0.92,0.92,5.72,0.266,0.129,0.3971,0.9656,0.000174,1552.428,0.176965,0.964273,0.004473,0.0,13.964521408081055,False,0.25,0.25,0.25,0.25,0.4662,0.1675,0.4125
28,MedicalMC,sft_star,0.02219,-0.03062,0.4125,0.6905,0.9,0.9,4.6,0.2497,0.147,0.3711,0.7596,0.000178,1552.428,0.177022,0.964579,0.004476,0.0,13.867144584655762,False,0.25,0.25,0.25,0.25,0.4338,0.185,0.4125
