cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.76,0.0,0.475,0.7475,0.9,0.9,7.58,0.5551,0.0883,0.0741,1.4891,1.4e-05,1640.691,0.098684,0.807891,0.002893,0.0,14.126303672790527,False,0.25,0.25,0.25,0.25,0.475,0.0,0.0
2,GSM8K,nsiac,0.29184,0.0,0.53,0.8158,0.98,0.98,8.34,0.4739,0.0953,0.0875,1.3166,2e-05,1640.691,0.097105,0.795095,0.002829,0.0,13.387685775756836,False,0.25,0.25,0.25,0.25,0.53,0.0,0.0
3,GSM8K,nsiac,0.25519,0.0,0.5563,0.8044,0.96,0.96,8.6,0.445,0.0997,0.0841,1.1898,2.3e-05,1640.691,0.110233,0.902643,0.003205,0.0,14.12713623046875,False,0.6116,0.172,0.0136,0.2028,0.5563,0.0,0.0
4,GSM8K,nsiac,0.2411,0.0,0.57,0.8124,0.96,0.96,8.74,0.4263,0.1009,0.0804,1.1148,2.6e-05,1640.691,0.111128,0.909764,0.003258,0.0,14.155625343322754,False,0.6125,0.1719,0.0136,0.202,0.57,0.0,0.0
5,GSM8K,nsiac,0.20096,0.0,0.5337,0.7892,0.9,0.9,8.48,0.4435,0.0964,0.0936,1.2598,2.9e-05,1640.691,0.112001,0.916793,0.0033,0.0,13.682236671447754,False,0.2745,0.1151,0.3125,0.298,0.5337,0.0,0.0
6,GSM8K,nsiac,0.30284,0.0,0.56,0.8141,0.96,0.96,8.78,0.4599,0.1059,0.0878,1.1987,3.5e-05,1640.69,0.208958,0.921838,0.112671,0.0,14.117570877075195,False,0.2255,0.1746,0.3894,0.2104,0.56,0.0,0.0
7,GSM8K,nsiac,0.23948,0.0,0.5525,0.7876,0.92,0.92,8.74,0.4149,0.1051,0.1021,1.164,3.8e-05,1640.691,0.209751,0.928219,0.112709,0.0,13.583006858825684,False,0.6243,0.2459,0.062,0.0678,0.5525,0.0,0.0
8,GSM8K,nsiac,0.34113,0.0,0.5913,0.8278,0.92,0.92,9.2,0.4409,0.1018,0.0851,1.1241,4e-05,1640.691,0.209999,0.930258,0.112716,0.0,13.900583267211914,False,0.1912,0.4874,0.1881,0.1333,0.5913,0.0,0.0
9,GSM8K,nsiac,0.30526,0.0,0.615,0.8226,0.92,0.92,9.34,0.4051,0.109,0.0851,1.0351,4.1e-05,1640.691,0.210194,0.93182,0.112726,0.0,14.085735321044922,False,0.0228,0.2972,0.139,0.541,0.615,0.0,0.0
10,GSM8K,nsiac,0.28947,0.0,0.5938,0.8274,0.92,0.92,9.38,0.4554,0.1001,0.0724,1.0827,4.3e-05,1640.69,0.210332,0.932908,0.112736,0.0,13.65117073059082,False,0.0126,0.6928,0.1201,0.1745,0.5938,0.0,0.0
11,Code,nsiac,0.13445,0.0275,0.3275,0.6149,0.8,0.8,4.82,0.645,0.0889,0.0605,1.6964,4.7e-05,1640.69,0.210811,0.936812,0.112752,0.0,13.075224876403809,False,0.0795,0.7217,0.1552,0.0437,0.6212,0.3275,0.0
12,Code,nsiac,0.70989,0.0475,0.3312,0.6485,0.86,0.86,4.68,0.6539,0.0927,0.0506,1.7114,5e-05,1640.69,0.21103,0.93854,0.112768,0.0,12.905837059020996,False,0.1318,0.7656,0.0246,0.078,0.6412,0.3312,0.0
13,Code,nsiac,0.78406,0.04375,0.3663,0.6404,0.78,0.78,5.18,0.6502,0.0909,0.0546,1.7125,5.3e-05,1640.691,0.21125,0.940324,0.112776,0.0,13.209076881408691,False,0.0217,0.8526,0.0856,0.0401,0.6375,0.3663,0.0
