cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.85833,0.0,0.6062,0.8289,0.96,0.96,9.62,0.4997,0.1096,0.0627,1.0802,1.6e-05,1552.422,0.142445,0.776481,0.003534,0.0,14.559332847595215,False,0.25,0.25,0.25,0.25,0.6062,0.0,0.0
2,GSM8K,fixed_grpo,0.2164,0.0,0.5863,0.793,0.9,0.9,9.3,0.4914,0.108,0.0763,1.1072,2.3e-05,1552.422,0.143315,0.781307,0.003537,0.0,14.479022979736328,False,0.25,0.25,0.25,0.25,0.5863,0.0,0.0
3,GSM8K,fixed_grpo,0.26296,0.0,0.6512,0.8661,0.96,0.96,10.0,0.3929,0.1268,0.0732,0.9001,2.8e-05,1552.422,0.146373,0.797766,0.003659,0.0,14.507713317871094,False,0.25,0.25,0.25,0.25,0.6512,0.0,0.0
4,GSM8K,fixed_grpo,0.21047,0.0,0.6175,0.845,0.96,0.96,9.82,0.4837,0.1277,0.074,1.0637,3.2e-05,1552.422,0.148133,0.80726,0.003726,0.0,14.346206665039062,False,0.25,0.25,0.25,0.25,0.6175,0.0,0.0
5,GSM8K,fixed_grpo,0.26633,0.0,0.6325,0.8384,0.94,0.94,9.96,0.4492,0.1106,0.0761,0.9803,3.6e-05,1552.422,0.149453,0.814369,0.003777,0.0,14.271025657653809,False,0.25,0.25,0.25,0.25,0.6325,0.0,0.0
6,GSM8K,fixed_grpo,0.29445,0.0,0.63,0.8359,0.94,0.94,10.0,0.5099,0.1128,0.0638,1.0353,3.9e-05,1552.422,0.150375,0.819322,0.003815,0.0,14.430120468139648,False,0.25,0.25,0.25,0.25,0.63,0.0,0.0
7,GSM8K,fixed_grpo,0.31285,0.0,0.6288,0.8634,0.96,0.96,10.04,0.5121,0.1091,0.0741,1.0442,4.3e-05,1552.422,0.151163,0.823558,0.003848,0.0,13.590937614440918,False,0.25,0.25,0.25,0.25,0.6288,0.0,0.0
8,GSM8K,fixed_grpo,0.36126,0.0,0.67,0.8486,0.96,0.96,10.54,0.467,0.1038,0.067,0.8162,4.5e-05,1552.422,0.152264,0.829518,0.003884,0.0,14.42684555053711,False,0.25,0.25,0.25,0.25,0.67,0.0,0.0
9,GSM8K,fixed_grpo,0.27538,0.0,0.66,0.857,0.98,0.98,10.24,0.4385,0.1102,0.0466,0.8582,4.8e-05,1552.422,0.15265,0.831569,0.003905,0.0,13.776997566223145,False,0.25,0.25,0.25,0.25,0.66,0.0,0.0
10,GSM8K,fixed_grpo,0.27044,0.0,0.6025,0.8345,0.96,0.96,9.52,0.5178,0.117,0.0632,1.0838,5e-05,1552.422,0.153013,0.833507,0.003923,0.0,13.720437049865723,False,0.25,0.25,0.25,0.25,0.6025,0.0,0.0
11,Code,fixed_grpo,0.298,0.07625,0.3387,0.6745,0.92,0.92,5.12,0.6251,0.0893,0.0659,1.7927,5.6e-05,1552.422,0.165765,0.903803,0.004069,0.0,13.268439292907715,False,0.25,0.25,0.25,0.25,0.6787,0.3387,0.0
12,Code,fixed_grpo,0.74191,0.0775,0.3,0.6125,0.84,0.84,4.52,0.6506,0.0911,0.0614,1.833,6.2e-05,1552.422,0.166354,0.906939,0.0041,0.0,13.309605598449707,False,0.25,0.25,0.25,0.25,0.68,0.3,0.0
13,Code,fixed_grpo,0.89624,0.065,0.3438,0.6525,0.86,0.86,5.16,0.6608,0.0823,0.0522,1.8285,6.6e-05,1552.422,0.167403,0.91267,0.004123,0.0,12.50209903717041,False,0.25,0.25,0.25,0.25,0.6675,0.3438,0.0
14,Code,fixed_grpo,1.01108,0.11375,0.3312,0.6423,0.84,0.84,4.72,0.6441,0.0849,0.0584,1.791,7.1e-05,1552.422,0.16776,0.914538,0.004148,0.0,12.349888801574707,False,0.25,0.25,0.25,0.25,0.7163,0.3312,0.0
15,Code,fixed_grpo,0.85899,0.0525,0.3475,0.6671,0.92,0.92,5.18,0.6512,0.0856,0.0509,1.8692,7.5e-05,1552.422,0.168317,0.917571,0.004163,0.0,13.08243465423584,False,0.25,0.25,0.25,0.25,0.655,0.3475,0.0
16,Code,fixed_grpo,1.13683,0.12625,0.3125,0.6298,0.82,0.82,4.46,0.6632,0.0856,0.0539,1.843,7.8e-05,1552.422,0.168497,0.918484,0.004183,0.0,12.772393226623535,False,0.25,0.25,0.25,0.25,0.7288,0.3125,0.0
17,Code,fixed_grpo,1.20078,0.08375,0.37,0.6919,0.84,0.84,5.56,0.6623,0.0906,0.0539,1.8888,8.1e-05,1552.422,0.168624,0.919132,0.004195,0.0,13.209540367126465,False,0.25,0.25,0.25,0.25,0.6863,0.37,0.0
18,Code,fixed_grpo,1.34487,0.135,0.355,0.6779,0.86,0.86,5.44,0.6641,0.0875,0.0596,1.7777,8.4e-05,1552.422,0.168807,0.920095,0.004207,0.0,13.190861701965332,False,0.25,0.25,0.25,0.25,0.7375,0.355,0.0
19,Code,fixed_grpo,1.17326,0.0825,0.3538,0.7096,0.9,0.9,5.42,0.6688,0.0837,0.0615,1.82,8.6e-05,1552.422,0.168949,0.920853,0.004214,0.0,11.895496368408203,False,0.25,0.25,0.25,0.25,0.685,0.3538,0.0
20,Code,fixed_grpo,1.50085,0.12,0.3738,0.704,0.9,0.9,5.76,0.6732,0.0952,0.0532,1.775,8.9e-05,1552.422,0.169062,0.921442,0.004223,0.0,13.119507789611816,False,0.25,0.25,0.25,0.25,0.7225,0.3738,0.0
21,MedicalMC,fixed_grpo,1.34909,0.04937,0.4587,0.7806,0.94,0.94,4.72,0.7237,0.1726,0.0038,0.9138,9.2e-05,1552.422,0.171392,0.934218,0.004264,0.0,13.99249267578125,False,0.25,0.25,0.25,0.25,0.72,0.355,0.4587
22,MedicalMC,fixed_grpo,1.11931,0.06,0.37,0.768,0.98,0.98,5.42,0.8052,0.0699,0.018,1.069,9.7e-05,1552.422,0.171838,0.93667,0.004271,0.0,13.606245040893555,False,0.25,0.25,0.25,0.25,0.73,0.3663,0.37
23,MedicalMC,fixed_grpo,1.64771,0.09625,0.365,0.7586,0.98,0.98,5.66,0.7887,0.0763,0.0199,1.5898,0.0001,1552.422,0.172104,0.938101,0.004281,0.0,13.969413757324219,False,0.25,0.25,0.25,0.25,0.7462,0.4225,0.365
24,MedicalMC,fixed_grpo,1.7508,0.09187,0.3762,0.7092,0.94,0.94,5.02,0.8108,0.1108,0.0094,1.5491,0.000103,1552.422,0.172259,0.938912,0.004293,0.0,14.05421257019043,False,0.25,0.25,0.25,0.25,0.765,0.395,0.3762
25,MedicalMC,fixed_grpo,2.00601,0.10437,0.395,0.7736,1.0,1.0,6.24,0.825,0.048,0.0165,1.94,0.000106,1552.422,0.172389,0.939593,0.004302,0.0,13.796520233154297,False,0.25,0.25,0.25,0.25,0.7625,0.4225,0.395
26,MedicalMC,fixed_grpo,1.75448,0.08375,0.3937,0.7194,0.92,0.92,6.28,0.7578,0.0648,0.0255,1.7581,0.000108,1552.422,0.17249,0.94011,0.004313,0.0,14.033750534057617,False,0.25,0.25,0.25,0.25,0.75,0.3937,0.3937
27,MedicalMC,fixed_grpo,2.31989,0.1175,0.4387,0.7328,0.9,0.9,6.82,0.7727,0.0661,0.0144,1.5378,0.00011,1552.422,0.1726,0.940691,0.004318,0.0,13.277900695800781,False,0.25,0.25,0.25,0.25,0.7662,0.445,0.4387
28,MedicalMC,fixed_grpo,1.70718,0.08937,0.365,0.7443,1.0,1.0,5.84,0.7789,0.0695,0.0369,1.8563,0.000112,1552.422,0.172725,0.941356,0.004326,0.0,13.744081497192383,False,0.25,0.25,0.25,0.25,0.7638,0.3912,0.365
