cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.80743,0.0,0.5575,0.8266,0.94,0.94,8.82,0.4957,0.1105,0.0711,1.233,1.5e-05,1552.422,0.141192,0.76951,0.003533,0.0,14.569413185119629,False,0.25,0.25,0.25,0.25,0.5575,0.0,0.0
2,GSM8K,nsiac,0.19571,0.0,0.495,0.7942,0.96,0.96,7.92,0.5361,0.1006,0.0877,1.339,2.1e-05,1552.422,0.141985,0.774181,0.003478,0.0,14.224931716918945,False,0.25,0.25,0.25,0.25,0.495,0.0,0.0
3,GSM8K,nsiac,0.32131,0.0,0.5663,0.7991,0.92,0.92,9.06,0.4827,0.1235,0.0841,1.0512,2.4e-05,1552.422,0.151797,0.827472,0.003763,0.0,14.180744171142578,False,0.6278,0.1673,0.0184,0.1865,0.5663,0.0,0.0
4,GSM8K,nsiac,0.29518,0.0,0.6062,0.8318,0.94,0.94,9.62,0.4741,0.12,0.0757,0.9498,2.7e-05,1552.422,0.153034,0.834123,0.003814,0.0,14.272740364074707,False,0.6282,0.1664,0.018,0.1874,0.6062,0.0,0.0
5,GSM8K,nsiac,0.20557,0.0,0.5363,0.8329,0.94,0.94,8.58,0.5282,0.1092,0.0872,1.2919,3.2e-05,1552.422,0.155429,0.847109,0.003888,0.0,14.155190467834473,False,0.2711,0.1027,0.3379,0.2882,0.5363,0.0,0.0
6,GSM8K,nsiac,0.26092,0.0,0.5513,0.8125,0.94,0.94,8.52,0.4458,0.1561,0.0944,1.1945,3.8e-05,1552.422,0.25639,0.860582,0.124018,0.0,14.462334632873535,False,0.2257,0.1443,0.4318,0.1982,0.5513,0.0,0.0
7,GSM8K,nsiac,0.33764,0.0,0.6125,0.8178,0.92,0.92,9.68,0.4306,0.1324,0.113,1.0022,4e-05,1552.422,0.257387,0.865942,0.124059,0.0,14.386239051818848,False,0.6759,0.2006,0.0611,0.0624,0.6125,0.0,0.0
8,GSM8K,nsiac,0.23945,0.0,0.605,0.8019,0.86,0.86,9.52,0.4275,0.1627,0.1157,1.0249,4.3e-05,1552.422,0.257947,0.868997,0.124071,0.0,14.605141639709473,False,0.3412,0.362,0.1615,0.1354,0.605,0.0,0.0
9,GSM8K,nsiac,0.27855,0.0,0.625,0.8081,0.92,0.92,9.96,0.4082,0.1686,0.1129,0.978,4.7e-05,1552.421,0.22048,0.873719,0.077361,0.0,14.318766593933105,False,0.3533,0.2031,0.4025,0.0411,0.625,0.0,0.0
10,GSM8K,nsiac,0.23231,0.0,0.6362,0.8369,0.94,0.94,10.0,0.3566,0.1816,0.1241,0.9346,5e-05,1552.421,0.220872,0.875814,0.077381,0.0,14.1436767578125,False,0.7473,0.0766,0.1028,0.0734,0.6362,0.0,0.0
11,Code,nsiac,-0.10557,-0.00625,0.2838,0.5851,0.88,0.88,4.38,0.6723,0.0815,0.0675,1.9388,5.4e-05,1552.421,0.228879,0.920108,0.077438,0.0,13.231856346130371,False,0.829,0.1134,0.0316,0.026,0.63,0.2838,0.0
12,Code,nsiac,0.67285,0.0325,0.2875,0.6043,0.88,0.88,4.44,0.6736,0.0799,0.064,1.8392,5.9e-05,1552.422,0.229357,0.922702,0.077452,0.0,13.305628776550293,False,0.9422,0.0099,0.0113,0.0366,0.6687,0.2875,0.0
13,Code,nsiac,0.674,0.03125,0.2775,0.6054,0.82,0.82,4.2,0.677,0.0745,0.0604,1.8463,6.3e-05,1552.422,0.229821,0.925214,0.077468,0.0,12.53244400024414,False,0.8224,0.075,0.0697,0.0329,0.6675,0.2775,0.0
14,Code,nsiac,0.69334,0.0275,0.2787,0.6019,0.84,0.84,4.18,0.6644,0.0843,0.067,1.8145,6.6e-05,1552.422,0.230091,0.926656,0.07748,0.0,12.420462608337402,False,0.8848,0.0651,0.0341,0.0161,0.6637,0.2787,0.0
15,Code,nsiac,0.80018,0.05125,0.26,0.5828,0.82,0.82,4.0,0.6779,0.0806,0.0631,1.8667,6.9e-05,1552.422,0.230396,0.928317,0.077489,0.0,13.180320739746094,False,0.9594,0.0071,0.0115,0.0221,0.6875,0.26,0.0
16,Code,nsiac,0.99326,0.07125,0.28,0.5966,0.86,0.86,4.32,0.6565,0.0838,0.0706,1.8281,7.2e-05,1552.422,0.230509,0.928917,0.077495,0.0,12.739924430847168,False,0.9354,0.0435,0.0204,0.0006,0.7075,0.28,0.0
17,Code,nsiac,0.91605,0.05375,0.2725,0.5831,0.8,0.8,4.12,0.6803,0.0819,0.0598,1.858,7.4e-05,1552.422,0.230614,0.929471,0.077502,0.0,13.012300491333008,False,0.9608,0.0254,0.0021,0.0117,0.69,0.2725,0.0
18,Code,nsiac,1.03524,0.06125,0.2762,0.5969,0.86,0.86,4.18,0.6891,0.0806,0.0588,1.9152,7.8e-05,1552.422,0.230716,0.930013,0.077507,0.0,13.248539924621582,False,0.8628,0.0467,0.0528,0.0377,0.6975,0.2762,0.0
19,Code,nsiac,0.97835,0.045,0.2687,0.5872,0.86,0.86,4.12,0.6997,0.0806,0.0561,1.854,8e-05,1552.422,0.230792,0.930415,0.077511,0.0,12.271815299987793,False,0.8699,0.089,0.0226,0.0185,0.6813,0.2687,0.0
20,Code,nsiac,1.00901,0.0475,0.26,0.5903,0.88,0.88,4.0,0.6781,0.0838,0.061,1.8716,8.4e-05,1552.422,0.230883,0.930901,0.077516,0.0,13.067459106445312,False,0.9218,0.0336,0.0384,0.0062,0.6837,0.26,0.0
21,MedicalMC,nsiac,1.24066,0.03937,0.375,0.7512,0.96,0.96,4.36,0.6856,0.3059,0.0054,1.1788,8.7e-05,1552.423,0.233046,0.942409,0.077631,0.0,13.943568229675293,False,0.9333,0.0344,0.0177,0.0145,0.6925,0.2825,0.375
22,MedicalMC,nsiac,1.03993,0.03625,0.3275,0.7457,0.96,0.96,4.98,0.7611,0.0615,0.0581,1.9051,8.9e-05,1552.423,0.233278,0.943649,0.077643,0.0,13.52226734161377,False,0.9545,0.0087,0.0087,0.0282,0.6913,0.2775,0.3275
23,MedicalMC,nsiac,1.21437,0.05375,0.3225,0.7391,1.0,1.0,5.08,0.6852,0.0999,0.0827,2.0398,9.1e-05,1552.423,0.233491,0.944769,0.077657,0.0,13.91856861114502,False,0.8736,0.054,0.0492,0.0232,0.7025,0.3013,0.3225
24,MedicalMC,nsiac,1.42677,0.03188,0.3688,0.7094,0.94,0.94,4.24,0.7809,0.0897,0.019,0.9929,9.4e-05,1552.423,0.233655,0.945643,0.077665,0.0,13.914702415466309,False,0.9221,0.0445,0.0227,0.0107,0.6813,0.2787,0.3688
25,MedicalMC,nsiac,1.56365,0.04438,0.4012,0.6731,0.86,0.86,3.92,0.8125,0.1047,0.0123,0.7355,9.7e-05,1552.423,0.233747,0.946128,0.077671,0.0,13.742364883422852,False,0.9632,0.0087,0.0096,0.0184,0.685,0.3,0.4012
26,MedicalMC,nsiac,1.48624,0.04688,0.39,0.7221,0.94,0.94,4.58,0.7946,0.0679,0.0281,1.1484,0.0001,1552.423,0.233863,0.946755,0.077676,0.0,13.958569526672363,False,0.9408,0.0398,0.0188,0.0006,0.6913,0.2988,0.39
27,MedicalMC,nsiac,1.8332,0.04438,0.4587,0.7084,0.9,0.9,2.46,0.8183,0.1302,0.027,0.8043,0.000104,1552.423,0.23398,0.947381,0.077681,0.0,13.179704666137695,False,0.8744,0.0327,0.0844,0.0086,0.68,0.305,0.4587
28,MedicalMC,nsiac,1.35692,0.05375,0.385,0.7245,0.92,0.92,2.58,0.7831,0.133,0.089,1.1607,0.000106,1552.424,0.234043,0.94771,0.077686,0.0,13.568269729614258,False,0.8705,0.0464,0.0484,0.0346,0.7,0.3038,0.385
29,MedicalMC,nsiac,1.36986,0.04188,0.3137,0.7448,1.0,1.0,4.78,0.7798,0.0718,0.0867,1.9044,0.000108,1552.424,0.234108,0.948084,0.077684,0.0,13.7284574508667,False,0.8463,0.1128,0.0225,0.0185,0.6863,0.2938,0.3137
30,MedicalMC,nsiac,2.26762,0.055,0.3825,0.7344,0.94,0.94,4.52,0.825,0.0696,0.0377,1.3647,0.00011,1552.424,0.234233,0.948769,0.077686,0.0,13.246976852416992,False,0.9072,0.0485,0.0382,0.0061,0.6987,0.3075,0.3825
