cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.71546,0.0,0.4575,0.7476,0.88,0.88,7.3,0.5063,0.0961,0.0923,1.4576,1.5e-05,1640.691,0.098542,0.806883,0.002868,0.0,14.459359169006348,False,0.25,0.25,0.25,0.25,0.4575,0.0,0.0
2,GSM8K,fixed_grpo,0.28204,0.0,0.485,0.7744,0.94,0.94,7.68,0.5144,0.102,0.0956,1.3649,2.1e-05,1640.691,0.098359,0.805356,0.002867,0.0,13.574932098388672,False,0.25,0.25,0.25,0.25,0.485,0.0,0.0
3,GSM8K,fixed_grpo,0.24898,0.0,0.465,0.7501,0.88,0.88,7.42,0.529,0.0985,0.092,1.3809,2.6e-05,1640.691,0.100154,0.81971,0.002965,0.0,13.473743438720703,False,0.25,0.25,0.25,0.25,0.465,0.0,0.0
4,GSM8K,fixed_grpo,0.31325,0.0,0.4825,0.7814,0.9,0.9,7.72,0.5418,0.0978,0.0908,1.4066,3e-05,1640.691,0.101006,0.826491,0.003017,0.0,13.285202980041504,False,0.25,0.25,0.25,0.25,0.4825,0.0,0.0
5,GSM8K,fixed_grpo,0.20858,0.0,0.4138,0.7591,0.9,0.9,6.6,0.5279,0.0972,0.0951,1.6118,3.4e-05,1640.691,0.102054,0.834924,0.003067,0.0,13.407378196716309,False,0.25,0.25,0.25,0.25,0.4138,0.0,0.0
6,GSM8K,fixed_grpo,0.37198,0.0,0.4163,0.7274,0.94,0.94,6.66,0.6142,0.0859,0.0768,1.625,3.7e-05,1640.691,0.102718,0.840262,0.0031,0.0,13.745392799377441,False,0.25,0.25,0.25,0.25,0.4163,0.0,0.0
7,GSM8K,fixed_grpo,0.42932,0.0,0.4838,0.7622,0.88,0.88,7.62,0.5414,0.0976,0.0715,1.4085,4e-05,1640.691,0.103354,0.84541,0.003126,0.0,14.223480224609375,False,0.25,0.25,0.25,0.25,0.4838,0.0,0.0
8,GSM8K,fixed_grpo,0.43563,0.0,0.5288,0.7773,0.94,0.94,8.42,0.5648,0.0897,0.0749,1.3463,4.3e-05,1640.691,0.103642,0.847692,0.003145,0.0,13.809785842895508,False,0.25,0.25,0.25,0.25,0.5288,0.0,0.0
9,GSM8K,fixed_grpo,0.35877,0.0,0.54,0.8086,0.92,0.92,8.56,0.5102,0.1031,0.0872,1.3194,4.5e-05,1640.691,0.103905,0.849781,0.003162,0.0,13.246993064880371,False,0.25,0.25,0.25,0.25,0.54,0.0,0.0
10,GSM8K,fixed_grpo,0.36926,0.0,0.5413,0.827,0.96,0.96,8.48,0.5194,0.0983,0.086,1.2952,4.8e-05,1640.691,0.104114,0.851429,0.003177,0.0,13.16658878326416,False,0.25,0.25,0.25,0.25,0.5413,0.0,0.0
11,Code,fixed_grpo,0.10346,0.0025,0.3137,0.5837,0.74,0.74,4.78,0.6528,0.0984,0.0631,1.7708,5.3e-05,1640.691,0.107298,0.877448,0.003276,0.0,13.050105094909668,False,0.25,0.25,0.25,0.25,0.5437,0.3137,0.0
12,Code,fixed_grpo,0.80797,0.0725,0.3187,0.6219,0.82,0.82,4.84,0.6681,0.0966,0.0515,1.7377,5.9e-05,1640.691,0.107901,0.882344,0.003299,0.0,12.358860969543457,False,0.25,0.25,0.25,0.25,0.6138,0.3187,0.0
13,Code,fixed_grpo,0.72416,0.0525,0.3063,0.6217,0.8,0.8,4.48,0.6581,0.0981,0.0564,1.8224,6.3e-05,1640.691,0.108193,0.884675,0.003316,0.0,12.575695037841797,False,0.25,0.25,0.25,0.25,0.5938,0.3063,0.0
14,Code,fixed_grpo,1.05039,0.0925,0.355,0.6624,0.82,0.82,5.22,0.6561,0.0944,0.0539,1.7939,6.7e-05,1640.691,0.108376,0.88608,0.003334,0.0,13.111702919006348,False,0.25,0.25,0.25,0.25,0.6338,0.355,0.0
15,Code,fixed_grpo,0.9598,0.075,0.3625,0.6649,0.82,0.82,5.36,0.6787,0.0906,0.053,1.7749,7.1e-05,1640.691,0.108534,0.887321,0.003345,0.0,13.28135871887207,False,0.25,0.25,0.25,0.25,0.6162,0.3625,0.0
16,Code,fixed_grpo,1.04549,0.08875,0.3675,0.6683,0.8,0.8,5.3,0.6616,0.0954,0.0538,1.7538,7.4e-05,1640.691,0.108644,0.888177,0.003355,0.0,13.321059226989746,False,0.25,0.25,0.25,0.25,0.63,0.3675,0.0
17,Code,fixed_grpo,0.92222,0.07625,0.3212,0.6473,0.8,0.8,4.76,0.6667,0.0907,0.06,1.8026,7.7e-05,1640.691,0.108731,0.888824,0.003366,0.0,13.305302619934082,False,0.25,0.25,0.25,0.25,0.6175,0.3212,0.0
18,Code,fixed_grpo,1.3293,0.095,0.3775,0.6863,0.82,0.82,5.72,0.676,0.0961,0.0508,1.7215,8e-05,1640.691,0.108828,0.88957,0.003375,0.0,12.767341613769531,False,0.25,0.25,0.25,0.25,0.6362,0.3775,0.0
19,Code,fixed_grpo,1.21358,0.08625,0.3825,0.6648,0.76,0.76,5.52,0.6726,0.0894,0.049,1.7973,8.2e-05,1640.691,0.108945,0.890509,0.003382,0.0,13.324455261230469,False,0.25,0.25,0.25,0.25,0.6275,0.3825,0.0
20,Code,fixed_grpo,1.43794,0.12375,0.37,0.6678,0.82,0.82,5.44,0.6736,0.0925,0.0541,1.6993,8.5e-05,1640.691,0.109053,0.891338,0.003392,0.0,13.155531883239746,False,0.25,0.25,0.25,0.25,0.665,0.37,0.0
21,MedicalMC,fixed_grpo,0.86369,0.03687,0.27,0.6333,0.96,0.96,4.32,0.7702,0.0693,0.1006,2.4463,8.8e-05,1640.691,0.110421,0.902508,0.003436,0.0,13.471269607543945,False,0.25,0.25,0.25,0.25,0.585,0.4,0.27
22,MedicalMC,fixed_grpo,1.366,0.03438,0.3337,0.6777,0.94,0.94,5.34,0.7511,0.0661,0.1195,2.4599,9.2e-05,1640.691,0.110996,0.907209,0.003454,0.0,13.983768463134766,False,0.25,0.25,0.25,0.25,0.6075,0.3725,0.3337
23,MedicalMC,fixed_grpo,1.14506,0.05187,0.265,0.6278,0.94,0.94,4.24,0.7732,0.0635,0.1221,2.5079,9.5e-05,1640.691,0.111247,0.909234,0.003465,0.0,13.312410354614258,False,0.25,0.25,0.25,0.25,0.595,0.42,0.265
24,MedicalMC,fixed_grpo,1.45653,0.055,0.26,0.629,0.96,0.96,4.16,0.7807,0.0439,0.1004,2.4763,9.8e-05,1640.691,0.111611,0.912183,0.00348,0.0,13.937204360961914,False,0.25,0.25,0.25,0.25,0.615,0.4062,0.26
25,MedicalMC,fixed_grpo,1.62612,0.04063,0.3175,0.7128,1.0,1.0,5.08,0.7802,0.0632,0.1047,2.5657,0.0001,1640.691,0.111847,0.914068,0.003493,0.0,13.75357437133789,False,0.25,0.25,0.25,0.25,0.5913,0.4012,0.3175
26,MedicalMC,fixed_grpo,1.40912,0.04437,0.2963,0.6619,0.98,0.98,4.74,0.7642,0.0656,0.1206,2.5202,0.000103,1640.691,0.112054,0.915739,0.003503,0.0,13.421995162963867,False,0.25,0.25,0.25,0.25,0.5825,0.4175,0.2963
27,MedicalMC,fixed_grpo,1.47937,0.03125,0.2838,0.6332,0.94,0.94,4.54,0.8137,0.0616,0.0845,2.5016,0.000105,1640.691,0.112226,0.917102,0.003513,0.0,13.290506362915039,False,0.25,0.25,0.25,0.25,0.5938,0.38,0.2838
28,MedicalMC,fixed_grpo,1.57922,0.0275,0.285,0.6854,0.98,0.98,4.56,0.8277,0.0744,0.0656,2.5736,0.000108,1640.691,0.112578,0.919963,0.003526,0.0,13.447625160217285,False,0.25,0.25,0.25,0.25,0.5725,0.3937,0.285
29,MedicalMC,fixed_grpo,1.78715,0.04625,0.2863,0.6683,0.92,0.92,4.58,0.8072,0.0746,0.0861,2.5055,0.00011,1640.691,0.112711,0.921024,0.003534,0.0,13.597856521606445,False,0.25,0.25,0.25,0.25,0.6088,0.395,0.2863
30,MedicalMC,fixed_grpo,1.77058,0.02438,0.3,0.6916,0.96,0.96,4.8,0.839,0.0762,0.0691,2.5635,0.000112,1640.691,0.112866,0.922268,0.003542,0.0,13.684703826904297,False,0.25,0.25,0.25,0.25,0.5825,0.3775,0.3
