cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.70851,0.0,0.455,0.7571,0.88,0.88,7.24,0.4959,0.0928,0.098,1.476,1.4e-05,1640.691,0.09858,0.807049,0.002889,0.0,14.305656433105469,False,0.25,0.25,0.25,0.25,0.455,0.0,0.0
2,GSM8K,nsiac,0.29407,0.0,0.5038,0.7609,0.88,0.88,7.9,0.4889,0.0939,0.081,1.367,2e-05,1640.691,0.09674,0.792141,0.002814,0.0,14.028947830200195,False,0.25,0.25,0.25,0.25,0.5038,0.0,0.0
3,GSM8K,nsiac,0.27337,0.0,0.5288,0.7844,0.92,0.92,8.34,0.4772,0.0956,0.0887,1.2888,2.3e-05,1640.691,0.109757,0.898795,0.003184,0.0,13.85702133178711,False,0.6279,0.1697,0.0186,0.1839,0.5288,0.0,0.0
4,GSM8K,nsiac,0.28273,0.0,0.5687,0.8078,0.92,0.92,8.94,0.451,0.1181,0.077,1.152,2.6e-05,1640.691,0.110775,0.906922,0.003242,0.0,13.87590217590332,False,0.627,0.1667,0.0181,0.1882,0.5687,0.0,0.0
5,GSM8K,nsiac,0.15406,0.0,0.495,0.7944,0.94,0.94,7.84,0.45,0.1051,0.099,1.4152,3e-05,1640.691,0.111707,0.914431,0.003286,0.0,13.95972728729248,False,0.272,0.1012,0.3379,0.289,0.495,0.0,0.0
6,GSM8K,nsiac,0.1921,0.0,0.4587,0.7725,0.92,0.92,7.18,0.4192,0.105,0.1083,1.4283,3.6e-05,1640.69,0.209522,0.919808,0.113585,0.0,13.950591087341309,False,0.2412,0.1431,0.4148,0.2009,0.4587,0.0,0.0
7,GSM8K,nsiac,0.29318,0.0,0.5238,0.7768,0.9,0.9,8.14,0.3568,0.1349,0.1287,1.2425,3.8e-05,1640.691,0.210541,0.927999,0.113636,0.0,13.712458610534668,False,0.6965,0.187,0.0554,0.0611,0.5238,0.0,0.0
8,GSM8K,nsiac,0.26957,0.0,0.56,0.8139,0.9,0.9,8.68,0.3605,0.1314,0.1214,1.1261,4e-05,1640.691,0.210772,0.92989,0.113643,0.0,14.439409255981445,False,0.415,0.2969,0.156,0.1321,0.56,0.0,0.0
9,GSM8K,nsiac,0.2514,0.0,0.5687,0.811,0.9,0.9,8.8,0.3693,0.1201,0.1104,1.1457,4.4e-05,1640.69,0.170355,0.93236,0.067433,0.0,14.319791793823242,False,0.465,0.1229,0.3739,0.0382,0.5687,0.0,0.0
10,GSM8K,nsiac,0.31098,0.0,0.61,0.8181,0.92,0.92,9.58,0.3684,0.1383,0.1127,0.9877,4.7e-05,1640.69,0.171039,0.937863,0.067466,0.0,13.85877513885498,False,0.7617,0.0802,0.0923,0.0659,0.61,0.0,0.0
