cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.70049,0.0,0.4375,0.7431,0.9,0.9,7.0,0.5157,0.0936,0.0906,1.5296,1.4e-05,1640.691,0.098467,0.806094,0.002889,0.0,14.296716690063477,False,0.25,0.25,0.25,0.25,0.4375,0.0,0.0
2,GSM8K,nsiac,0.28156,0.0,0.4875,0.7454,0.88,0.88,7.6,0.4655,0.0987,0.0934,1.3193,2e-05,1640.691,0.096774,0.792376,0.00282,0.0,14.03390884399414,False,0.25,0.25,0.25,0.25,0.4875,0.0,0.0
3,GSM8K,nsiac,0.28339,0.0,0.545,0.7769,0.9,0.9,8.46,0.4341,0.1085,0.0971,1.1483,2.2e-05,1640.691,0.107724,0.882253,0.003111,0.0,14.274054527282715,False,0.6281,0.1695,0.0186,0.1838,0.545,0.0,0.0
4,GSM8K,nsiac,0.24314,0.0,0.55,0.7971,0.94,0.94,8.58,0.4465,0.1003,0.0872,1.2025,2.5e-05,1640.691,0.109037,0.892802,0.003176,0.0,14.271923065185547,False,0.6279,0.1666,0.0181,0.1874,0.55,0.0,0.0
5,GSM8K,nsiac,0.18443,0.0,0.5125,0.7793,0.92,0.92,8.08,0.4262,0.1112,0.1094,1.3209,2.9e-05,1640.691,0.114907,0.900477,0.008802,0.0,14.491973876953125,False,0.2693,0.0986,0.3446,0.2874,0.5125,0.0,0.0
6,GSM8K,nsiac,0.2561,0.0,0.5262,0.7902,0.92,0.92,8.12,0.417,0.114,0.1174,1.2706,3.6e-05,1640.69,0.206436,0.905833,0.11197,0.0,14.255709648132324,False,0.2261,0.1359,0.4436,0.1944,0.5262,0.0,0.0
7,GSM8K,nsiac,0.29913,0.0,0.5687,0.8037,0.88,0.88,8.48,0.4007,0.1139,0.1051,1.1112,3.8e-05,1640.69,0.207742,0.916397,0.112026,0.0,13.677539825439453,False,0.68,0.1881,0.0726,0.0593,0.5687,0.0,0.0
8,GSM8K,nsiac,0.21774,0.0,0.5413,0.8082,0.94,0.94,8.38,0.4091,0.1073,0.0961,1.1757,4e-05,1640.69,0.207962,0.918202,0.112031,0.0,14.533197402954102,False,0.3377,0.3387,0.1845,0.1391,0.5413,0.0,0.0
9,GSM8K,nsiac,0.34825,0.0,0.5675,0.7987,0.92,0.92,9.0,0.4496,0.0982,0.0804,1.1303,4.4e-05,1640.69,0.175472,0.920788,0.074805,0.0,13.93076229095459,False,0.3535,0.1893,0.415,0.0422,0.5675,0.0,0.0
10,GSM8K,nsiac,0.35169,0.0,0.6062,0.8128,0.9,0.9,9.24,0.4087,0.1051,0.0885,1.0319,4.7e-05,1640.69,0.176587,0.929807,0.074852,0.0,13.917230606079102,False,0.7095,0.1089,0.1059,0.0756,0.6062,0.0,0.0
11,Code,nsiac,-0.13483,-0.03375,0.325,0.6701,0.84,0.84,4.8,0.6349,0.0924,0.0692,1.6852,5.1e-05,1640.69,0.177079,0.933816,0.074868,0.0,13.207042694091797,False,0.7098,0.2244,0.0361,0.0297,0.5725,0.325,0.0
12,Code,nsiac,0.4598,-0.015,0.325,0.6484,0.8,0.8,4.7,0.6483,0.087,0.0672,1.7865,5.5e-05,1640.691,0.177817,0.939844,0.074892,0.0,13.51285171508789,False,0.8814,0.0559,0.0148,0.048,0.5913,0.325,0.0
13,Code,nsiac,0.57913,0.0125,0.32,0.6503,0.82,0.82,4.72,0.642,0.0866,0.0679,1.821,5.9e-05,1640.691,0.178027,0.941524,0.074903,0.0,13.287978172302246,False,0.6918,0.185,0.0837,0.0395,0.6188,0.32,0.0
14,Code,nsiac,0.70805,-0.00375,0.395,0.7071,0.84,0.84,5.78,0.6562,0.0895,0.0546,1.7857,6.3e-05,1640.691,0.178218,0.943052,0.074914,0.0,12.867971420288086,False,0.807,0.0866,0.0694,0.037,0.6025,0.395,0.0
