cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,sft_star,0.47913,0.0,0.2913,0.586,0.76,0.76,4.48,0.3972,0.1317,0.1366,1.6822,2.8e-05,1640.691,0.105412,0.86313,0.003069,0.0,14.684050559997559,False,0.25,0.25,0.25,0.25,0.2913,0.0,0.0
2,GSM8K,sft_star,0.29229,0.0,0.4138,0.7243,0.86,0.86,5.82,0.3479,0.1253,0.1453,1.5035,3.7e-05,1640.691,0.104997,0.859473,0.003092,0.0,14.56800651550293,False,0.25,0.25,0.25,0.25,0.4138,0.0,0.0
3,GSM8K,sft_star,0.14333,0.0,0.4088,0.7009,0.88,0.88,5.62,0.3269,0.1378,0.1475,1.4564,4.3e-05,1640.691,0.105956,0.867063,0.003155,0.0,14.580275535583496,False,0.25,0.25,0.25,0.25,0.4088,0.0,0.0
4,GSM8K,sft_star,0.17524,0.0,0.4088,0.7366,0.92,0.92,5.44,0.3506,0.1244,0.1442,1.5139,5e-05,1640.691,0.106688,0.87289,0.003199,0.0,14.307713508605957,False,0.25,0.25,0.25,0.25,0.4088,0.0,0.0
5,GSM8K,sft_star,0.16125,0.0,0.3987,0.6982,0.88,0.88,5.0,0.3408,0.1363,0.1497,1.4965,5.6e-05,1640.691,0.10731,0.877836,0.003237,0.0,14.478898048400879,False,0.25,0.25,0.25,0.25,0.3987,0.0,0.0
6,GSM8K,sft_star,0.28514,0.0,0.4763,0.7528,0.86,0.86,6.24,0.3292,0.1245,0.134,1.3063,6.1e-05,1640.691,0.107653,0.880537,0.003262,0.0,14.523734092712402,False,0.25,0.25,0.25,0.25,0.4763,0.0,0.0
7,GSM8K,sft_star,0.2086,0.0,0.4938,0.7541,0.88,0.88,6.24,0.3195,0.1203,0.1301,1.2096,6.6e-05,1640.691,0.107963,0.882981,0.003284,0.0,14.569287300109863,False,0.25,0.25,0.25,0.25,0.4938,0.0,0.0
8,GSM8K,sft_star,0.15501,0.0,0.4725,0.7432,0.88,0.88,6.28,0.312,0.1212,0.1317,1.2589,7.1e-05,1640.691,0.10826,0.885335,0.003302,0.0,14.62230396270752,False,0.25,0.25,0.25,0.25,0.4725,0.0,0.0
9,GSM8K,sft_star,0.22556,0.0,0.4888,0.744,0.88,0.88,6.32,0.3151,0.1208,0.1259,1.2382,7.6e-05,1640.691,0.108512,0.887343,0.003318,0.0,14.53713321685791,False,0.25,0.25,0.25,0.25,0.4888,0.0,0.0
10,GSM8K,sft_star,0.26752,0.0,0.5112,0.7581,0.88,0.88,6.96,0.3321,0.1074,0.1124,1.2058,8.1e-05,1640.691,0.108761,0.889318,0.003333,0.0,14.250910758972168,False,0.25,0.25,0.25,0.25,0.5112,0.0,0.0
11,Code,sft_star,0.1658,-0.0075,0.335,0.6308,0.8,0.8,4.96,0.639,0.0805,0.0603,1.7538,8.9e-05,1640.691,0.110676,0.904911,0.0034,0.0,13.042011260986328,False,0.25,0.25,0.25,0.25,0.5038,0.335,0.0
12,Code,sft_star,0.21053,-0.075,0.3488,0.6599,0.84,0.84,4.9,0.6229,0.0928,0.0634,1.838,9.6e-05,1640.691,0.111202,0.909105,0.003432,0.0,12.251333236694336,False,0.25,0.25,0.25,0.25,0.4363,0.3488,0.0
13,Code,sft_star,0.3151,-0.045,0.3438,0.6506,0.78,0.78,5.14,0.6291,0.0979,0.0623,1.8288,0.000102,1640.691,0.111535,0.911755,0.003452,0.0,11.879958152770996,False,0.25,0.25,0.25,0.25,0.4662,0.3438,0.0
14,Code,sft_star,0.23921,-0.0725,0.3625,0.6547,0.8,0.8,5.02,0.6196,0.0933,0.0648,1.8196,0.000108,1640.691,0.111992,0.915423,0.003475,0.0,12.762901306152344,False,0.25,0.25,0.25,0.25,0.4387,0.3625,0.0
15,Code,sft_star,0.27579,-0.0525,0.34,0.6465,0.84,0.84,4.94,0.6418,0.0927,0.0576,1.7655,0.000114,1640.691,0.112385,0.918582,0.003494,0.0,13.16048812866211,False,0.25,0.25,0.25,0.25,0.4587,0.34,0.0
16,Code,sft_star,0.3153,-0.06125,0.3513,0.6561,0.88,0.88,5.04,0.6364,0.0846,0.0588,1.7973,0.000119,1640.692,0.11263,0.920552,0.003507,0.0,13.315032958984375,False,0.25,0.25,0.25,0.25,0.45,0.3513,0.0
17,Code,sft_star,0.61435,-0.00625,0.3625,0.6536,0.86,0.86,5.22,0.6362,0.1014,0.0546,1.7947,0.000126,1640.692,0.112906,0.922779,0.003519,0.0,12.753898620605469,False,0.25,0.25,0.25,0.25,0.505,0.3625,0.0
18,Code,sft_star,0.75892,0.03875,0.33,0.6266,0.78,0.78,4.84,0.6268,0.0934,0.0581,1.8547,0.00013,1640.692,0.113023,0.923688,0.003528,0.0,12.812753677368164,False,0.25,0.25,0.25,0.25,0.55,0.33,0.0
19,Code,sft_star,0.7256,0.0,0.35,0.6376,0.82,0.82,5.02,0.627,0.0939,0.0557,1.7766,0.000136,1640.692,0.113236,0.925395,0.00354,0.0,13.025063514709473,False,0.25,0.25,0.25,0.25,0.5112,0.35,0.0
20,Code,sft_star,0.68745,0.0,0.3525,0.6625,0.88,0.88,4.92,0.6078,0.0953,0.0655,1.8118,0.000141,1640.692,0.113414,0.926817,0.00355,0.0,12.599165916442871,False,0.25,0.25,0.25,0.25,0.5112,0.3525,0.0
