cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.7081,0.0,0.4163,0.7123,0.88,0.88,6.64,0.5731,0.0925,0.0802,1.6762,1.5e-05,1640.691,0.098489,0.806458,0.002866,0.0,13.479358673095703,False,0.25,0.25,0.25,0.25,0.4163,0.0,0.0
2,GSM8K,fixed_grpo,0.32644,0.0,0.4863,0.7805,0.9,0.9,7.68,0.5064,0.0922,0.0944,1.4359,2.2e-05,1640.691,0.098461,0.806147,0.002876,0.0,13.905794143676758,False,0.25,0.25,0.25,0.25,0.4863,0.0,0.0
3,GSM8K,fixed_grpo,0.22387,0.0,0.4575,0.7245,0.88,0.88,7.22,0.5047,0.101,0.0949,1.5221,2.6e-05,1640.691,0.100014,0.818514,0.002968,0.0,14.002849578857422,False,0.25,0.25,0.25,0.25,0.4575,0.0,0.0
4,GSM8K,fixed_grpo,0.31131,0.0,0.4838,0.7502,0.88,0.88,7.7,0.526,0.1088,0.0845,1.4343,3e-05,1640.691,0.10085,0.825166,0.003018,0.0,13.475201606750488,False,0.25,0.25,0.25,0.25,0.4838,0.0,0.0
5,GSM8K,fixed_grpo,0.22101,0.0,0.4675,0.7101,0.86,0.86,7.42,0.4498,0.1212,0.1118,1.2829,3.4e-05,1640.691,0.101463,0.830059,0.003053,0.0,13.425348281860352,False,0.25,0.25,0.25,0.25,0.4675,0.0,0.0
6,GSM8K,fixed_grpo,0.34233,0.0,0.4813,0.7779,0.92,0.92,7.7,0.5463,0.0964,0.0707,1.4862,3.7e-05,1640.691,0.101946,0.833907,0.003083,0.0,14.082686424255371,False,0.25,0.25,0.25,0.25,0.4813,0.0,0.0
7,GSM8K,fixed_grpo,0.281,0.0,0.4525,0.771,0.9,0.9,7.22,0.5196,0.0928,0.0916,1.5458,4e-05,1640.691,0.102361,0.83721,0.003107,0.0,13.075518608093262,False,0.25,0.25,0.25,0.25,0.4525,0.0,0.0
8,GSM8K,fixed_grpo,0.39386,0.0,0.5012,0.78,0.92,0.92,7.98,0.5001,0.1036,0.0855,1.3663,4.3e-05,1640.691,0.102772,0.840497,0.003129,0.0,13.588467597961426,False,0.25,0.25,0.25,0.25,0.5012,0.0,0.0
9,GSM8K,fixed_grpo,0.33772,0.0,0.4875,0.7546,0.9,0.9,7.8,0.5296,0.0993,0.0758,1.4034,4.5e-05,1640.691,0.103108,0.84319,0.003147,0.0,13.856870651245117,False,0.25,0.25,0.25,0.25,0.4875,0.0,0.0
10,GSM8K,fixed_grpo,0.41889,0.0,0.5262,0.7928,0.9,0.9,8.4,0.503,0.1066,0.0845,1.2914,4.8e-05,1640.691,0.103369,0.845284,0.003161,0.0,14.065070152282715,False,0.25,0.25,0.25,0.25,0.5262,0.0,0.0
11,Code,fixed_grpo,0.25333,0.01625,0.3463,0.6524,0.8,0.8,5.12,0.6697,0.0898,0.0554,1.7346,5.3e-05,1640.691,0.107984,0.883081,0.003293,0.0,12.850388526916504,False,0.25,0.25,0.25,0.25,0.5425,0.3463,0.0
12,Code,fixed_grpo,0.82881,0.0625,0.3812,0.6724,0.82,0.82,5.46,0.6659,0.0898,0.0473,1.803,5.8e-05,1640.691,0.108591,0.887997,0.003318,0.0,12.914448738098145,False,0.25,0.25,0.25,0.25,0.5887,0.3812,0.0
13,Code,fixed_grpo,0.85229,0.09375,0.3575,0.6657,0.84,0.84,5.22,0.6422,0.0996,0.0538,1.7537,6.4e-05,1640.691,0.108935,0.89076,0.003336,0.0,13.056655883789062,False,0.25,0.25,0.25,0.25,0.62,0.3575,0.0
