cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.71911,0.0,0.4075,0.692,0.86,0.86,6.52,0.6116,0.0899,0.0622,1.6698,1.4e-05,1640.691,0.098442,0.805961,0.002879,0.0,14.25672435760498,False,0.25,0.25,0.25,0.25,0.4075,0.0,0.0
2,GSM8K,nsiac,0.37569,0.0,0.5262,0.7974,0.96,0.96,8.4,0.4974,0.0889,0.0796,1.306,2e-05,1640.691,0.096787,0.792546,0.002813,0.0,14.273417472839355,False,0.25,0.25,0.25,0.25,0.5262,0.0,0.0
3,GSM8K,nsiac,0.30687,0.0,0.5913,0.8245,0.94,0.94,9.14,0.4574,0.0977,0.0736,1.1334,2.2e-05,1640.691,0.108239,0.886447,0.003129,0.0,14.399869918823242,False,0.6071,0.1738,0.0139,0.2052,0.5913,0.0,0.0
4,GSM8K,nsiac,0.23729,0.0,0.6025,0.8414,0.96,0.96,9.22,0.4289,0.1058,0.0675,1.0879,2.5e-05,1640.691,0.108659,0.889749,0.003159,0.0,14.046233177185059,False,0.6092,0.1735,0.0137,0.2036,0.6025,0.0,0.0
5,GSM8K,nsiac,0.12417,0.0,0.5112,0.7495,0.9,0.9,7.96,0.4445,0.1147,0.0951,1.224,2.9e-05,1640.691,0.109565,0.897039,0.003203,0.0,14.039008140563965,False,0.2735,0.116,0.3128,0.2977,0.5112,0.0,0.0
6,GSM8K,nsiac,0.22512,0.0,0.4813,0.7858,0.94,0.94,7.62,0.4631,0.1144,0.0951,1.3701,3.4e-05,1640.69,0.205844,0.902068,0.111807,0.0,13.711418151855469,False,0.2244,0.1778,0.3886,0.2092,0.4813,0.0,0.0
7,GSM8K,nsiac,0.38742,0.0,0.5613,0.7785,0.9,0.9,8.86,0.4586,0.1228,0.0752,1.1621,3.7e-05,1640.691,0.207241,0.913465,0.111854,0.0,12.861649513244629,False,0.6151,0.2582,0.0605,0.0662,0.5613,0.0,0.0
8,GSM8K,nsiac,0.28217,0.0,0.565,0.8055,0.96,0.96,8.82,0.4473,0.1296,0.0762,1.1931,3.9e-05,1640.69,0.20748,0.91541,0.111862,0.0,13.329297065734863,False,0.2045,0.5206,0.1535,0.1214,0.565,0.0,0.0
9,GSM8K,nsiac,0.28147,0.0,0.5563,0.8081,0.92,0.92,8.62,0.452,0.1266,0.0702,1.2109,4.1e-05,1640.69,0.207733,0.917412,0.111878,0.0,13.885351181030273,False,0.5463,0.4084,0.0072,0.0381,0.5563,0.0,0.0
10,GSM8K,nsiac,0.34316,0.0,0.5725,0.7969,0.88,0.88,8.9,0.46,0.1289,0.069,1.1448,4.2e-05,1640.69,0.207846,0.918326,0.111884,0.0,13.765056610107422,False,0.2775,0.6369,0.0175,0.0681,0.5725,0.0,0.0
11,Code,nsiac,-0.07117,-0.0325,0.3137,0.6283,0.8,0.8,4.74,0.6637,0.0902,0.0572,1.8322,4.3e-05,1640.69,0.207959,0.919226,0.11189,0.0,12.98305606842041,False,0.069,0.7977,0.0308,0.1025,0.54,0.3137,0.0
12,Code,nsiac,0.49829,-0.00875,0.3187,0.6424,0.8,0.8,4.76,0.6585,0.0922,0.0609,1.8232,4.4e-05,1640.69,0.208065,0.920073,0.111896,0.0,12.755993843078613,False,0.1459,0.7901,0.0151,0.049,0.5637,0.3187,0.0
13,Code,nsiac,0.48468,-0.0225,0.3325,0.6641,0.86,0.86,5.08,0.6717,0.0932,0.0563,1.7784,4.5e-05,1640.69,0.208175,0.920962,0.111901,0.0,12.97930908203125,False,0.0204,0.8899,0.0609,0.0287,0.55,0.3325,0.0
14,Code,nsiac,0.43096,-0.0225,0.3175,0.6303,0.8,0.8,4.8,0.6556,0.0945,0.0593,1.785,4.6e-05,1640.69,0.208271,0.921721,0.111907,0.0,13.595810890197754,False,0.0403,0.8697,0.0587,0.0313,0.55,0.3175,0.0
15,Code,nsiac,0.55297,-0.01625,0.3325,0.6329,0.82,0.82,5.0,0.6649,0.0945,0.0534,1.7566,4.7e-05,1640.69,0.20834,0.922259,0.111913,0.0,12.737591743469238,False,0.131,0.8556,0.0047,0.0087,0.5563,0.3325,0.0
16,Code,nsiac,0.47321,-0.02125,0.3113,0.6328,0.84,0.84,4.58,0.6653,0.088,0.0553,1.7915,4.8e-05,1640.69,0.2084,0.92273,0.111918,0.0,13.034957885742188,False,0.0232,0.9435,0.0176,0.0157,0.5513,0.3113,0.0
17,Code,nsiac,0.57661,-0.0075,0.2988,0.6455,0.88,0.88,4.34,0.6578,0.0976,0.0575,1.7698,4.9e-05,1640.69,0.208466,0.923259,0.11192,0.0,12.826560020446777,False,0.0033,0.908,0.0138,0.0749,0.565,0.2988,0.0
