cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.76129,0.0,0.4688,0.7804,0.9,0.9,7.5,0.5729,0.0935,0.0696,1.5114,1.4e-05,1640.691,0.098579,0.807059,0.002887,0.0,14.08826732635498,False,0.25,0.25,0.25,0.25,0.4688,0.0,0.0
2,GSM8K,nsiac,0.30642,0.0,0.5162,0.7684,0.9,0.9,8.16,0.5165,0.0941,0.0705,1.3119,2e-05,1640.691,0.096715,0.791902,0.002818,0.0,13.94455623626709,False,0.25,0.25,0.25,0.25,0.5162,0.0,0.0
3,GSM8K,nsiac,0.26176,0.0,0.55,0.7789,0.92,0.92,8.5,0.442,0.0992,0.0843,1.1845,2.2e-05,1640.691,0.109683,0.898178,0.003183,0.0,14.452197074890137,False,0.612,0.1716,0.0136,0.2028,0.55,0.0,0.0
4,GSM8K,nsiac,0.27847,0.0,0.5875,0.8254,0.94,0.94,9.06,0.4397,0.0975,0.0761,1.1344,2.5e-05,1640.691,0.110183,0.902127,0.003217,0.0,14.356135368347168,False,0.6117,0.1722,0.0136,0.2025,0.5875,0.0,0.0
5,GSM8K,nsiac,0.19114,0.0,0.5275,0.7856,0.9,0.9,8.34,0.4788,0.0975,0.0866,1.3131,2.9e-05,1640.691,0.111094,0.909466,0.00326,0.0,14.055891036987305,False,0.2736,0.1123,0.313,0.3011,0.5275,0.0,0.0
6,GSM8K,nsiac,0.25454,0.0,0.515,0.7747,0.9,0.9,8.08,0.4752,0.1206,0.0759,1.3558,3.4e-05,1640.69,0.207605,0.91441,0.112139,0.0,13.8942289352417,False,0.2353,0.1626,0.3848,0.2173,0.515,0.0,0.0
7,GSM8K,nsiac,0.30321,0.0,0.5337,0.7922,0.9,0.9,8.28,0.4615,0.1183,0.0618,1.325,3.6e-05,1640.69,0.207985,0.917489,0.112154,0.0,13.60709285736084,False,0.6485,0.2259,0.0558,0.0697,0.5337,0.0,0.0
8,GSM8K,nsiac,0.29044,0.0,0.5387,0.8031,0.94,0.94,8.38,0.4454,0.1071,0.0716,1.3126,3.8e-05,1640.69,0.20823,0.919489,0.112162,0.0,13.609529495239258,False,0.2424,0.4608,0.1618,0.1349,0.5387,0.0,0.0
9,GSM8K,nsiac,0.31345,0.0,0.56,0.8026,0.94,0.94,8.68,0.4217,0.1068,0.0733,1.2143,4e-05,1640.69,0.208873,0.924639,0.112197,0.0,13.812453269958496,False,0.6248,0.3267,0.0077,0.0409,0.56,0.0,0.0
10,GSM8K,nsiac,0.29011,0.0,0.5437,0.8092,0.96,0.96,8.5,0.4443,0.094,0.0734,1.2506,4.1e-05,1640.69,0.208986,0.925553,0.112201,0.0,13.994077682495117,False,0.3568,0.5502,0.019,0.074,0.5437,0.0,0.0
11,Code,nsiac,0.05507,-0.0225,0.3362,0.6518,0.8,0.8,5.04,0.6583,0.0863,0.0589,1.8183,4.4e-05,1640.69,0.209356,0.92854,0.112218,0.0,13.019280433654785,False,0.1116,0.7638,0.0288,0.0958,0.5212,0.3362,0.0
12,Code,nsiac,0.7233,0.06,0.325,0.6209,0.82,0.82,4.8,0.6486,0.0926,0.059,1.7291,4.7e-05,1640.69,0.209621,0.930686,0.112229,0.0,12.851317405700684,False,0.2157,0.724,0.0142,0.0461,0.6038,0.325,0.0
13,Code,nsiac,0.87666,0.0825,0.3312,0.6506,0.8,0.8,4.84,0.6456,0.0913,0.0598,1.7388,5.1e-05,1640.69,0.209876,0.932761,0.112238,0.0,13.027360916137695,False,0.0346,0.877,0.0601,0.0283,0.6262,0.3312,0.0
14,Code,nsiac,0.84022,0.06375,0.335,0.6081,0.76,0.76,4.86,0.6519,0.0917,0.0597,1.8239,5.4e-05,1640.691,0.210096,0.934567,0.112244,0.0,13.615455627441406,False,0.0519,0.8598,0.0576,0.0307,0.6075,0.335,0.0
15,Code,nsiac,0.86509,0.06875,0.3262,0.6313,0.82,0.82,4.62,0.6411,0.091,0.0585,1.7385,5.7e-05,1640.691,0.210239,0.935694,0.112254,0.0,12.740774154663086,False,0.1858,0.8011,0.0046,0.0085,0.6125,0.3262,0.0
16,Code,nsiac,1.22601,0.12125,0.3538,0.6595,0.8,0.8,5.1,0.6356,0.0907,0.0605,1.806,5.9e-05,1640.691,0.210344,0.936505,0.112263,0.0,12.994988441467285,False,0.0512,0.9133,0.0188,0.0168,0.665,0.3538,0.0
17,Code,nsiac,1.16518,0.1225,0.325,0.6423,0.82,0.82,4.64,0.6411,0.0879,0.0635,1.7373,6.1e-05,1640.691,0.210434,0.937207,0.11227,0.0,12.767698287963867,False,0.1669,0.8184,0.0023,0.0125,0.6663,0.325,0.0
18,Code,nsiac,1.14509,0.1,0.3162,0.6275,0.8,0.8,4.54,0.6296,0.0904,0.0686,1.7852,6.3e-05,1640.691,0.210508,0.937779,0.112277,0.0,12.850370407104492,False,0.0278,0.932,0.0082,0.032,0.6438,0.3162,0.0
19,Code,nsiac,1.51884,0.14,0.345,0.6531,0.84,0.84,4.98,0.6338,0.0954,0.0664,1.7495,6.5e-05,1640.691,0.210574,0.938299,0.112282,0.0,13.040403366088867,False,0.0247,0.8968,0.0182,0.0604,0.6837,0.345,0.0
20,Code,nsiac,1.51642,0.155,0.32,0.5995,0.76,0.76,4.52,0.6244,0.0972,0.0699,1.7771,6.7e-05,1640.691,0.210631,0.938745,0.112287,0.0,13.02869701385498,False,0.0456,0.906,0.0213,0.027,0.6987,0.32,0.0
21,MedicalMC,nsiac,1.37682,0.10188,0.2812,0.6564,0.9,0.9,4.5,0.7117,0.0438,0.1164,2.2823,6.8e-05,1640.69,0.210753,0.939681,0.112298,0.0,13.785751342773438,False,0.0227,0.9449,0.021,0.0114,0.6863,0.3812,0.2812
22,MedicalMC,nsiac,1.67284,0.09937,0.31,0.6934,0.9,0.9,4.96,0.7511,0.0567,0.0864,2.2954,7e-05,1640.69,0.210829,0.940284,0.112304,0.0,13.388988494873047,False,0.0309,0.9466,0.0053,0.0172,0.6687,0.3937,0.31
23,MedicalMC,nsiac,1.90434,0.15625,0.2762,0.6455,0.92,0.92,4.36,0.7377,0.0462,0.0868,2.2748,7.2e-05,1640.69,0.210907,0.940914,0.112307,0.0,13.487298965454102,False,0.0077,0.9555,0.025,0.0118,0.705,0.4713,0.2762
24,MedicalMC,nsiac,2.22405,0.15938,0.31,0.7025,0.98,0.98,4.96,0.7246,0.0522,0.1122,2.3385,7.4e-05,1640.69,0.210969,0.941397,0.112312,0.0,13.248578071594238,False,0.025,0.9364,0.0252,0.0134,0.7063,0.4763,0.31
25,MedicalMC,nsiac,2.40217,0.18813,0.305,0.6663,0.94,0.94,4.88,0.7352,0.0618,0.0992,2.2687,7.5e-05,1640.69,0.211018,0.941776,0.112317,0.0,13.670373916625977,False,0.0787,0.9147,0.0023,0.0042,0.7212,0.5188,0.305
26,MedicalMC,nsiac,2.6198,0.20063,0.3312,0.7194,0.98,0.98,5.28,0.6685,0.0725,0.1632,2.3993,7.7e-05,1640.69,0.211066,0.942166,0.112318,0.0,13.689141273498535,False,0.019,0.9626,0.0097,0.0087,0.7013,0.5637,0.3312
27,MedicalMC,nsiac,2.96412,0.22938,0.3225,0.6924,0.92,0.92,5.16,0.751,0.0588,0.0668,2.1042,7.9e-05,1640.69,0.211113,0.942546,0.112321,0.0,13.789813995361328,False,0.0715,0.9206,0.0012,0.0067,0.7325,0.59,0.3225
28,MedicalMC,nsiac,2.92493,0.225,0.3125,0.677,0.94,0.94,5.0,0.6725,0.0617,0.1535,2.2407,8.1e-05,1640.69,0.211153,0.942836,0.112326,0.0,13.639358520507812,False,0.0114,0.9655,0.0047,0.0184,0.7025,0.6112,0.3125
29,MedicalMC,nsiac,3.18783,0.22625,0.3137,0.709,0.98,0.98,5.0,0.7101,0.0657,0.117,2.2588,8.2e-05,1640.69,0.211189,0.943136,0.112327,0.0,13.562111854553223,False,0.0227,0.922,0.0128,0.0425,0.7188,0.5975,0.3137
30,MedicalMC,nsiac,3.32048,0.225,0.32,0.7151,1.0,1.0,5.12,0.6886,0.0588,0.1461,2.3049,8.4e-05,1640.69,0.21122,0.943364,0.112331,0.0,13.749591827392578,False,0.0293,0.9287,0.0185,0.0235,0.7188,0.595,0.32
