cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,sft_star,0.54988,0.0,0.3713,0.6775,0.8,0.8,5.64,0.3746,0.133,0.1446,1.5096,2.8e-05,1640.691,0.105877,0.866969,0.003078,0.0,14.533394813537598,False,0.25,0.25,0.25,0.25,0.3713,0.0,0.0
2,GSM8K,sft_star,0.12169,0.0,0.3625,0.6425,0.84,0.84,5.04,0.3094,0.1423,0.1775,1.5266,3.7e-05,1640.691,0.105366,0.862597,0.003089,0.0,14.450468063354492,False,0.25,0.25,0.25,0.25,0.3625,0.0,0.0
3,GSM8K,sft_star,0.08749,0.0,0.335,0.6035,0.78,0.78,4.46,0.2803,0.1488,0.1993,1.5308,4.4e-05,1640.691,0.106419,0.870886,0.003165,0.0,14.515716552734375,False,0.25,0.25,0.25,0.25,0.335,0.0,0.0
4,GSM8K,sft_star,0.14613,0.0,0.3513,0.6185,0.8,0.8,4.14,0.2791,0.1448,0.2014,1.559,5e-05,1640.691,0.106945,0.875004,0.003206,0.0,14.515973091125488,False,0.25,0.25,0.25,0.25,0.3513,0.0,0.0
5,GSM8K,sft_star,0.11025,0.0,0.355,0.601,0.82,0.82,3.86,0.2482,0.1687,0.2018,1.4104,5.5e-05,1640.691,0.107416,0.878693,0.003242,0.0,14.385866165161133,False,0.25,0.25,0.25,0.25,0.355,0.0,0.0
6,GSM8K,sft_star,0.03823,0.0,0.3175,0.5408,0.7,0.7,3.06,0.2219,0.1805,0.2095,1.4174,6e-05,1640.691,0.107825,0.881918,0.003271,0.0,14.530342102050781,False,0.25,0.25,0.25,0.25,0.3175,0.0,0.0
7,GSM8K,sft_star,0.14008,0.0,0.3475,0.5822,0.8,0.8,3.18,0.2212,0.1707,0.2089,1.3562,6.5e-05,1640.691,0.108095,0.884044,0.00329,0.0,14.408675193786621,False,0.25,0.25,0.25,0.25,0.3475,0.0,0.0
8,GSM8K,sft_star,0.08003,0.0,0.3375,0.5474,0.76,0.76,2.84,0.2147,0.1766,0.2082,1.3434,7e-05,1640.691,0.108367,0.886196,0.003308,0.0,14.551497459411621,False,0.25,0.25,0.25,0.25,0.3375,0.0,0.0
9,GSM8K,sft_star,0.15559,0.0,0.3713,0.6034,0.8,0.8,3.04,0.2179,0.1793,0.201,1.3362,7.5e-05,1640.691,0.108661,0.888551,0.003323,0.0,14.48843002319336,False,0.25,0.25,0.25,0.25,0.3713,0.0,0.0
10,GSM8K,sft_star,0.08091,0.0,0.3663,0.5389,0.7,0.7,3.0,0.1965,0.1796,0.1993,1.2658,7.9e-05,1640.691,0.108883,0.890301,0.003339,0.0,14.541518211364746,False,0.25,0.25,0.25,0.25,0.3663,0.0,0.0
11,Code,sft_star,0.55503,0.0375,0.3137,0.605,0.76,0.76,4.6,0.6483,0.086,0.0542,1.8438,8.7e-05,1640.691,0.110823,0.90612,0.003404,0.0,12.589137077331543,False,0.25,0.25,0.25,0.25,0.4037,0.3137,0.0
12,Code,sft_star,0.84394,0.0675,0.35,0.6629,0.82,0.82,5.1,0.6497,0.0949,0.0478,1.8265,9.5e-05,1640.691,0.111282,0.90975,0.003435,0.0,12.701276779174805,False,0.25,0.25,0.25,0.25,0.4338,0.35,0.0
13,Code,sft_star,0.67413,0.0475,0.3325,0.6417,0.84,0.84,4.88,0.6304,0.0953,0.066,1.8609,0.000103,1640.691,0.112076,0.916166,0.00347,0.0,12.880919456481934,False,0.25,0.25,0.25,0.25,0.4138,0.3325,0.0
14,Code,sft_star,0.91845,0.09125,0.335,0.6321,0.8,0.8,4.86,0.629,0.103,0.057,1.8095,0.000109,1640.691,0.112441,0.919058,0.003494,0.0,13.376320838928223,False,0.25,0.25,0.25,0.25,0.4575,0.335,0.0
15,Code,sft_star,0.81285,0.04625,0.3588,0.6686,0.8,0.8,5.3,0.6313,0.0944,0.0571,1.7862,0.000116,1640.692,0.112738,0.921437,0.003509,0.0,12.764986991882324,False,0.25,0.25,0.25,0.25,0.4125,0.3588,0.0
16,Code,sft_star,1.2035,0.13625,0.36,0.6652,0.82,0.82,5.14,0.6252,0.0979,0.0556,1.757,0.000121,1640.692,0.112888,0.922601,0.003523,0.0,12.700883865356445,False,0.25,0.25,0.25,0.25,0.5025,0.36,0.0
17,Code,sft_star,1.13479,0.10625,0.3713,0.6829,0.86,0.86,5.18,0.6186,0.0915,0.0625,1.8229,0.000127,1640.692,0.113256,0.925573,0.003539,0.0,12.874005317687988,False,0.25,0.25,0.25,0.25,0.4725,0.3713,0.0
18,Code,sft_star,1.28906,0.13875,0.3575,0.651,0.84,0.84,5.18,0.6185,0.0927,0.062,1.7866,0.000133,1640.692,0.113389,0.926608,0.00355,0.0,12.544320106506348,False,0.25,0.25,0.25,0.25,0.505,0.3575,0.0
19,Code,sft_star,1.32683,0.1425,0.33,0.623,0.78,0.78,4.62,0.6144,0.0968,0.0632,1.7978,0.000138,1640.692,0.113575,0.928097,0.00356,0.0,12.890811920166016,False,0.25,0.25,0.25,0.25,0.5088,0.33,0.0
20,Code,sft_star,1.50769,0.155,0.32,0.6417,0.8,0.8,4.8,0.6153,0.1036,0.0613,1.8286,0.000143,1640.692,0.113674,0.928875,0.003567,0.0,13.058626174926758,False,0.25,0.25,0.25,0.25,0.5212,0.32,0.0
21,MedicalMC,sft_star,1.18867,0.13562,0.2313,0.6147,0.96,0.96,3.7,0.5525,0.0534,0.215,2.4692,0.000148,1640.692,0.114679,0.937057,0.003602,0.0,13.867058753967285,False,0.25,0.25,0.25,0.25,0.5125,0.445,0.2313
22,MedicalMC,sft_star,1.53535,0.12875,0.2812,0.6731,0.98,0.98,4.5,0.4761,0.0687,0.3124,2.5176,0.000153,1640.692,0.114945,0.939185,0.003617,0.0,13.391613006591797,False,0.25,0.25,0.25,0.25,0.51,0.4338,0.2812
23,MedicalMC,sft_star,1.45422,0.14313,0.275,0.6361,0.92,0.92,4.4,0.4342,0.088,0.3623,2.4894,0.000157,1640.692,0.115214,0.941351,0.00363,0.0,13.482444763183594,False,0.25,0.25,0.25,0.25,0.5138,0.4587,0.275
24,MedicalMC,sft_star,1.37255,0.13187,0.2637,0.6261,0.96,0.96,4.16,0.3964,0.0993,0.3738,2.4619,0.000162,1640.692,0.115327,0.942246,0.003637,0.0,13.15320110321045,False,0.25,0.25,0.25,0.25,0.5225,0.4275,0.2637
25,MedicalMC,sft_star,1.80513,0.1875,0.2687,0.6327,0.94,0.94,4.08,0.3417,0.1157,0.4112,2.2649,0.000166,1640.693,0.115442,0.943175,0.003642,0.0,13.625834465026855,False,0.25,0.25,0.25,0.25,0.5375,0.5238,0.2687
26,MedicalMC,sft_star,1.73188,0.16812,0.2988,0.6739,0.98,0.98,4.28,0.2784,0.1273,0.4806,1.9093,0.000171,1640.693,0.115554,0.944073,0.003648,0.0,13.443195343017578,False,0.25,0.25,0.25,0.25,0.5363,0.4863,0.2988
27,MedicalMC,sft_star,1.09215,0.09687,0.305,0.6704,0.94,0.94,3.84,0.2547,0.1505,0.4982,1.3332,0.000175,1640.693,0.115625,0.944635,0.003653,0.0,13.659323692321777,False,0.25,0.25,0.25,0.25,0.5525,0.3275,0.305
28,MedicalMC,sft_star,1.21326,0.115,0.3262,0.676,0.94,0.94,4.32,0.1877,0.1927,0.5505,1.4412,0.00018,1640.693,0.115706,0.945274,0.003658,0.0,13.455098152160645,False,0.25,0.25,0.25,0.25,0.5337,0.3825,0.3262
29,MedicalMC,sft_star,0.91888,0.10937,0.2863,0.5783,0.86,0.86,3.54,0.1782,0.2031,0.5602,1.3303,0.000184,1640.693,0.11582,0.9462,0.003663,0.0,13.522330284118652,False,0.25,0.25,0.25,0.25,0.59,0.315,0.2863
30,MedicalMC,sft_star,1.77096,0.1725,0.2888,0.6198,0.86,0.86,3.54,0.1857,0.2005,0.5786,1.2193,0.000189,1640.693,0.11588,0.946663,0.003669,0.0,13.741745948791504,False,0.25,0.25,0.25,0.25,0.5787,0.4525,0.2888
